id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnsjo02,Joe Johnson,166,84,82,.506,148,77,71,.520,18,7,11,.389
plumlma01,Mason Plumlee*,156,78,78,.500,140,71,69,.507,16,7,9,.438
willide01,Deron Williams,140,74,66,.529,122,67,55,.549,18,7,11,.389
teletmi01,Mirza Teletović,125,62,63,.496,110,56,54,.509,15,6,9,.400
garneke01,Kevin Garnett,105,49,56,.467,93,44,49,.473,12,5,7,.417
piercpa01,Paul Pierce,92,51,41,.554,80,46,34,.575,12,5,7,.417
livinsh01,Shaun Livingston,88,47,41,.534,76,42,34,.553,12,5,7,.417
lopezbr01,Brook Lopez,87,40,47,.460,81,38,43,.469,6,2,4,.333
blatcan01,Andray Blatche,82,44,38,.537,70,39,31,.557,12,5,7,.417
johnsam01,Amir Johnson,81,37,44,.457,81,37,44,.457,0,0,0,
derozde01,DeMar DeRozan*,80,37,43,.463,80,37,43,.463,0,0,0,
jackja01,Jarrett Jack,78,35,43,.449,72,33,39,.458,6,2,4,.333
feltora01,Raymond Felton,77,33,44,.429,77,33,44,.429,0,0,0,
bogdabo02,Bojan Bogdanović,76,35,41,.461,70,33,37,.471,6,2,4,.333
kirilan01,Andrei Kirilenko,58,36,22,.621,48,32,16,.667,10,4,6,.400
rosste01,Terrence Ross,57,26,31,.456,57,26,31,.456,0,0,0,
lowryky01,Kyle Lowry*,56,26,30,.464,56,26,30,.464,0,0,0,
fieldla01,Landry Fields,51,21,30,.412,51,21,30,.412,0,0,0,
grayaa01,Aaron Gray,51,20,31,.392,51,20,31,.392,0,0,0,
lucasjo02,John Lucas III,51,24,27,.471,51,24,27,.471,0,0,0,
brezepr01,Primož Brezec,49,13,36,.265,49,13,36,.265,0,0,0,
carroma01,Matt Carroll,46,10,36,.217,46,10,36,.217,0,0,0,
davised01,Ed Davis,45,20,25,.444,45,20,25,.444,0,0,0,
valanjo01,Jonas Valančiūnas*,45,22,23,.489,45,22,23,.489,0,0,0,
jeffeco01,Cory Jefferson,44,16,28,.364,44,16,28,.364,0,0,0,
jordaje01,Jerome Jordan,42,16,26,.381,41,16,25,.390,1,0,1,.000
brownma02,Markel Brown,41,20,21,.488,39,20,19,.513,2,0,2,.000
knighbr01,Brevin Knight,41,9,32,.220,41,9,32,.220,0,0,0,
voskuja01,Jake Voskuhl,40,11,29,.275,40,11,29,.275,0,0,0,
thornma01,Marcus Thornton,37,25,12,.676,27,20,7,.741,10,5,5,.500
caldejo01,José Calderón,37,17,20,.459,37,17,20,.459,0,0,0,
robinbe01,Bernard Robinson,36,4,32,.111,36,4,32,.111,0,0,0,
terryja01,Jason Terry,35,17,18,.486,35,17,18,.486,0,0,0,
jonesju01,Jumaine Jones,34,6,28,.176,34,6,28,.176,0,0,0,
morrida01,Darius Morris,34,12,22,.353,33,12,21,.364,1,0,1,.000
karasse01,Sergey Karasev,33,12,21,.364,33,12,21,.364,0,0,0,
wallage01,Gerald Wallace,33,11,22,.333,33,11,22,.333,0,0,0,
gayru01,Rudy Gay*,33,17,16,.515,33,17,16,.515,0,0,0,
crawfja01,Jamal Crawford,30,20,10,.667,30,20,10,.667,0,0,0,
speigma01,Marreese Speights,30,20,10,.667,30,20,10,.667,0,0,0,
evansre01,Reggie Evans,30,10,20,.333,30,10,20,.333,0,0,0,
jordade01,DeAndre Jordan,29,20,9,.690,29,20,9,.690,0,0,0,
mbahalu01,Luc Mbah a Moute,28,18,10,.643,28,18,10,.643,0,0,0,
redicjj01,J.J. Redick,28,20,8,.714,28,20,8,.714,0,0,0,
burleke01,Kevin Burleson,28,5,23,.179,28,5,23,.179,0,0,0,
bargnan01,Andrea Bargnani,28,11,17,.393,28,11,17,.393,0,0,0,
elyme01,Melvin Ely,28,5,23,.179,28,5,23,.179,0,0,0,
acyqu01,Quincy Acy,27,13,14,.481,27,13,14,.481,0,0,0,
youngth01,Thaddeus Young,26,14,12,.538,20,12,8,.600,6,2,4,.333
riverau01,Austin Rivers*,26,16,10,.615,26,16,10,.615,0,0,0,
johnswe01,Wesley Johnson,24,14,10,.583,24,14,10,.583,0,0,0,
tayloty01,Tyshawn Taylor,23,11,12,.478,23,11,12,.478,0,0,0,
gutiejo01,Jorge Gutiérrez,23,10,13,.435,21,9,12,.429,2,1,1,.500
kleizli01,Linas Kleiza,22,12,10,.545,22,12,10,.545,0,0,0,
bassbr01,Brandon Bass,20,11,9,.550,20,11,9,.550,0,0,0,
collija04,Jason Collins,19,15,4,.789,19,15,4,.789,0,0,0,
paulch01,Chris Paul,18,14,4,.778,18,14,4,.778,0,0,0,
griffbl01,Blake Griffin,18,15,3,.833,18,15,3,.833,0,0,0,
okafoem01,Emeka Okafor,17,6,11,.353,17,6,11,.353,0,0,0,
shengto01,Tornike Shengelia,17,7,10,.412,17,7,10,.412,0,0,0,
teaguma01,Marquis Teague,17,13,4,.765,17,13,4,.765,0,0,0,
uzohbe01,Ben Uzoh,16,7,9,.438,16,7,9,.438,0,0,0,
johnsja01,James Johnson,14,5,9,.357,14,5,9,.357,0,0,0,
forbega01,Gary Forbes,14,5,9,.357,14,5,9,.357,0,0,0,
baxtelo01,Lonny Baxter,14,4,10,.286,14,4,10,.286,0,0,0,
rushka01,Kareem Rush,14,1,13,.071,14,1,13,.071,0,0,0,
porteot01,Otto Porter Jr.,13,8,5,.615,13,8,5,.615,0,0,0,
dudleja01,Jared Dudley,13,8,5,.615,13,8,5,.615,0,0,0,
pietrmi01,Mickaël Piétrus,13,9,4,.692,13,9,4,.692,0,0,0,
morriad01,Adam Morrison,13,4,9,.308,13,4,9,.308,0,0,0,
telfase01,Sebastian Telfair,13,5,8,.385,13,5,8,.385,0,0,0,
sessira01,Ramon Sessions,13,8,5,.615,13,8,5,.615,0,0,0,
templga01,Garrett Temple,13,8,5,.615,13,8,5,.615,0,0,0,
gortama01,Marcin Gortat,12,7,5,.583,12,7,5,.583,0,0,0,
herrmwa01,Walter Herrmann,12,6,6,.500,12,6,6,.500,0,0,0,
boganke01,Keith Bogans,12,1,11,.083,12,1,11,.083,0,0,0,
hilarne01,Nenê,12,7,5,.583,12,7,5,.583,0,0,0,
morrima02,Markieff Morris,11,6,5,.545,11,6,5,.545,0,0,0,
holliry01,Ryan Hollins,9,4,5,.444,9,4,5,.444,0,0,0,
mcinnje01,Jeff McInnis,9,5,4,.556,9,5,4,.556,0,0,0,
mayse01,Sean May,9,1,8,.111,9,1,8,.111,0,0,0,
walljo01,John Wall,9,5,4,.556,9,5,4,.556,0,0,0,
alabiso01,Solomon Alabi,9,3,6,.333,9,3,6,.333,0,0,0,
bealbr01,Bradley Beal*,9,6,3,.667,9,6,3,.667,0,0,0,
harriot01,Othella Harrington,7,2,5,.286,7,2,5,.286,0,0,0,
daviebr01,Brandon Davies,7,4,3,.571,7,4,3,.571,0,0,0,
oubreke01,Kelly Oubre Jr.*,7,5,2,.714,7,5,2,.714,0,0,0,
hicksjj01,J.J. Hickson,6,5,1,.833,6,5,1,.833,0,0,0,
clarkea01,Earl Clark,6,4,2,.667,4,4,0,1.000,2,0,2,.000
magloja01,Jamaal Magloire,5,2,3,.400,5,2,3,.400,0,0,0,
mcguido01,Dominic McGuire,5,1,4,.200,5,1,4,.200,0,0,0,
dentmju01,Justin Dentmon,4,2,2,.500,4,2,2,.500,0,0,0,
eddieja01,Jarell Eddie,4,3,1,.750,4,3,1,.750,0,0,0,
anderde01,Derek Anderson,4,2,2,.500,4,2,2,.500,0,0,0,
stonedi01,Diamond Stone,4,3,1,.750,4,3,1,.750,0,0,0,
goodedr01,Drew Gooden,2,2,0,1.000,2,2,0,1.000,0,0,0,
johnsbr02,Brice Johnson,1,0,1,.000,1,0,1,.000,0,0,0,
bayleje01,Jerryd Bayless,1,0,1,.000,1,0,1,.000,0,0,0,
