id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
finlemi01,Michael Finley,82,25,57,.305,82,25,57,.305,0,0,0,
greenac01,A.C. Green,82,25,57,.305,82,25,57,.305,0,0,0,
davishu01,Hubert Davis,81,25,56,.309,81,25,56,.309,0,0,0,
brandel01,Elton Brand,72,13,59,.181,72,13,59,.181,0,0,0,
bradlsh01,Shawn Bradley,71,23,48,.324,71,23,48,.324,0,0,0,
artesro01,Metta World Peace,64,12,52,.188,64,12,52,.188,0,0,0,
stricer01,Erick Strickland,64,18,46,.281,64,18,46,.281,0,0,0,
ruffimi01,Michael Ruffin,62,11,51,.177,62,11,51,.177,0,0,0,
simpkdi01,Dickey Simpkins,60,12,48,.200,60,12,48,.200,0,0,0,
perduwi01,Will Perdue,59,8,51,.136,59,8,51,.136,0,0,0,
hawkihe01,Hersey Hawkins,53,9,44,.170,53,9,44,.170,0,0,0,
brownra02,Randy Brown,51,9,42,.176,51,9,42,.176,0,0,0,
benjaco01,Corey Benjamin,47,7,40,.149,47,7,40,.149,0,0,0,
walkesa01,Samaki Walker,45,10,35,.222,45,10,35,.222,0,0,0,
malonma01,Matt Maloney,44,10,34,.227,44,10,34,.227,0,0,0,
reevekh01,Khalid Reeves,44,10,34,.227,44,10,34,.227,0,0,0,
carrch01,Chris Carr,43,9,34,.209,43,9,34,.209,0,0,0,
nowitdi01,Dirk Nowitzki,39,14,25,.359,39,14,25,.359,0,0,0,
trentga01,Gary Trent,36,14,22,.389,36,14,22,.389,0,0,0,
nashst01,Steve Nash,31,9,22,.290,31,9,22,.290,0,0,0,
hoibefr01,Fred Hoiberg,28,4,24,.143,28,4,24,.143,0,0,0,
muursma01,Martin Müürsepp,26,4,22,.154,26,4,22,.154,0,0,0,
armstbj01,B.J. Armstrong,26,4,22,.154,26,4,22,.154,0,0,0,
willode01,Dedric Willoughby,25,2,23,.080,25,2,23,.080,0,0,0,
davidko01,Kornél Dávid,25,2,23,.080,25,2,23,.080,0,0,0,
wellsbu01,Bubba Wells,23,3,20,.130,23,3,20,.130,0,0,0,
cebalce01,Cedric Ceballos,23,7,16,.304,23,7,16,.304,0,0,0,
scottde01,Dennis Scott,23,4,19,.174,23,4,19,.174,0,0,0,
packro01,Robert Pack,22,7,15,.318,22,7,15,.318,0,0,0,
kukocto01,Toni Kukoč,19,5,14,.263,19,5,14,.263,0,0,0,
williho01,Hot Rod Williams,19,5,14,.263,19,5,14,.263,0,0,0,
rileyer01,Eric Riley,17,4,13,.235,17,4,13,.235,0,0,0,
ollieke01,Kevin Ollie,8,1,7,.125,8,1,7,.125,0,0,0,
ketnela01,Lari Ketner,6,0,6,.000,6,0,6,.000,0,0,0,
larueru01,Rusty LaRue,4,0,4,.000,4,0,4,.000,0,0,0,
sundobr01,Bruno Šundov,3,1,2,.333,3,1,2,.333,0,0,0,
thomaku01,Kurt Thomas,2,0,2,.000,2,0,2,.000,0,0,0,
starkjo01,John Starks,1,0,1,.000,1,0,1,.000,0,0,0,
