id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
chalmma01,Mario Chalmers,392,261,131,.666,329,225,104,.684,63,36,27,.571
wadedw01,Dwyane Wade,384,248,136,.646,322,213,109,.661,62,35,27,.565
hasleud01,Udonis Haslem,329,208,121,.632,276,180,96,.652,53,28,25,.528
jonesja02,James Jones,267,187,80,.700,225,160,65,.711,42,27,15,.643
jamesle01,LeBron James*,252,186,66,.738,200,153,47,.765,52,33,19,.635
boshch01,Chris Bosh,234,174,60,.744,191,146,45,.764,43,28,15,.651
millemi01,Mike Miller,175,126,49,.720,127,96,31,.756,48,30,18,.625
coleno01,Norris Cole,162,122,40,.753,135,105,30,.778,27,17,10,.630
beaslmi01,Michael Beasley,160,91,69,.569,149,88,61,.591,11,3,8,.273
battish01,Shane Battier,156,115,41,.737,126,97,29,.770,30,18,12,.600
cookda02,Daequan Cook,134,65,69,.485,128,63,65,.492,6,2,4,.333
arroyca01,Carlos Arroyo,122,77,45,.631,117,76,41,.650,5,1,4,.200
howarju01,Juwan Howard,104,79,25,.760,86,68,18,.791,18,11,7,.611
magloja01,Jamaal Magloire,101,62,39,.614,92,58,34,.630,9,4,5,.444
onealje01,Jermaine O'Neal,91,45,46,.495,81,43,38,.531,10,2,8,.200
quinnch01,Chris Quinn,85,37,48,.435,80,35,45,.438,5,2,3,.400
wrighdo01,Dorell Wright,84,45,39,.536,78,43,35,.551,6,2,4,.333
allenra02,Ray Allen,83,64,19,.771,69,56,13,.812,14,8,6,.571
richaqu01,Quentin Richardson,79,44,35,.557,74,43,31,.581,5,1,4,.200
ilgauzy01,Zydrunas Ilgauskas,74,55,19,.743,65,48,17,.738,9,7,2,.778
drumman01,Andre Drummond*,67,36,31,.537,67,36,31,.537,0,0,0,
caldwke01,Kentavious Caldwell-Pope*,67,36,31,.537,67,36,31,.537,0,0,0,
lewisra02,Rashard Lewis,65,56,9,.862,54,48,6,.889,11,8,3,.727
diawaya01,Yakhouba Diawara,65,36,29,.554,60,34,26,.567,5,2,3,.400
houseed01,Eddie House,59,41,18,.695,52,38,14,.731,7,3,4,.429
tollian01,Anthony Tolliver*,53,30,23,.566,53,30,23,.566,0,0,0,
anderch01,Chris Andersen,48,43,5,.896,36,35,1,.972,12,8,4,.667
butleca01,Caron Butler,47,24,23,.511,47,24,23,.511,0,0,0,
dampier01,Erick Dampier,46,33,13,.717,46,33,13,.717,0,0,0,
pittmde01,Dexter Pittman,43,29,14,.674,40,28,12,.700,3,1,2,.333
mariosh01,Shawn Marion,41,22,19,.537,41,22,19,.537,0,0,0,
meeksjo01,Jodie Meeks,41,24,17,.585,41,24,17,.585,0,0,0,
blounma01,Mark Blount,40,11,29,.275,40,11,29,.275,0,0,0,
bibbymi01,Mike Bibby,39,28,11,.718,19,14,5,.737,20,14,6,.700
jacksre01,Reggie Jackson*,36,20,16,.556,36,20,16,.556,0,0,0,
monrogr01,Greg Monroe,36,18,18,.500,36,18,18,.500,0,0,0,
harrite01,Terrel Harris,32,19,13,.594,29,18,11,.621,3,1,2,.333
singlky01,Kyle Singler,31,16,15,.516,31,16,15,.516,0,0,0,
augusdj01,D.J. Augustin,31,16,15,.516,31,16,15,.516,0,0,0,
jennibr01,Brandon Jennings,29,16,13,.552,29,16,13,.552,0,0,0,
jerebjo01,Jonas Jerebko,28,15,13,.536,28,15,13,.536,0,0,0,
alstora01,Rafer Alston,25,12,13,.480,25,12,13,.480,0,0,0,
dinwisp01,Spencer Dinwiddie,25,12,13,.480,25,12,13,.480,0,0,0,
davisri01,Ricky Davis,24,5,19,.208,24,5,19,.208,0,0,0,
turiaro01,Ronny Turiaf,23,14,9,.609,12,6,6,.500,11,8,3,.727
dedmode01,Dewayne Dedmon,22,16,6,.727,19,15,4,.789,3,1,2,.333
anderky01,Kyle Anderson*,21,16,5,.762,18,15,3,.833,3,1,2,.333
johnsch04,Chris Johnson,21,5,16,.238,21,5,16,.238,0,0,0,
leeda02,David Lee,21,15,6,.714,18,14,4,.778,3,1,2,.333
bertada01,Dāvis Bertāns*,21,15,6,.714,18,14,4,.778,3,1,2,.333
bassbr01,Brandon Bass,21,5,16,.238,21,5,16,.238,0,0,0,
millspa02,Patty Mills*,21,15,6,.714,18,14,4,.778,3,1,2,.333
greenje02,Jeff Green,21,5,16,.238,21,5,16,.238,0,0,0,
simmojo02,Jonathon Simmons,21,16,5,.762,18,15,3,.833,3,1,2,.333
barroea01,Earl Barron,20,4,16,.200,20,4,16,.200,0,0,0,
pressph01,Phil Pressey,20,4,16,.200,20,4,16,.200,0,0,0,
olynyke01,Kelly Olynyk,19,4,15,.211,19,4,15,.211,0,0,0,
baynear01,Aron Baynes,18,11,7,.611,18,11,7,.611,0,0,0,
greenda02,Danny Green,18,13,5,.722,15,12,3,.800,3,1,2,.333
morrima03,Marcus Morris*,18,11,7,.611,18,11,7,.611,0,0,0,
humphkr01,Kris Humphries,16,4,12,.250,16,4,12,.250,0,0,0,
forbebr01,Bryn Forbes,16,11,5,.688,13,10,3,.769,3,1,2,.333
aldrila01,LaMarcus Aldridge,16,10,6,.625,13,9,4,.692,3,1,2,.333
johnsst04,Stanley Johnson,16,9,7,.562,16,9,7,.562,0,0,0,
ginobma01,Manu Ginóbili,16,11,5,.688,13,10,3,.769,3,1,2,.333
princta01,Tayshaun Prince,16,7,9,.438,16,7,9,.438,0,0,0,
lucasjo02,John Lucas III,15,7,8,.467,15,7,8,.467,0,0,0,
bayleje01,Jerryd Bayless,15,3,12,.200,15,3,12,.200,0,0,0,
rondora01,Rajon Rondo*,15,2,13,.133,15,2,13,.133,0,0,0,
willija02,Jason Williams,15,4,11,.267,15,4,11,.267,0,0,0,
sullija01,Jared Sullinger,15,3,12,.200,15,3,12,.200,0,0,0,
lasmest01,Stéphane Lasme,15,3,12,.200,15,3,12,.200,0,0,0,
banksma01,Marcus Banks,15,8,7,.533,15,8,7,.533,0,0,0,
parketo01,Tony Parker,14,11,3,.786,14,11,3,.786,0,0,0,
blakest01,Steve Blake,14,10,4,.714,14,10,4,.714,0,0,0,
hillida01,Darrun Hilliard,14,9,5,.643,14,9,5,.643,0,0,0,
johnsal01,Alexander Johnson,14,2,12,.143,14,2,12,.143,0,0,0,
leonaka01,Kawhi Leonard,14,11,3,.786,14,11,3,.786,0,0,0,
moonja01,Jamario Moon,14,8,6,.571,12,7,5,.583,2,1,1,.500
curryed01,Eddy Curry,13,11,2,.846,13,11,2,.846,0,0,0,
murrade01,Dejounte Murray*,13,8,5,.615,10,7,3,.700,3,1,2,.333
bullore01,Reggie Bullock,13,9,4,.692,13,9,4,.692,0,0,0,
willish03,Shawne Williams,13,7,6,.538,13,7,6,.538,0,0,0,
ilyaser01,Ersan İlyasova,13,8,5,.615,13,8,5,.615,0,0,0,
martica01,Cartier Martin,13,5,8,.385,13,5,8,.385,0,0,0,
ahearbl01,Blake Ahearn,12,1,11,.083,12,1,11,.083,0,0,0,
gasolpa01,Pau Gasol,12,8,4,.667,9,7,2,.778,3,1,2,.333
powelka01,Kasib Powell,11,3,8,.273,11,3,8,.273,0,0,0,
smithjo03,Josh Smith,10,2,8,.200,10,2,8,.200,0,0,0,
babbch01,Chris Babb,9,1,8,.111,9,1,8,.111,0,0,0,
masonro01,Roger Mason,9,9,0,1.000,9,9,0,1.000,0,0,0,
wallage01,Gerald Wallace,9,3,6,.333,9,3,6,.333,0,0,0,
gladnmi01,Mickell Gladness,8,7,1,.875,8,7,1,.875,0,0,0,
bradlav01,Avery Bradley,8,2,6,.250,8,2,6,.250,0,0,0,
varnaja01,Jarvis Varnado,7,7,0,1.000,7,7,0,1.000,0,0,0,
stackje01,Jerry Stackhouse,6,5,1,.833,6,5,1,.833,0,0,0,
jonesbo02,Bobby Jones,5,1,4,.200,5,1,4,.200,0,0,0,
harrito02,Tobias Harris,5,3,2,.600,5,3,2,.600,0,0,0,
harrejo01,Josh Harrellson,5,3,2,.600,5,3,2,.600,0,0,0,
randosh01,Shavlik Randolph,3,1,2,.333,3,1,2,.333,0,0,0,
millequ01,Quincy Miller,3,2,1,.667,3,2,1,.667,0,0,0,
harpeju01,Justin Harper,3,3,0,1.000,3,3,0,1.000,0,0,0,
blueva01,Vander Blue,3,1,2,.333,3,1,2,.333,0,0,0,
livinsh01,Shaun Livingston,3,2,1,.667,3,2,1,.667,0,0,0,
jackslu02,Luke Jackson,3,0,3,.000,3,0,3,.000,0,0,0,
datomlu01,Gigi Datome,2,1,1,.500,2,1,1,.500,0,0,0,
favervi01,Vítor Luiz Faverani,2,0,2,.000,2,0,2,.000,0,0,0,
mournal01,Alonzo Mourning,1,1,0,1.000,1,1,0,1.000,0,0,0,
headlu01,Luther Head,1,1,0,1.000,1,1,0,1.000,0,0,0,
hardaan01,Anfernee Hardaway,1,1,0,1.000,1,1,0,1.000,0,0,0,
onealsh01,Shaquille O'Neal,1,1,0,1.000,1,1,0,1.000,0,0,0,
