id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jonesty01,Tyus Jones*,221,133,88,.602,196,122,74,.622,25,11,14,.440
moranja01,Ja Morant*,175,103,72,.589,154,94,60,.610,21,9,12,.429
konchjo01,John Konchar,172,108,64,.628,158,101,57,.639,14,7,7,.500
tillmxa01,Xavier Tillman Sr.*,170,104,66,.612,150,93,57,.620,20,11,9,.550
brookdi01,Dillon Brooks*,167,98,69,.587,143,87,56,.608,24,11,13,.458
clarkbr01,Brandon Clarke*,166,98,68,.590,152,92,60,.605,14,6,8,.429
jacksja02,Jaren Jackson Jr.*,155,95,60,.613,130,84,46,.646,25,11,14,.440
anderky01,Kyle Anderson*,151,88,63,.583,132,79,53,.598,19,9,10,.474
meltode01,De'Anthony Melton*,136,80,56,.588,119,73,46,.613,17,7,10,.412
adamsst01,Steven Adams,103,69,34,.670,96,67,29,.698,7,2,5,.286
willizi02,Ziaire Williams,97,60,37,.619,83,53,30,.639,14,7,7,.500
aldamsa01,Santi Aldama,89,56,33,.629,83,54,29,.651,6,2,4,.333
valanjo01,Jonas Valančiūnas*,65,33,32,.508,58,30,28,.517,7,3,4,.429
allengr01,Grayson Allen*,53,27,26,.509,46,24,22,.522,7,3,4,.429
tilliki02,Killian Tillie,52,37,15,.712,52,37,15,.712,0,0,0,
roddyda01,David Roddy,52,33,19,.635,46,31,15,.674,6,2,4,.333
culveja01,Jarrett Culver,34,27,7,.794,31,25,6,.806,3,2,1,.667
kennalu01,Luke Kennard,28,19,9,.679,23,17,6,.739,5,2,3,.400
winslju01,Justise Winslow,27,13,14,.481,26,13,13,.500,1,0,1,.000
chandke01,Kennedy Chandler,24,16,8,.667,24,16,8,.667,0,0,0,
loftoke01,Kenneth Lofton Jr.,22,14,8,.636,18,12,6,.667,4,2,2,.500
laravja01,Jake LaRavia,22,15,7,.682,22,15,7,.682,0,0,0,
dienggo01,Gorgui Dieng*,20,9,11,.450,20,9,11,.450,0,0,0,
mcderse01,Sean McDermott,15,8,7,.533,15,8,7,.533,0,0,0,
ponsyv01,Yves Pons,11,9,2,.818,11,9,2,.818,0,0,0,
portejo01,Jontay Porter,11,7,4,.636,11,7,4,.636,0,0,0,
willivi01,Vince Williams Jr.,9,4,5,.444,9,4,5,.444,0,0,0,
merrisa01,Sam Merrill,6,2,4,.333,6,2,4,.333,0,0,0,
fraziti01,Tim Frazier,5,5,0,1.000,5,5,0,1.000,0,0,0,
mathida01,Dakota Mathias,5,4,1,.800,5,4,1,.800,0,0,0,
greenda02,Danny Green,3,1,2,.333,3,1,2,.333,0,0,0,
terryty01,Tyrell Terry,2,2,0,1.000,2,2,0,1.000,0,0,0,
sneedxa01,Xavier Sneed,2,2,0,1.000,2,2,0,1.000,0,0,0,
buchash01,Shaq Buchanan,2,2,0,1.000,2,2,0,1.000,0,0,0,
jeffrda01,DaQuan Jeffries,2,2,0,1.000,2,2,0,1.000,0,0,0,
teskejo01,Jon Teske,2,2,0,1.000,2,2,0,1.000,0,0,0,
