id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mariosh01,Shawn Marion,168,89,79,.530,162,88,74,.543,6,1,5,.167
nowitdi01,Dirk Nowitzki,164,94,70,.573,158,93,65,.589,6,1,5,.167
terryja01,Jason Terry,137,81,56,.591,131,80,51,.611,6,1,5,.167
kiddja01,Jason Kidd,121,73,48,.603,115,72,43,.626,6,1,5,.167
cartevi01,Vince Carter,94,43,51,.457,92,43,49,.467,2,0,2,.000
haywobr01,Brendan Haywood,89,54,35,.607,83,53,30,.639,6,1,5,.167
bareajo01,J.J. Barea,83,52,31,.627,79,51,28,.646,4,1,3,.250
wrighbr03,Brandan Wright,75,35,40,.467,73,35,38,.479,2,0,2,.000
mahinia01,Ian Mahinmi,74,45,29,.608,72,45,27,.625,2,0,2,.000
cardibr01,Brian Cardinal,62,36,26,.581,61,36,25,.590,1,0,1,.000
jonesdo02,Dominique Jones,50,16,34,.320,50,16,34,.320,0,0,0,
mayooj01,O.J. Mayo,45,17,28,.378,45,17,28,.378,0,0,0,
collida01,Darren Collison,44,17,27,.386,44,17,27,.386,0,0,0,
brandel01,Elton Brand,42,16,26,.381,42,16,26,.381,0,0,0,
crowdja01,Jae Crowder,41,17,24,.415,41,17,24,.415,0,0,0,
stevede01,DeShawn Stevenson,41,29,12,.707,40,28,12,.700,1,1,0,1.000
odomla01,Lamar Odom,40,24,16,.600,40,24,16,.600,0,0,0,
dampier01,Erick Dampier,39,20,19,.513,36,20,16,.556,3,0,3,.000
jonesda02,Dahntay Jones,38,13,25,.342,38,13,25,.342,0,0,0,
westde01,Delonte West,37,20,17,.541,35,20,15,.571,2,0,2,.000
kamanch01,Chris Kaman,35,12,23,.343,35,12,23,.343,0,0,0,
goodedr01,Drew Gooden,31,19,12,.613,31,19,12,.613,0,0,0,
najered01,Eduardo Nájera,29,18,11,.621,25,17,8,.680,4,1,3,.250
jamesbe01,Bernard James,29,12,17,.414,29,12,17,.414,0,0,0,
jianlyi01,Yi Jianlian,25,11,14,.440,24,11,13,.458,1,0,1,.000
butleca01,Caron Butler,24,15,9,.625,20,14,6,.700,4,1,3,.250
carroma01,Matt Carroll,24,15,9,.625,23,14,9,.609,1,1,0,1.000
chandty01,Tyson Chandler,23,17,6,.739,23,17,6,.739,0,0,0,
stojape01,Peja Stojaković,21,16,5,.762,21,16,5,.762,0,0,0,
singlja01,James Singleton,20,12,8,.600,20,12,8,.600,0,0,0,
rossqu01,Quinton Ross,20,12,8,.600,20,12,8,.600,0,0,0,
jamesmi01,Mike James,17,10,7,.588,17,10,7,.588,0,0,0,
howarjo01,Josh Howard,17,9,8,.529,17,9,8,.529,0,0,0,
humphkr01,Kris Humphries,17,12,5,.706,17,12,5,.706,0,0,0,
thomati01,Tim Thomas,13,7,6,.538,13,7,6,.538,0,0,0,
breweco01,Corey Brewer,13,9,4,.692,13,9,4,.692,0,0,0,
murphtr01,Troy Murphy,8,1,7,.125,8,1,7,.125,0,0,0,
willise01,Sean Williams,7,1,6,.143,7,1,6,.143,0,0,0,
fishede01,Derek Fisher,7,3,4,.429,7,3,4,.429,0,0,0,
cunnija01,Jared Cunningham,6,2,4,.333,6,2,4,.333,0,0,0,
douglch01,Chris Douglas-Roberts,5,1,4,.200,5,1,4,.200,0,0,0,
azubuke01,Kelenna Azubuike,4,1,3,.250,3,1,2,.333,1,0,1,.000
curryed01,Eddy Curry,2,1,1,.500,2,1,1,.500,0,0,0,
wrighch02,Chris Wright,1,1,0,1.000,1,1,0,1.000,0,0,0,
morroan01,Anthony Morrow,1,1,0,1.000,1,1,0,1.000,0,0,0,
