id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
willibu01,Buck Williams,382,171,211,.448,366,166,200,.454,16,5,11,.312
laceysa01,Sam Lacey*,345,166,179,.481,329,161,168,.489,16,5,11,.312
gminsmi01,Mike Gminski,341,159,182,.466,325,154,171,.474,16,5,11,.312
wedmasc01,Scott Wedman,300,150,150,.500,284,145,139,.511,16,5,11,.312
cookda01,Darwin Cook,296,146,150,.493,280,141,139,.504,16,5,11,.312
kingal01,Albert King,273,131,142,.480,257,126,131,.490,16,5,11,.312
robinbi01,Bill Robinzine,244,124,120,.508,236,122,114,.517,8,2,6,.250
okoremi01,Mike O'Koren,238,115,123,.483,223,110,113,.493,15,5,10,.333
fordph01,Phil Ford,234,123,111,.526,223,121,102,.543,11,2,9,.182
dawkida01,Darryl Dawkins,214,121,93,.565,200,116,84,.580,14,5,9,.357
ranseke01,Kelvin Ransey,204,99,105,.485,196,97,99,.495,8,2,6,.250
kingre01,Reggie King,163,83,80,.509,152,79,73,.520,11,4,7,.364
mckinbi01,Billy McKinney,162,89,73,.549,154,87,67,.565,8,2,6,.250
burleto01,Tom Burleson,160,86,74,.537,160,86,74,.537,0,0,0,
richami01,Micheal Ray Richardson,159,80,79,.503,146,75,71,.514,13,5,8,.385
grunfer01,Ernie Grunfeld,159,79,80,.497,148,75,73,.507,11,4,7,.364
elmorle01,Len Elmore,156,85,71,.545,151,84,67,.556,5,1,4,.200
gerargu01,Gus Gerard*,153,87,66,.569,145,85,60,.586,8,2,6,.250
nashbo01,Bob Nash,149,73,76,.490,144,72,72,.500,5,1,4,.200
walkefo01,Foots Walker,119,67,52,.563,115,65,50,.565,4,2,2,.500
johnsmi01,Mickey Johnson,117,61,56,.521,114,61,53,.535,3,0,3,.000
turneje01,Jeff Turner,107,43,64,.402,104,43,61,.413,3,0,3,.000
allenlu01,Lucius Allen,104,47,57,.452,99,46,53,.465,5,1,4,.200
washiri01,Richard Washington,91,37,54,.407,87,36,51,.414,4,1,3,.250
hillmda01,Darnell Hillman,83,48,35,.578,78,47,31,.603,5,1,4,.200
douglle01,Leon Douglas,76,34,42,.447,68,31,37,.456,8,3,5,.375
boonero01,Ron Boone*,73,28,45,.384,73,28,45,.384,0,0,0,
redmoma01,Marlon Redmond,73,41,32,.562,73,41,32,.562,0,0,0,
kuestjo01,John Kuester,69,27,42,.391,69,27,42,.391,0,0,0,
johnsre01,Reggie Johnson,69,37,32,.536,62,34,28,.548,7,3,4,.429
meriwjo01,Joe Meriweather*,68,28,40,.412,63,26,37,.413,5,2,3,.400
baglejo01,John Bagley,67,15,52,.224,67,15,52,.224,0,0,0,
comegda01,Dallas Comegys,61,13,48,.213,61,13,48,.213,0,0,0,
washipe01,Pearl Washington,61,11,50,.180,61,11,50,.180,0,0,0,
willobi01,Bill Willoughby*,59,32,27,.542,56,30,26,.536,3,2,1,.667
waltoll01,Lloyd Walton,56,28,28,.500,52,26,26,.500,4,2,2,.500
bradldu01,Dudley Bradley,50,12,38,.240,50,12,38,.240,0,0,0,
johnsge02,George Johnson,49,21,28,.429,49,21,28,.429,0,0,0,
hopsode01,Dennis Hopson,49,8,41,.163,49,8,41,.163,0,0,0,
englech01,Chris Engler,48,9,39,.188,48,9,39,.188,0,0,0,
baileja01,James Bailey,43,17,26,.395,43,17,26,.395,0,0,0,
mckenke01,Kevin McKenna,43,12,31,.279,43,12,31,.279,0,0,0,
whitnha02,Hawkeye Whitney,42,17,25,.405,42,17,25,.405,0,0,0,
willira01,Ray Williams,42,18,24,.429,42,18,24,.429,0,0,0,
floydsl01,Sleepy Floyd,41,26,15,.634,41,26,15,.634,0,0,0,
hinsoro01,Roy Hinson,41,11,30,.268,41,11,30,.268,0,0,0,
lambejo01,John Lambert,40,18,22,.450,32,15,17,.469,8,3,5,.375
restake01,Kevin Restani,40,14,26,.350,40,14,26,.350,0,0,0,
mccorti01,Tim McCormick,40,10,30,.250,40,10,30,.250,0,0,0,
philled01,Eddie Phillips,35,21,14,.600,33,21,12,.636,2,0,2,.000
cattabo01,Bobby Cattage,28,9,19,.321,28,9,19,.321,0,0,0,
woolror01,Orlando Woolridge,25,6,19,.240,25,6,19,.240,0,0,0,
colembe01,Ben Coleman,24,3,21,.125,24,3,21,.125,0,0,0,
vanbrja01,Jan van Breda Kolff,23,12,11,.522,23,12,11,.522,0,0,0,
sandefr01,Frankie Sanders,22,10,12,.455,18,8,10,.444,4,2,2,.500
sapplwa01,Wayne Sappleton,22,11,11,.500,22,11,11,.500,0,0,0,
greenmi01,Mike Green*,21,10,11,.476,21,10,11,.476,0,0,0,
brancad01,Adrian Branch,18,3,15,.167,18,3,15,.167,0,0,0,
lewisre01,Reggie Lewis,16,6,10,.375,13,6,7,.462,3,0,3,.000
shawbr01,Brian Shaw,16,6,10,.375,13,6,7,.462,3,0,3,.000
upshake01,Kelvin Upshaw,16,6,10,.375,13,6,7,.462,3,0,3,.000
pincked01,Ed Pinckney,16,6,10,.375,13,6,7,.462,3,0,3,.000
kleinjo01,Joe Kleine,15,5,10,.333,12,5,7,.417,3,0,3,.000
parisro01,Robert Parish,14,4,10,.286,11,4,7,.364,3,0,3,.000
mchalke01,Kevin McHale,14,5,9,.357,11,5,6,.455,3,0,3,.000
gamblke01,Kevin Gamble,13,5,8,.385,12,5,7,.417,1,0,1,.000
whitejo01,Jo Jo White*,13,5,8,.385,13,5,8,.385,0,0,0,
johnsde01,Dennis Johnson,11,4,7,.364,8,4,4,.500,3,0,3,.000
grandro01,Ron Grandison,11,6,5,.545,11,6,5,.545,0,0,0,
washidu01,Duane Washington,11,1,10,.091,11,1,10,.091,0,0,0,
behagro01,Ron Behagen,9,3,6,.333,9,3,6,.333,0,0,0,
nelsolo01,Louie Nelson*,8,4,4,.500,8,4,4,.500,0,0,0,
kuczebr01,Bruce Kuczenski,7,3,4,.429,7,3,4,.429,0,0,0,
walleja01,Jamie Waller,7,1,6,.143,7,1,6,.143,0,0,0,
acresma01,Mark Acres,7,2,5,.286,5,2,3,.400,2,0,2,.000
brownto01,Tony Brown,7,0,7,.000,7,0,7,.000,0,0,0,
woodle01,Leon Wood,7,0,7,.000,7,0,7,.000,0,0,0,
wilsori02,Ricky Wilson,6,2,4,.333,6,2,4,.333,0,0,0,
tolbera01,Ray Tolbert,6,1,5,.167,6,1,5,.167,0,0,0,
jonesma02,Mark Jones,6,2,4,.333,6,2,4,.333,0,0,0,
crosbte01,Terry Crosby,4,4,0,1.000,4,4,0,1.000,0,0,0,
mannipa01,Pace Mannion,3,0,3,.000,3,0,3,.000,0,0,0,
wilsomi01,Michael Wilson,3,1,2,.333,3,1,2,.333,0,0,0,
woodsmi01,Mike Woodson,2,0,2,.000,2,0,2,.000,0,0,0,
higgiro01,Rod Higgins,2,0,2,.000,2,0,2,.000,0,0,0,
mccaran01,Andre McCarter,1,0,1,.000,1,0,1,.000,0,0,0,
bigelbo01,Bob Bigelow,1,0,1,.000,1,0,1,.000,0,0,0,
josepyv01,Yvon Joseph,1,0,1,.000,1,0,1,.000,0,0,0,
moorejo01,Johnny Moore,1,0,1,.000,1,0,1,.000,0,0,0,
