id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
spencfe01,Felton Spencer,16,5,11,.312,16,5,11,.312,0,0,0,
mullich01,Chris Mullin,16,5,11,.312,16,5,11,.312,0,0,0,
declean01,Andrew DeClercq,16,5,11,.312,16,5,11,.312,0,0,0,
marshdo01,Donyell Marshall,16,5,11,.312,16,5,11,.312,0,0,0,
smithjo02,Joe Smith,15,4,11,.267,15,4,11,.267,0,0,0,
sprewla01,Latrell Sprewell,14,4,10,.286,14,4,10,.286,0,0,0,
burresc01,Scott Burrell,14,4,10,.286,14,4,10,.286,0,0,0,
pricema01,Mark Price,13,4,9,.308,13,4,9,.308,0,0,0,
fulleto02,Todd Fuller,12,4,8,.333,12,4,8,.333,0,0,0,
owesra01,Ray Owes,12,5,7,.417,12,5,7,.417,0,0,0,
breauti01,Tim Breaux,11,2,9,.182,11,2,9,.182,0,0,0,
macksa01,Sam Mack,11,2,9,.182,11,2,9,.182,0,0,0,
chilcpe01,Pete Chilcutt,11,2,9,.182,11,2,9,.182,0,0,0,
brownch01,Chucky Brown,11,2,9,.182,11,2,9,.182,0,0,0,
recasel01,Eldridge Recasner,10,2,8,.200,10,2,8,.200,0,0,0,
horryro01,Robert Horry,10,2,8,.200,10,2,8,.200,0,0,0,
jonesch01,Charles Jones,9,1,8,.111,9,1,8,.111,0,0,0,
smithke01,Kenny Smith,9,2,7,.222,9,2,7,.222,0,0,0,
bryanma01,Mark Bryant,8,2,6,.250,8,2,6,.250,0,0,0,
mooretr01,Tracy Moore,6,1,5,.167,6,1,5,.167,0,0,0,
olajuha01,Hakeem Olajuwon,5,1,4,.200,5,1,4,.200,0,0,0,
jacksma01,Mark Jackson,5,3,2,.600,5,3,2,.600,0,0,0,
ellisda01,Dale Ellis,5,3,2,.600,5,3,2,.600,0,0,0,
stithbr01,Bryant Stith,5,3,2,.600,5,3,2,.600,0,0,0,
mcdyean01,Antonio McDyess,5,3,2,.600,5,3,2,.600,0,0,0,
thompbr01,Brooks Thompson,5,3,2,.600,5,3,2,.600,0,0,0,
hammoto01,Tom Hammonds,5,3,2,.600,5,3,2,.600,0,0,0,
johnser02,Ervin Johnson,5,3,2,.600,5,3,2,.600,0,0,0,
hamda01,Darvin Ham,3,2,1,.667,3,2,1,.667,0,0,0,
thompla01,LaSalle Thompson,2,2,0,1.000,2,2,0,1.000,0,0,0,
ellisla01,LaPhonso Ellis,2,0,2,.000,2,0,2,.000,0,0,0,
roelo01,Lou Roe,1,0,1,.000,1,0,1,.000,0,0,0,
jacksja01,Jaren Jackson,1,0,1,.000,1,0,1,.000,0,0,0,
williaa01,Aaron Williams,1,0,1,.000,1,0,1,.000,0,0,0,
