id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jordaed01,Eddie Jordan,133,59,74,.444,133,59,74,.444,0,0,0,
vanbrja01,Jan van Breda Kolff,131,58,73,.443,131,58,73,.443,0,0,0,
johnsge02,George Johnson,129,58,71,.450,129,58,71,.450,0,0,0,
willijo01,John Williamson*,76,34,42,.447,76,34,42,.447,0,0,0,
basseti01,Tim Bassett*,72,31,41,.431,72,31,41,.431,0,0,0,
kingbe01,Bernard King,69,31,38,.449,69,31,38,.449,0,0,0,
jacksph01,Phil Jackson*,61,24,37,.393,61,24,37,.393,0,0,0,
newlimi01,Mike Newlin,61,26,35,.426,61,26,35,.426,0,0,0,
elliobo01,Bob Elliott,58,25,33,.431,58,25,33,.431,0,0,0,
robincl01,Cliff Robinson,56,24,32,.429,56,24,32,.429,0,0,0,
washiwi01,Wilson Washington,53,23,30,.434,53,23,30,.434,0,0,0,
smithro01,Robert Smith,48,22,26,.458,48,22,26,.458,0,0,0,
lagarto01,Tom LaGarde,44,5,39,.114,44,5,39,.114,0,0,0,
spanaji01,Jim Spanarkel,44,5,39,.114,44,5,39,.114,0,0,0,
kelleri01,Rich Kelley,42,18,24,.429,42,18,24,.429,0,0,0,
moneyer01,Eric Money,40,20,20,.500,40,20,20,.500,0,0,0,
hustoge01,Geoff Huston,40,5,35,.125,40,5,35,.125,0,0,0,
nattca01,Calvin Natt,39,18,21,.462,39,18,21,.462,0,0,0,
byrnema01,Marty Byrnes,36,5,31,.139,36,5,31,.139,0,0,0,
jeelaab01,Abdul Jeelani,35,4,31,.114,35,4,31,.114,0,0,0,
lloydsc01,Scott Lloyd,34,3,31,.088,34,3,31,.088,0,0,0,
robinbi01,Bill Robinzine,32,3,29,.094,32,3,29,.094,0,0,0,
simpsra01,Ralph Simpson*,31,11,20,.355,31,11,20,.355,0,0,0,
catchha01,Harvey Catchings,26,10,16,.385,26,10,16,.385,0,0,0,
mackol01,Ollie Mack,25,2,23,.080,25,2,23,.080,0,0,0,
pheglro01,Roger Phegley,24,10,14,.417,24,10,14,.417,0,0,0,
allumda01,Darrell Allums,21,2,19,.095,21,2,19,.095,0,0,0,
davisbr01,Brad Davis,20,2,18,.100,20,2,18,.100,0,0,0,
skinnal01,Al Skinner*,19,5,14,.263,19,5,14,.263,0,0,0,
lucasma01,Maurice Lucas,18,8,10,.444,18,8,10,.444,0,0,0,
duerote01,Terry Duerod,17,2,15,.118,17,2,15,.118,0,0,0,
hassejo01,Joe Hassett*,16,2,14,.125,16,2,14,.125,0,0,0,
washiri01,Richard Washington,11,2,9,.182,11,2,9,.182,0,0,0,
carrau01,Austin Carr,8,1,7,.125,8,1,7,.125,0,0,0,
pietkst01,Stan Pietkiewicz,8,1,7,.125,8,1,7,.125,0,0,0,
whiteje01,Jerome Whitehead,7,1,6,.143,7,1,6,.143,0,0,0,
drollra01,Ralph Drollinger,6,1,5,.167,6,1,5,.167,0,0,0,
kinchch01,Chad Kinch,3,0,3,.000,3,0,3,.000,0,0,0,
keacl01,Clarence Kea,2,0,2,.000,2,0,2,.000,0,0,0,
davismo01,Monti Davis,1,0,1,.000,1,0,1,.000,0,0,0,
