id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
fraziwa01,Walt Frazier,781,465,316,.595,688,411,277,.597,93,54,39,.581
jacksph01,Phil Jackson*,670,371,299,.554,611,341,270,.558,59,30,29,.508
debusda01,Dave DeBusschere,498,322,176,.647,412,271,141,.658,86,51,35,.593
barnedi01,Dick Barnett,465,298,167,.641,402,262,140,.652,63,36,27,.571
reedwi01,Willis Reed,434,282,152,.650,360,238,122,.661,74,44,30,.595
monroea01,Earl Monroe,434,240,194,.553,387,214,173,.553,47,26,21,.553
gianejo01,John Gianelli,312,168,144,.538,290,159,131,.548,22,9,13,.409
meminde01,Dean Meminger,309,184,125,.595,264,158,106,.598,45,26,19,.578
lucasje01,Jerry Lucas,261,161,100,.617,217,136,81,.627,44,25,19,.568
russeca01,Cazzie Russell,253,154,99,.609,212,132,80,.623,41,22,19,.537
riordmi01,Mike Riordan,243,168,75,.691,202,143,59,.708,41,25,16,.610
wingoha01,Harthorne Wingo,220,110,110,.500,209,106,103,.507,11,4,7,.364
stallda01,Dave Stallworth,195,128,67,.656,164,109,55,.665,31,19,12,.613
bowmana01,Nate Bowman,185,125,60,.676,156,107,49,.686,29,18,11,.621
bibbyhe01,Henry Bibby,181,106,75,.586,165,99,66,.600,16,7,9,.438
davisme01,Mel Davis,151,68,83,.450,144,67,77,.465,7,1,6,.143
walkne01,Neal Walk,123,55,68,.447,120,54,66,.450,3,1,2,.333
beardbu01,Butch Beard,115,56,59,.487,115,56,59,.487,0,0,0,
barneji02,Jim Barnett,102,43,59,.422,99,42,57,.424,3,1,2,.333
haywosp01,Spencer Haywood,98,46,52,.469,98,46,52,.469,0,0,0,
bellawa01,Walt Bellamy,86,44,42,.512,80,42,38,.525,6,2,4,.333
maydo01,Don May,85,60,25,.706,74,54,20,.730,11,6,5,.545
hoskebi01,Bill Hosket,84,59,25,.702,75,55,20,.733,9,4,5,.444
komivho01,Howard Komives*,80,40,40,.500,74,38,36,.514,6,2,4,.333
rikerto01,Tom Riker,80,43,37,.537,79,43,36,.544,1,0,1,.000
masted01,Eddie Mast,77,50,27,.649,67,45,22,.672,10,5,5,.500
rackllu01,Luther Rackley,71,45,26,.634,60,39,21,.650,11,6,5,.545
sheltlo01,Lonnie Shelton,67,32,35,.478,67,32,35,.478,0,0,0,
pricemi01,Mike Price,67,42,25,.627,59,37,22,.627,8,5,3,.625
bellde01,Dennis Bell,63,22,41,.349,60,21,39,.350,3,1,2,.333
mcmilji01,Jim McMillian*,60,28,32,.467,60,28,32,.467,0,0,0,
fillmgr01,Greg Fillmore,56,34,22,.607,48,30,18,.625,8,4,4,.500
mcmilto01,Tom McMillen,51,24,27,.471,51,24,27,.471,0,0,0,
milesed01,Eddie Miles,50,31,19,.620,42,26,16,.619,8,5,3,.625
burdeti01,Ticky Burden,49,21,28,.429,49,21,28,.429,0,0,0,
darkje01,Jesse Dark,48,17,31,.354,46,17,29,.370,2,0,2,.000
mcadobo01,Bob McAdoo,48,21,27,.438,48,21,27,.438,0,0,0,
vanardi01,Dick Van Arsdale,47,25,22,.532,43,24,19,.558,4,1,3,.250
bryanem01,Em Bryant*,47,24,23,.511,42,23,19,.548,5,1,4,.200
warrejo01,John Warren,46,34,12,.739,36,28,8,.778,10,6,4,.600
laytomo01,Mo Layton,44,20,24,.455,44,20,24,.455,0,0,0,
paulkch01,Charlie Paulk*,34,18,16,.529,27,13,14,.481,7,5,2,.714
shortge01,Gene Short,27,11,16,.407,27,11,16,.407,0,0,0,
garredi01,Dick Garrett*,25,13,12,.520,25,13,12,.520,0,0,0,
johnsne02,Neil Johnson*,20,9,11,.450,18,8,10,.444,2,1,1,.500
porteho01,Howard Porter,16,9,7,.562,16,9,7,.562,0,0,0,
mayfike01,Ken Mayfield,13,4,9,.308,13,4,9,.308,0,0,0,
crawffr01,Freddie Crawford,5,1,4,.200,5,1,4,.200,0,0,0,
jacksgr01,Greg Jackson,5,3,2,.600,5,3,2,.600,0,0,0,
willimi01,Milt Williams,4,3,1,.750,4,3,1,.750,0,0,0,
foglela01,Larry Fogle,2,1,1,.500,2,1,1,.500,0,0,0,
mcguial02,Allie McGuire,2,1,1,.500,2,1,1,.500,0,0,0,
