id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
haywobr01,Brendan Haywood,223,98,125,.439,220,97,123,.441,3,1,2,.333
thomaet01,Etan Thomas,172,72,100,.419,169,71,98,.420,3,1,2,.333
hughela01,Larry Hughes,164,68,96,.415,161,67,94,.416,3,1,2,.333
laettch01,Christian Laettner,159,58,101,.365,159,58,101,.365,0,0,0,
bryanko01,Kobe Bryant,144,81,63,.562,132,77,55,.583,12,4,8,.333
dixonju01,Juan Dixon,137,53,84,.387,134,52,82,.388,3,1,2,.333
jeffrja01,Jared Jeffries,135,52,83,.385,132,51,81,.386,3,1,2,.333
vujacsa01,Sasha Vujačić,134,70,64,.522,123,67,56,.545,11,3,8,.273
waltolu01,Luke Walton,128,74,54,.578,116,70,46,.603,12,4,8,.333
odomla01,Lamar Odom,127,74,53,.583,115,70,45,.609,12,4,8,.333
parkesm01,Smush Parker,125,67,58,.536,113,63,50,.558,12,4,8,.333
luety01,Tyronn Lue,120,55,65,.458,120,55,65,.458,0,0,0,
jordami01,Michael Jordan,119,55,64,.462,119,55,64,.462,0,0,0,
cookbr01,Brian Cook,115,62,53,.539,103,58,45,.563,12,4,8,.333
hamilri01,Richard Hamilton,113,47,66,.416,110,47,63,.427,3,0,3,.000
maxieja01,Jason Maxiell,105,43,62,.410,102,43,59,.422,3,0,3,.000
stuckro01,Rodney Stuckey,100,40,60,.400,97,40,57,.412,3,0,3,.000
bynuman01,Andrew Bynum,98,60,38,.612,92,59,33,.641,6,1,5,.167
blakest01,Steve Blake,95,36,59,.379,94,35,59,.372,1,1,0,1.000
arenagi01,Gilbert Arenas,92,39,53,.424,89,38,51,.427,3,1,2,.333
stackje01,Jerry Stackhouse,90,36,54,.400,90,36,54,.400,0,0,0,
bynumwi01,Will Bynum,87,36,51,.414,84,36,48,.429,3,0,3,.000
princta01,Tayshaun Prince,85,34,51,.400,82,34,48,.415,3,0,3,.000
hayesja01,Jarvis Hayes,83,31,52,.373,83,31,52,.373,0,0,0,
turiaro01,Ronny Turiaf,82,44,38,.537,75,44,31,.587,7,0,7,.000
whitnch01,Chris Whitney,73,29,44,.397,73,29,44,.397,0,0,0,
georgde01,Devean George,73,39,34,.534,66,36,30,.545,7,3,4,.429
russebr01,Bryon Russell,69,30,39,.435,69,30,39,.435,0,0,0,
whiteja01,Jahidi White,67,30,37,.448,67,30,37,.448,0,0,0,
augusdj01,D.J. Augustin,66,27,39,.409,66,27,39,.409,0,0,0,
diawbo01,Boris Diaw,66,27,39,.409,66,27,39,.409,0,0,0,
farmajo01,Jordan Farmar,60,36,24,.600,55,35,20,.636,5,1,4,.200
simmobo01,Bobby Simmons,59,26,33,.441,59,26,33,.441,0,0,0,
mcguido01,Dominic McGuire,57,19,38,.333,57,19,38,.333,0,0,0,
livinsh01,Shaun Livingston,57,24,33,.421,57,24,33,.421,0,0,0,
afflaar01,Arron Afflalo,56,26,30,.464,53,26,27,.491,3,0,3,.000
jonespo01,Popeye Jones,55,26,29,.473,55,26,29,.473,0,0,0,
mihmch01,Chris Mihm,54,29,25,.537,54,29,25,.537,0,0,0,
hendege02,Gerald Henderson,54,23,31,.426,54,23,31,.426,0,0,0,
herrmwa01,Walter Herrmann,53,24,29,.453,50,24,26,.480,3,0,3,.000
jacksst02,Stephen Jackson,51,23,28,.451,51,23,28,.451,0,0,0,
evansma01,Maurice Evans,48,27,21,.562,43,26,17,.605,5,1,4,.200
johnsam01,Amir Johnson,47,21,26,.447,45,21,24,.467,2,0,2,.000
nesbyty01,Tyrone Nesby,46,20,26,.435,46,20,26,.435,0,0,0,
jerebjo01,Jonas Jerebko,46,15,31,.326,46,15,31,.326,0,0,0,
carroma01,Matt Carroll,46,18,28,.391,46,18,28,.391,0,0,0,
villach01,Charlie Villanueva,45,16,29,.356,45,16,29,.356,0,0,0,
wallara01,Rasheed Wallace,45,22,23,.489,42,22,20,.524,3,0,3,.000
dayeau01,Austin Daye,43,14,29,.326,43,14,29,.326,0,0,0,
mcdyean01,Antonio McDyess,41,18,23,.439,38,18,20,.474,3,0,3,.000
ruffimi01,Michael Ruffin,41,22,19,.537,39,21,18,.538,2,1,1,.500
profila01,Laron Profit,41,19,22,.463,40,18,22,.450,1,1,0,1.000
oaklech01,Charles Oakley,40,17,23,.425,40,17,23,.425,0,0,0,
gordobe01,Ben Gordon,38,12,26,.316,38,12,26,.316,0,0,0,
alexaco02,Courtney Alexander,37,13,24,.351,37,13,24,.351,0,0,0,
mohamna01,Nazr Mohammed,36,15,21,.417,36,15,21,.417,0,0,0,
radmavl01,Vladimir Radmanović,36,24,12,.667,36,24,12,.667,0,0,0,
davishu01,Hubert Davis,35,19,16,.543,35,19,16,.543,0,0,0,
wallabe01,Ben Wallace,35,14,21,.400,35,14,21,.400,0,0,0,
wallage01,Gerald Wallace,34,16,18,.471,34,16,18,.471,0,0,0,
jamisan01,Antawn Jamison,33,17,16,.515,30,16,14,.533,3,1,2,.333
butlemi02,Mitchell Butler,33,10,23,.303,33,10,23,.303,0,0,0,
iversal01,Allen Iverson,32,14,18,.438,32,14,18,.438,0,0,0,
knighbr01,Brevin Knight,32,9,23,.281,32,9,23,.281,0,0,0,
summeda01,DaJuan Summers,31,9,22,.290,31,9,22,.290,0,0,0,
wrighdo01,Dorell Wright,30,10,20,.333,30,10,20,.333,0,0,0,
thomaty01,Tyrus Thomas,29,12,17,.414,29,12,17,.414,0,0,0,
najered01,Eduardo Nájera,28,13,15,.464,28,13,15,.464,0,0,0,
brownde04,Derrick Brown,27,10,17,.370,27,10,17,.370,0,0,0,
crittja01,Javaris Crittenton,26,13,13,.500,26,13,13,.500,0,0,0,
whitedj01,D.J. White,23,7,16,.304,23,7,16,.304,0,0,0,
atkinch01,Chucky Atkins,23,9,14,.391,23,9,14,.391,0,0,0,
fishede01,Derek Fisher,23,15,8,.652,23,15,8,.652,0,0,0,
hawessp01,Spencer Hawes,22,7,15,.318,22,7,15,.318,0,0,0,
turneev01,Evan Turner,22,7,15,.318,22,7,15,.318,0,0,0,
allenla01,Lavoy Allen,22,7,15,.318,22,7,15,.318,0,0,0,
cunnida01,Dante Cunningham,21,7,14,.333,21,7,14,.333,0,0,0,
youngni01,Nick Young,21,7,14,.333,21,7,14,.333,0,0,0,
peelean01,Anthony Peeler,20,8,12,.400,18,8,10,.444,2,0,2,.000
youngth01,Thaddeus Young,20,7,13,.350,20,7,13,.350,0,0,0,
greende01,Devin Green,20,9,11,.450,20,9,11,.450,0,0,0,
willish01,Shammond Williams,20,8,12,.400,16,7,9,.438,4,1,3,.250
cardibr01,Brian Cardinal,18,5,13,.278,18,5,13,.278,0,0,0,
holidjr01,Jrue Holiday,18,7,11,.389,18,7,11,.389,0,0,0,
richaja01,Jason Richardson,17,7,10,.412,17,7,10,.412,0,0,0,
wilcoch01,Chris Wilcox,17,4,13,.235,17,4,13,.235,0,0,0,
mckieaa01,Aaron McKie,17,7,10,.412,16,7,9,.438,1,0,1,.000
jacksji01,Jim Jackson,16,10,6,.625,13,9,4,.692,3,1,2,.333
lowryky01,Kyle Lowry*,15,3,12,.200,15,3,12,.200,0,0,0,
warriha01,Hakim Warrick,15,3,12,.200,15,3,12,.200,0,0,0,
gayru01,Rudy Gay*,15,3,12,.200,15,3,12,.200,0,0,0,
wilkida02,Damien Wilkins,15,2,13,.133,15,2,13,.133,0,0,0,
navarju01,Juan Carlos Navarro,15,3,12,.200,15,3,12,.200,0,0,0,
milicda01,Darko Miličić,14,3,11,.214,14,3,11,.214,0,0,0,
iveyro01,Royal Ivey,14,3,11,.214,14,3,11,.214,0,0,0,
conlemi01,Mike Conley*,14,3,11,.214,14,3,11,.214,0,0,0,
brownda02,Damone Brown,13,7,6,.538,13,7,6,.538,0,0,0,
collish01,Sherron Collins,13,5,8,.385,13,5,8,.385,0,0,0,
collija04,Jason Collins,12,3,9,.250,12,3,9,.250,0,0,0,
waynsma01,Maalik Wayns,12,3,9,.250,12,3,9,.250,0,0,0,
wafervo01,Von Wafer,12,3,9,.250,12,3,9,.250,0,0,0,
templga01,Garrett Temple,11,3,8,.273,11,3,8,.273,0,0,0,
millemi01,Mike Miller,10,3,7,.300,10,3,7,.300,0,0,0,
arizatr01,Trevor Ariza,10,8,2,.800,10,8,2,.800,0,0,0,
udohek01,Ekpe Udoh,9,3,6,.333,9,3,6,.333,0,0,0,
thompkl01,Klay Thompson,9,3,6,.333,9,3,6,.333,0,0,0,
rushbr01,Brandon Rush,9,3,6,.333,9,3,6,.333,0,0,0,
sharpwa01,Walter Sharpe,8,6,2,.750,8,6,2,.750,0,0,0,
ellismo01,Monta Ellis,8,3,5,.375,8,3,5,.375,0,0,0,
leeda02,David Lee,8,3,5,.375,8,3,5,.375,0,0,0,
jacobca01,Casey Jacobsen,8,2,6,.250,8,2,6,.250,0,0,0,
karlco01,Coby Karl,7,6,1,.857,7,6,1,.857,0,0,0,
ackeral01,Alex Acker,7,3,4,.429,7,3,4,.429,0,0,0,
jenkich01,Charles Jenkins,7,2,5,.286,7,2,5,.286,0,0,0,
moultar01,Arnett Moultrie,6,1,5,.167,6,1,5,.167,0,0,0,
baxtelo01,Lonny Baxter,6,3,3,.500,6,3,3,.500,0,0,0,
smithis01,Ish Smith*,6,2,4,.333,6,2,4,.333,0,0,0,
biedran01,Andris Biedriņš,6,2,4,.333,6,2,4,.333,0,0,0,
curryst01,Stephen Curry*,5,1,4,.200,5,1,4,.200,0,0,0,
goldwan01,Anthony Goldwire,5,2,3,.400,5,2,3,.400,0,0,0,
przybjo01,Joel Przybilla,5,0,5,.000,5,0,5,.000,0,0,0,
brownan01,Andre Brown,5,0,5,.000,5,0,5,.000,0,0,0,
tylerje01,Jeremy Tyler,4,1,3,.250,4,1,3,.250,0,0,0,
braggto01,Torraye Braggs,4,2,2,.500,4,2,2,.500,0,0,0,
mbengdj01,D.J. Mbenga,4,2,2,.500,4,2,2,.500,0,0,0,
wrighch01,Chris Wright,3,1,2,.333,3,1,2,.333,0,0,0,
diopde01,DeSagana Diop,3,1,2,.333,3,1,2,.333,0,0,0,
robinna01,Nate Robinson,3,1,2,.333,3,1,2,.333,0,0,0,
walkesa01,Samaki Walker,2,1,1,.500,2,1,1,.500,0,0,0,
billuch01,Chauncey Billups,2,2,0,1.000,2,2,0,1.000,0,0,0,
ramospe01,Peter John Ramos,2,0,2,.000,2,0,2,.000,0,0,0,
medvest01,Stanislav Medvedenko,2,0,2,.000,2,0,2,.000,0,0,0,
macksh01,Shelvin Mack,1,0,1,.000,1,0,1,.000,0,0,0,
pargoje01,Jeremy Pargo,1,0,1,.000,1,0,1,.000,0,0,0,
