id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
odomla01,Lamar Odom,236,163,73,.691,182,128,54,.703,54,35,19,.648
fishede01,Derek Fisher,235,162,73,.689,182,128,54,.703,53,34,19,.642
bryanko01,Kobe Bryant,227,157,70,.692,173,122,51,.705,54,35,19,.648
gasolpa01,Pau Gasol,219,152,67,.694,165,117,48,.709,54,35,19,.648
artesro01,Metta World Peace,191,130,61,.681,159,110,49,.692,32,20,12,.625
bynuman01,Andrew Bynum,177,121,56,.684,123,86,37,.699,54,35,19,.648
farmajo01,Jordan Farmar,141,100,41,.709,100,71,29,.710,41,29,12,.707
waltolu01,Luke Walton,137,99,38,.723,101,73,28,.723,36,26,10,.722
dudleja01,Jared Dudley,128,48,80,.375,128,48,80,.375,0,0,0,
vujacsa01,Sasha Vujačić,127,94,33,.740,96,72,24,.750,31,22,9,.710
morrima02,Markieff Morris,115,44,71,.383,115,44,71,.383,0,0,0,
gortama01,Marcin Gortat,112,46,66,.411,112,46,66,.411,0,0,0,
poweljo01,Josh Powell,107,78,29,.729,80,57,23,.713,27,21,6,.778
telfase01,Sebastian Telfair,99,43,56,.434,99,43,56,.434,0,0,0,
blakest01,Steve Blake,88,59,29,.670,79,55,24,.696,9,4,5,.444
morriad01,Adam Morrison,71,42,29,.592,69,41,28,.594,2,1,1,.500
mbengdj01,D.J. Mbenga,70,49,21,.700,61,42,19,.689,9,7,2,.778
barnema02,Matt Barnes,63,40,23,.635,53,36,17,.679,10,4,6,.400
scolalu01,Luis Scola,59,17,42,.288,59,17,42,.288,0,0,0,
lopezro01,Robin Lopez*,58,29,29,.500,58,29,29,.500,0,0,0,
tuckepj01,P.J. Tucker,57,17,40,.298,57,17,40,.298,0,0,0,
fryech01,Channing Frye,57,29,28,.509,57,29,28,.509,0,0,0,
beaslmi01,Michael Beasley,55,17,38,.309,55,17,38,.309,0,0,0,
nashst01,Steve Nash,55,28,27,.509,55,28,27,.509,0,0,0,
dragigo01,Goran Dragić*,55,17,38,.309,55,17,38,.309,0,0,0,
feltora01,Raymond Felton,48,22,26,.458,48,22,26,.458,0,0,0,
reddmi01,Michael Redd,44,21,23,.477,44,21,23,.477,0,0,0,
hillgr01,Grant Hill,42,21,21,.500,42,21,21,.500,0,0,0,
caracde01,Derrick Caracter,41,29,12,.707,41,29,12,.707,0,0,0,
onealje01,Jermaine O'Neal,40,11,29,.275,40,11,29,.275,0,0,0,
goodedr01,Drew Gooden,40,19,21,.475,39,19,20,.487,1,0,1,.000
arizatr01,Trevor Ariza,39,29,10,.744,18,14,4,.778,21,15,6,.714
ilgauzy01,Zydrunas Ilgauskas,38,18,20,.474,37,18,19,.486,1,0,1,.000
snower01,Eric Snow,37,18,19,.486,36,18,18,.500,1,0,1,.000
warriha01,Hakim Warrick,34,14,20,.412,34,14,20,.412,0,0,0,
jamesle01,LeBron James*,32,17,15,.531,31,17,14,.548,1,0,1,.000
pavloal01,Sasha Pavlović,32,18,14,.562,31,18,13,.581,1,0,1,.000
hughela01,Larry Hughes,32,17,15,.531,32,17,15,.531,0,0,0,
pricero01,Ronnie Price,31,11,20,.355,31,11,20,.355,0,0,0,
jonesda01,Damon Jones,31,13,18,.419,30,13,17,.433,1,0,1,.000
okafoem01,Emeka Okafor,30,11,19,.367,30,11,19,.367,0,0,0,
varejan01,Anderson Varejão,29,18,11,.621,28,18,10,.643,1,0,1,.000
marshdo01,Donyell Marshall,28,16,12,.571,27,16,11,.593,1,0,1,.000
childjo01,Josh Childress,27,12,15,.444,27,12,15,.444,0,0,0,
johnswe01,Wesley Johnson,27,6,21,.222,27,6,21,.222,0,0,0,
marshke01,Kendall Marshall,25,4,21,.160,25,4,21,.160,0,0,0,
gibsoda01,Daniel Gibson,24,7,17,.292,23,7,16,.304,1,0,1,.000
wallage01,Gerald Wallace,23,11,12,.478,23,11,12,.478,0,0,0,
diawbo01,Boris Diaw,22,13,9,.591,22,13,9,.591,0,0,0,
augusdj01,D.J. Augustin,21,7,14,.333,21,7,14,.333,0,0,0,
newblir01,Ira Newble,20,8,12,.400,20,8,12,.400,0,0,0,
ebankde01,Devin Ebanks,20,15,5,.750,20,15,5,.750,0,0,0,
mohamna01,Nazr Mohammed,19,6,13,.316,19,6,13,.316,0,0,0,
hardati02,Tim Hardaway Jr.,19,12,7,.632,19,12,7,.632,0,0,0,
smithjr01,J.R. Smith,19,12,7,.632,19,12,7,.632,0,0,0,
ajincal01,Alexis Ajinça,19,5,14,.263,19,5,14,.263,0,0,0,
prigipa01,Pablo Prigioni,19,12,7,.632,19,12,7,.632,0,0,0,
smithjo02,Joe Smith,17,13,4,.765,12,11,1,.917,5,2,3,.400
anthoca01,Carmelo Anthony*,17,10,7,.588,17,10,7,.588,0,0,0,
jonesdw02,Dwayne Jones,17,3,14,.176,17,3,14,.176,0,0,0,
stoudam01,Amar'e Stoudemire,16,10,6,.625,16,10,6,.625,0,0,0,
tylerje01,Jeremy Tyler,16,10,6,.625,16,10,6,.625,0,0,0,
carroma01,Matt Carroll,16,5,11,.312,16,5,11,.312,0,0,0,
zellelu01,Luke Zeller,16,6,10,.375,16,6,10,.375,0,0,0,
chandty01,Tyson Chandler,16,9,7,.562,16,9,7,.562,0,0,0,
shumpim01,Iman Shumpert,16,12,4,.750,16,12,4,.750,0,0,0,
murryto01,Toure' Murry,15,9,6,.600,15,9,6,.600,0,0,0,
aldrico01,Cole Aldrich,14,10,4,.714,14,10,4,.714,0,0,0,
brownde02,Devin Brown,12,1,11,.083,12,1,11,.083,0,0,0,
howarju01,Juwan Howard,12,6,6,.500,12,6,6,.500,0,0,0,
singlse01,Sean Singletary,11,5,6,.455,11,5,6,.455,0,0,0,
mayse01,Sean May,11,3,8,.273,11,3,8,.273,0,0,0,
ratlith01,Theo Ratliff,11,10,1,.909,10,10,0,1.000,1,0,1,.000
denglu01,Luol Deng,11,6,5,.545,11,6,5,.545,0,0,0,
bellra01,Raja Bell,11,5,6,.455,11,5,6,.455,0,0,0,
wesleda01,David Wesley,11,6,5,.545,11,6,5,.545,0,0,0,
bonnema01,Matt Bonner,10,7,3,.700,10,7,3,.700,0,0,0,
garredi02,Diante Garrett,10,2,8,.200,10,2,8,.200,0,0,0,
millspa02,Patty Mills*,10,7,3,.700,10,7,3,.700,0,0,0,
josepco01,Cory Joseph,10,7,3,.700,10,7,3,.700,0,0,0,
greenda02,Danny Green,9,6,3,.667,9,6,3,.667,0,0,0,
richaja01,Jason Richardson,9,3,6,.333,9,3,6,.333,0,0,0,
pendeje02,Jeff Ayres,9,6,3,.667,9,6,3,.667,0,0,0,
holliry01,Ryan Hollins,9,3,6,.333,9,3,6,.333,0,0,0,
belinma01,Marco Belinelli,9,6,3,.667,9,6,3,.667,0,0,0,
decolna01,Nando De Colo,8,6,2,.750,8,6,2,.750,0,0,0,
diopde01,DeSagana Diop,8,3,5,.375,8,3,5,.375,0,0,0,
duncati01,Tim Duncan,8,6,2,.750,8,6,2,.750,0,0,0,
clarkea01,Earl Clark,8,5,3,.625,8,5,3,.625,0,0,0,
simmoce01,Cedric Simmons,7,2,5,.286,7,2,5,.286,0,0,0,
grayaa01,Aaron Gray,6,3,3,.500,6,3,3,.500,0,0,0,
noahjo01,Joakim Noah,6,3,3,.500,6,3,3,.500,0,0,0,
hinriki01,Kirk Hinrich,6,3,3,.500,6,3,3,.500,0,0,0,
nocioan01,Andrés Nocioni,6,3,3,.500,6,3,3,.500,0,0,0,
gordobe01,Ben Gordon,6,3,3,.500,6,3,3,.500,0,0,0,
splitti01,Tiago Splitter,6,4,2,.667,6,4,2,.667,0,0,0,
pollasc01,Scot Pollard,5,1,4,.200,5,1,4,.200,0,0,0,
napiesh01,Shabazz Napier,5,3,2,.600,5,3,2,.600,0,0,0,
parketo01,Tony Parker,5,4,1,.800,5,4,1,.800,0,0,0,
haddaha01,Hamed Haddadi,5,0,5,.000,5,0,5,.000,0,0,0,
boshch01,Chris Bosh,5,3,2,.600,5,3,2,.600,0,0,0,
morrima03,Marcus Morris*,5,0,5,.000,5,0,5,.000,0,0,0,
chalmma01,Mario Chalmers,5,3,2,.600,5,3,2,.600,0,0,0,
willish03,Shawne Williams,5,3,2,.600,5,3,2,.600,0,0,0,
ennisja01,James Ennis III,5,3,2,.600,5,3,2,.600,0,0,0,
baynear01,Aron Baynes,4,1,3,.250,4,1,3,.250,0,0,0,
nichode01,Demetris Nichols,4,1,3,.250,4,1,3,.250,0,0,0,
thomaty01,Tyrus Thomas,4,2,2,.500,4,2,2,.500,0,0,0,
mcrobjo01,Josh McRoberts,4,3,1,.750,4,3,1,.750,0,0,0,
anderch01,Chris Andersen,4,2,2,.500,4,2,2,.500,0,0,0,
johnstr01,Trey Johnson,4,2,2,.500,1,1,0,1.000,3,1,2,.333
duhonch01,Chris Duhon,3,1,2,.333,3,1,2,.333,0,0,0,
martica01,Cartier Martin,3,0,3,.000,3,0,3,.000,0,0,0,
brownan01,Andre Brown,3,1,2,.333,3,1,2,.333,0,0,0,
ginobma01,Manu Ginóbili,3,2,1,.667,3,2,1,.667,0,0,0,
coleno01,Norris Cole,3,1,2,.333,3,1,2,.333,0,0,0,
sefolth01,Thabo Sefolosha,2,1,1,.500,2,1,1,.500,0,0,0,
hasleud01,Udonis Haslem,2,1,1,.500,2,1,1,.500,0,0,0,
hamilju01,Justin Hamilton,2,1,1,.500,2,1,1,.500,0,0,0,
mihmch01,Chris Mihm,1,1,0,1.000,1,1,0,1.000,0,0,0,
johnsli01,Linton Johnson,1,0,1,.000,1,0,1,.000,0,0,0,
grangda01,Danny Granger,1,0,1,.000,1,0,1,.000,0,0,0,
wadedw01,Dwyane Wade,1,1,0,1.000,1,1,0,1.000,0,0,0,
