id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
gueriri01,Richie Guerin,15,7,8,.467,15,7,8,.467,0,0,0,
jordoph01,Phil Jordon*,8,3,5,.375,8,3,5,.375,0,0,0,
imhofda01,Darrall Imhoff,8,3,5,.375,8,3,5,.375,0,0,0,
buddda01,Dave Budd*,8,3,5,.375,8,3,5,.375,0,0,0,
martiwh01,Whitey Martin,8,3,5,.375,8,3,5,.375,0,0,0,
naullwi01,Willie Naulls*,8,3,5,.375,8,3,5,.375,0,0,0,
greenjo01,Johnny Green*,8,3,5,.375,8,3,5,.375,0,0,0,
stithsa01,Sam Stith*,8,3,5,.375,8,3,5,.375,0,0,0,
bridgbi01,Bill Bridges,7,4,3,.571,7,4,3,.571,0,0,0,
vaughch01,Chico Vaughn*,7,4,3,.571,7,4,3,.571,0,0,0,
blanege01,George Blaney,7,2,5,.286,7,2,5,.286,0,0,0,
wilkele01,Lenny Wilkens,7,4,3,.571,7,4,3,.571,0,0,0,
buckncl01,Cleveland Buckner,7,2,5,.286,7,2,5,.286,0,0,0,
beatyze01,Zelmo Beaty,7,4,3,.571,7,4,3,.571,0,0,0,
silaspa01,Paul Silas,7,4,3,.571,7,4,3,.571,0,0,0,
hagancl01,Cliff Hagan*,6,3,3,.500,6,3,3,.500,0,0,0,
mullije01,Jeff Mullins*,5,4,1,.800,5,4,1,.800,0,0,0,
farmemi01,Mike Farmer*,3,1,2,.333,3,1,2,.333,0,0,0,
smithbi01,Bill Smith,3,1,2,.333,3,1,2,.333,0,0,0,
kistldo01,Doug Kistler,2,0,2,.000,2,0,2,.000,0,0,0,
barnhjo01,John Barnhill*,2,2,0,1.000,2,2,0,1.000,0,0,0,
