id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mcclate01,Ted McClain*,212,123,89,.580,190,114,76,.600,22,9,13,.409
jonesbo01,Bobby Jones,204,128,76,.627,173,114,59,.659,31,14,17,.452
littlge01,Gene Littles,183,110,73,.601,167,103,64,.617,16,7,9,.438
mannied01,Ed Manning*,180,107,73,.594,164,100,64,.610,16,7,9,.438
owensto01,Tom Owens*,179,109,70,.609,163,102,61,.626,16,7,9,.438
caldwjo01,Joe Caldwell,171,104,67,.608,155,97,58,.626,16,7,9,.438
jonesla01,Larry Jones*,157,70,87,.446,147,68,79,.463,10,2,8,.200
taylofa01,Fatty Taylor,148,81,67,.547,134,74,60,.552,14,7,7,.500
wisewi01,Willie Wise,147,71,76,.483,129,62,67,.481,18,9,9,.500
wuycide01,Dennis Wuycik*,147,92,55,.626,132,85,47,.644,15,7,8,.467
franzro01,Ron Franz,141,59,82,.418,135,58,77,.430,6,1,5,.167
robinsa01,Sam Robinson*,138,57,81,.413,128,55,73,.430,10,2,8,.200
cunnibi01,Billy Cunningham,131,86,45,.656,116,79,37,.681,15,7,8,.467
raymocr01,Craig Raymond,129,62,67,.481,108,52,56,.481,21,10,11,.476
greenmi01,Mike Green*,126,72,54,.571,113,65,48,.575,13,7,6,.538
simpsra01,Ralph Simpson*,125,83,42,.664,100,71,29,.710,25,12,13,.480
daviswa02,Warren Davis*,124,56,68,.452,118,54,64,.458,6,2,4,.333
jonesst01,Steve Jones*,123,79,44,.642,111,72,39,.649,12,7,5,.583
thompda01,David Thompson,122,68,54,.557,104,61,43,.587,18,7,11,.389
isselda01,Dan Issel*,122,68,54,.557,104,61,43,.587,18,7,11,.389
washitr01,Trooper Washington*,115,59,56,.513,92,47,45,.511,23,12,11,.522
hargeir01,Ira Harge,114,46,68,.404,108,44,64,.407,6,2,4,.333
wrighlo01,Lonnie Wright*,113,49,64,.434,103,47,56,.456,10,2,8,.200
beckby01,Byron Beck*,107,74,33,.692,89,66,23,.742,18,8,10,.444
warrebo01,Bob Warren,106,56,50,.528,89,46,43,.517,17,10,7,.588
tuckeal01,Al Tucker*,101,42,59,.416,92,40,52,.435,9,2,7,.222
stonege01,George Stone,100,52,48,.520,83,42,41,.506,17,10,7,.588
vanbrja01,Jan van Breda Kolff,89,64,25,.719,77,57,20,.740,12,7,5,.583
roberan01,Anthony Roberts,89,51,38,.573,77,46,31,.597,12,5,7,.417
wilkebo01,Bob Wilkerson,88,50,38,.568,76,45,31,.592,12,5,7,.417
robisda01,Dave Robisch*,87,64,23,.736,74,57,17,.770,13,7,6,.538
choneji01,Jim Chones,86,45,41,.523,82,45,37,.549,4,0,4,.000
ellisbo02,Bo Ellis,84,49,35,.583,73,44,29,.603,11,5,6,.455
jabalwa01,Warren Jabali,83,36,47,.434,79,36,43,.456,4,0,4,.000
bristal01,Allan Bristow,83,33,50,.398,83,33,50,.398,0,0,0,
priceji01,Jim Price,83,49,34,.590,77,47,30,.610,6,2,4,.333
lagarto01,Tom LaGarde,82,48,34,.585,73,44,29,.603,9,4,5,.444
longwi01,Willie Long*,77,32,45,.416,73,32,41,.438,4,0,4,.000
fulleca01,Carl Fuller*,76,34,42,.447,71,33,38,.465,5,1,4,.200
roberma01,Marv Roberts*,75,27,48,.360,71,27,44,.380,4,0,4,.000
terrycl01,Claude Terry*,71,51,20,.718,59,45,14,.763,12,6,6,.500
jacksme01,Merv Jackson,69,37,32,.536,52,27,25,.519,17,10,7,.588
brownro02,Roger Brown*,68,46,22,.676,61,41,20,.672,7,5,2,.714
mcfarpa01,Pat McFarland*,68,52,16,.765,63,50,13,.794,5,2,3,.400
anderan01,Andy Anderson*,65,36,29,.554,49,26,23,.531,16,10,6,.625
nelsoro01,Ron Nelson*,52,21,31,.404,51,20,31,.392,1,1,0,1.000
smithro01,Robert Smith,50,27,23,.540,40,22,18,.550,10,5,5,.500
tinslge01,George Tinsley*,50,19,31,.380,47,19,28,.404,3,0,3,.000
poquebe01,Ben Poquette,48,16,32,.333,48,16,32,.333,0,0,0,
boonero01,Ron Boone*,48,16,32,.333,48,16,32,.333,0,0,0,
hardyja01,James Hardy,48,16,32,.333,48,16,32,.333,0,0,0,
bosweto01,Tom Boswell,47,16,31,.340,47,16,31,.340,0,0,0,
niemari01,Rich Niemann*,47,24,23,.511,46,23,23,.500,1,1,0,1.000
washido01,Don Washington,47,38,9,.809,43,36,7,.837,4,2,2,.500
willidu01,Duck Williams,44,14,30,.318,44,14,30,.318,0,0,0,
benneme01,Mel Bennett,44,9,35,.205,44,9,35,.205,0,0,0,
jacksmi01,Mike Jackson,42,9,33,.214,42,9,33,.214,0,0,0,
furlote01,Terry Furlow,42,14,28,.333,42,14,28,.333,0,0,0,
hillmda01,Darnell Hillman,41,21,20,.512,29,16,13,.552,12,5,7,.417
taylobr01,Brian Taylor*,38,26,12,.684,38,26,12,.684,0,0,0,
dantlad01,Adrian Dantley,38,14,24,.368,38,14,24,.368,0,0,0,
burdeti01,Ticky Burden,37,8,29,.216,37,8,29,.216,0,0,0,
kenonla01,Larry Kenon*,35,17,18,.486,35,17,18,.486,0,0,0,
gervige01,George Gervin,35,17,18,.486,35,17,18,.486,0,0,0,
olberma01,Mark Olberding,35,17,18,.486,35,17,18,.486,0,0,0,
galemi01,Mike Gale*,35,17,18,.486,35,17,18,.486,0,0,0,
paultbi01,Billy Paultz*,35,17,18,.486,35,17,18,.486,0,0,0,
silaspa01,Paul Silas,35,18,17,.514,29,16,13,.552,6,2,4,.333
webstma01,Marvin Webster,35,18,17,.514,29,16,13,.552,6,2,4,.333
dietrco01,Coby Dietrick,35,17,18,.486,35,17,18,.486,0,0,0,
dampilo01,Louie Dampier*,33,16,17,.485,33,16,17,.485,0,0,0,
natersw01,Swen Nater*,33,8,25,.242,33,8,25,.242,0,0,0,
previst01,Steve Previs,32,26,6,.812,30,24,6,.800,2,2,0,1.000
schaebi01,Billy Schaeffer,31,6,25,.194,31,6,25,.194,0,0,0,
dawkipa01,Paul Dawkins,30,7,23,.233,30,7,23,.233,0,0,0,
warlibo01,Bob Warlick*,29,16,13,.552,29,16,13,.552,0,0,0,
workmto01,Tom Workman*,29,13,16,.448,26,12,14,.462,3,1,2,.333
hightwa01,Wayne Hightower*,27,12,15,.444,27,12,15,.444,0,0,0,
mcgilbi01,Bill McGill,27,12,15,.444,27,12,15,.444,0,0,0,
forddo01,Don Ford,26,11,15,.423,26,11,15,.423,0,0,0,
taylool01,Ollie Taylor,24,11,13,.458,22,11,11,.500,2,0,2,.000
whiteje01,Jerome Whitehead,22,5,17,.227,22,5,17,.227,0,0,0,
bratzmi01,Mike Bratz,21,6,15,.286,21,6,15,.286,0,0,0,
laimbbi01,Bill Laimbeer,21,6,15,.286,21,6,15,.286,0,0,0,
carrke01,Kenny Carr,21,6,15,.286,21,6,15,.286,0,0,0,
mitchmi01,Mike Mitchell,21,6,15,.286,21,6,15,.286,0,0,0,
pheglro01,Roger Phegley,21,6,15,.286,21,6,15,.286,0,0,0,
millela01,Larry Miller,21,11,10,.524,21,11,10,.524,0,0,0,
smithra01,Randy Smith,21,6,15,.286,21,6,15,.286,0,0,0,
washiri01,Richard Washington,19,6,13,.316,19,6,13,.316,0,0,0,
lewismi01,Mike Lewis,18,12,6,.667,18,12,6,.667,0,0,0,
leaksma01,Manny Leaks*,16,9,7,.562,16,9,7,.562,0,0,0,
hugheki01,Kim Hughes,15,5,10,.333,15,5,10,.333,0,0,0,
twardda01,Dave Twardzik,15,3,12,.200,15,3,12,.200,0,0,0,
jordawa01,Walter Jordan,13,3,10,.231,13,3,10,.231,0,0,0,
towemo01,Monte Towe*,13,10,3,.769,12,10,2,.833,1,0,1,.000
russeca01,Cazzie Russell,12,5,7,.417,12,5,7,.417,0,0,0,
ohanlfr01,Fran O'Hanlon*,12,5,7,.417,12,5,7,.417,0,0,0,
chanedo01,Don Chaney,12,5,7,.417,12,5,7,.417,0,0,0,
abdulka01,Kareem Abdul-Jabbar,12,5,7,.417,12,5,7,.417,0,0,0,
allenlu01,Lucius Allen,12,5,7,.417,12,5,7,.417,0,0,0,
kupeccj01,C.J. Kupec,12,5,7,.417,12,5,7,.417,0,0,0,
washike01,Kermit Washington,11,5,6,.455,11,5,6,.455,0,0,0,
lamarbo01,Bo Lamar*,11,5,6,.455,11,5,6,.455,0,0,0,
lehmage01,George Lehmann*,10,5,5,.500,10,5,5,.500,0,0,0,
tatumea01,Earl Tatum,9,4,5,.444,9,4,5,.444,0,0,0,
stewade01,Dennis Stewart*,9,3,6,.333,9,3,6,.333,0,0,0,
hustoge01,Geoff Huston,9,1,8,.111,9,1,8,.111,0,0,0,
silasja01,James Silas*,8,3,5,.375,8,3,5,.375,0,0,0,
peterme01,Mel Peterson*,8,4,4,.500,4,1,3,.250,4,3,1,.750
kingbe01,Bernard King,7,3,4,.429,7,3,4,.429,0,0,0,
johnsri01,Rich Johnson*,7,3,4,.429,7,3,4,.429,0,0,0,
allenwi01,Willie Allen,7,3,4,.429,7,3,4,.429,0,0,0,
dorseja01,Jacky Dorsey,7,3,4,.429,7,3,4,.429,0,0,0,
davisbr01,Brad Davis,7,2,5,.286,7,2,5,.286,0,0,0,
piatkwa01,Walt Piatkowski*,6,5,1,.833,6,5,1,.833,0,0,0,
brookcl01,Clarence Brookins*,6,3,3,.500,6,3,3,.500,0,0,0,
eakinji01,Jim Eakins*,6,1,5,.167,6,1,5,.167,0,0,0,
hillsi01,Simmie Hill,6,3,3,.500,6,3,3,.500,0,0,0,
karlge01,George Karl,5,3,2,.600,5,3,2,.600,0,0,0,
wittmgr01,Greg Wittman*,5,3,2,.600,5,3,2,.600,0,0,0,
wrighjo01,Joby Wright,5,1,4,.200,5,1,4,.200,0,0,0,
selvale01,Les Selvage*,4,1,3,.250,3,1,2,.333,1,0,1,.000
beaslch01,Charlie Beasley*,4,2,2,.500,4,2,2,.500,0,0,0,
warneco01,Cornell Warner,3,1,2,.333,3,1,2,.333,0,0,0,
fisheri01,Rick Fisher,3,1,2,.333,3,1,2,.333,0,0,0,
wardhe01,Henry Ward,2,2,0,1.000,2,2,0,1.000,0,0,0,
kilpaca01,Carl Kilpatrick,2,1,1,.500,2,1,1,.500,0,0,0,
murphal01,Allen Murphy,2,2,0,1.000,2,2,0,1.000,0,0,0,
neumajo01,Johnny Neumann*,2,0,2,.000,2,0,2,.000,0,0,0,
cookno01,Norm Cook,2,0,2,.000,2,0,2,.000,0,0,0,
kinchch01,Chad Kinch,1,1,0,1.000,1,1,0,1.000,0,0,0,
