id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
anthoca01,Carmelo Anthony*,232,142,90,.612,206,132,74,.641,26,10,16,.385
smithjr01,J.R. Smith,226,137,89,.606,205,127,78,.620,21,10,11,.476
martike01,Kenyon Martin,186,112,74,.602,165,102,63,.618,21,10,11,.476
kleizli01,Linas Kleiza,178,106,72,.596,159,98,61,.616,19,8,11,.421
hilarne01,Nenê,173,108,65,.624,152,98,54,.645,21,10,11,.476
grantbr01,Brian Grant,160,72,88,.450,157,72,85,.459,3,0,3,.000
billuch01,Chauncey Billups,156,102,54,.654,138,92,46,.667,18,10,8,.556
anderch01,Chris Andersen,141,86,55,.610,125,76,49,.608,16,10,6,.625
mournal01,Alonzo Mourning,140,79,61,.564,127,73,54,.575,13,6,7,.462
hardati01,Tim Hardaway,125,75,50,.600,116,72,44,.621,9,3,6,.333
jonesed02,Eddie Jones,122,59,63,.484,119,59,60,.496,3,0,3,.000
majerda01,Dan Majerle,122,76,46,.623,109,70,39,.642,13,6,7,.462
bowenbr01,Bruce Bowen,117,69,48,.590,104,63,41,.606,13,6,7,.462
garneke01,Kevin Garnett,111,55,56,.495,111,55,56,.495,0,0,0,
houseed01,Eddie House,108,35,73,.324,105,35,70,.333,3,0,3,.000
hassetr01,Trenton Hassell,107,53,54,.495,107,53,54,.495,0,0,0,
griffed01,Eddie Griffin,95,47,48,.495,95,47,48,.495,0,0,0,
allenma01,Malik Allen,94,39,55,.415,93,39,54,.419,1,0,1,.000
szczewa02,Wally Szczerbiak,92,48,44,.522,92,48,44,.522,0,0,0,
jonesda02,Dahntay Jones,91,61,30,.670,75,51,24,.680,16,10,6,.625
weathcl01,Clarence Weatherspoon,87,54,33,.621,77,48,29,.623,10,6,4,.600
brownpj01,P.J. Brown,87,56,31,.644,77,50,27,.649,10,6,4,.600
hudsotr01,Troy Hudson,85,43,42,.506,85,43,42,.506,0,0,0,
stepavl01,Vladimir Stepania,84,28,56,.333,84,28,56,.333,0,0,0,
mashbja01,Jamal Mashburn,83,51,32,.614,73,45,28,.616,10,6,4,.600
iversal01,Allen Iverson,79,44,35,.557,74,44,30,.595,5,0,5,.000
greenac01,A.C. Green,75,43,32,.573,72,43,29,.597,3,0,3,.000
masonan01,Anthony Mason,73,42,31,.575,70,42,28,.600,3,0,3,.000
najered01,Eduardo Nájera,73,42,31,.575,68,42,26,.618,5,0,5,.000
cambyma01,Marcus Camby,72,40,32,.556,67,40,27,.597,5,0,5,.000
balkmre01,Renaldo Balkman,70,51,19,.729,62,45,17,.726,8,6,2,.750
afflaar01,Arron Afflalo,69,40,29,.580,68,40,28,.588,1,0,1,.000
olowomi01,Michael Olowokandi,69,34,35,.493,69,34,35,.493,0,0,0,
butlera01,Rasual Butler,66,13,53,.197,66,13,53,.197,0,0,0,
sprewla01,Latrell Sprewell,64,36,28,.562,64,36,28,.562,0,0,0,
ellisla01,LaPhonso Ellis,64,18,46,.281,64,18,46,.281,0,0,0,
petrojo01,Johan Petro,63,45,18,.714,52,36,16,.692,11,9,2,.818
madsema01,Mark Madsen,62,32,30,.516,62,32,30,.516,0,0,0,
thorpot01,Otis Thorpe,61,37,24,.607,51,31,20,.608,10,6,4,.600
hoibefr01,Fred Hoiberg,60,32,28,.533,60,32,28,.533,0,0,0,
stricma01,Mark Strickland,57,36,21,.632,56,35,21,.625,1,1,0,1.000
causwdu01,Duane Causwell,55,31,24,.564,54,31,23,.574,1,0,1,.000
jamesmi01,Mike James,51,14,37,.275,51,14,37,.275,0,0,0,
lenarvo01,Voshon Lenard,50,32,18,.640,50,32,18,.640,0,0,0,
lawsoty01,Ty Lawson,50,28,22,.560,49,28,21,.571,1,0,1,.000
butleca01,Caron Butler,48,11,37,.229,48,11,37,.229,0,0,0,
diawaya01,Yakhouba Diawara,48,28,20,.583,44,28,16,.636,4,0,4,.000
mccanra01,Rashad McCants,45,19,26,.422,45,19,26,.422,0,0,0,
grahajo01,Joey Graham,43,28,15,.651,42,28,14,.667,1,0,1,.000
cassesa01,Sam Cassell,43,24,19,.558,43,24,19,.558,0,0,0,
thomajo02,John Thomas,42,22,20,.524,42,22,20,.524,0,0,0,
johnser02,Ervin Johnson,41,26,15,.634,41,26,15,.634,0,0,0,
stricro02,Rod Strickland,40,18,22,.450,40,18,22,.450,0,0,0,
jaricma01,Marko Jarić,39,17,22,.436,39,17,22,.436,0,0,0,
atkinch01,Chucky Atkins,39,25,14,.641,38,25,13,.658,1,0,1,.000
besttr01,Travis Best,39,10,29,.256,39,10,29,.256,0,0,0,
buforro01,Rodney Buford,33,21,12,.636,32,20,12,.625,1,1,0,1.000
marksse01,Sean Marks,32,7,25,.219,32,7,25,.219,0,0,0,
gatlich01,Chris Gatling,31,9,22,.290,31,9,22,.290,0,0,0,
waltere01,Rex Walters,31,19,12,.613,31,19,12,.613,0,0,0,
gillke01,Kendall Gill,30,17,13,.567,30,17,13,.567,0,0,0,
lamplse01,Sean Lampley,30,6,24,.200,30,6,24,.200,0,0,0,
forbega01,Gary Forbes,28,8,20,.286,28,8,20,.286,0,0,0,
willish02,Shelden Williams,27,18,9,.667,27,18,9,.667,0,0,0,
cebalce01,Cedric Ceballos,26,15,11,.577,23,15,8,.652,3,0,3,.000
davisri01,Ricky Davis,25,11,14,.440,25,11,14,.440,0,0,0,
johnsam01,Amir Johnson,24,5,19,.208,24,5,19,.208,0,0,0,
caldejo01,José Calderón,24,5,19,.208,24,5,19,.208,0,0,0,
johnsja01,James Johnson,24,5,19,.208,24,5,19,.208,0,0,0,
derozde01,DeMar DeRozan*,24,5,19,.208,24,5,19,.208,0,0,0,
davised01,Ed Davis,24,5,19,.208,24,5,19,.208,0,0,0,
barbole01,Leandro Barbosa,24,5,19,.208,24,5,19,.208,0,0,0,
fieldla01,Landry Fields,23,12,11,.522,19,12,7,.632,4,0,4,.000
douglto01,Toney Douglas,23,12,11,.522,19,12,7,.632,4,0,4,.000
willish03,Shawne Williams,23,12,11,.522,19,12,7,.632,4,0,4,.000
jeffrja01,Jared Jeffries,21,11,10,.524,17,11,6,.647,4,0,4,.000
jacksji01,Jim Jackson,21,12,9,.571,21,12,9,.571,0,0,0,
stoudam01,Amar'e Stoudemire,20,10,10,.500,16,10,6,.625,4,0,4,.000
hartja01,Jason Hart,19,16,3,.842,10,8,2,.800,9,8,1,.889
walkebi01,Henry Walker,19,9,10,.474,15,9,6,.600,4,0,4,.000
blounma01,Mark Blount,18,7,11,.389,18,7,11,.389,0,0,0,
huntest01,Steven Hunter,17,10,7,.588,15,10,5,.667,2,0,2,.000
frahmri01,Richie Frahm,16,6,10,.375,16,6,10,.375,0,0,0,
turiaro01,Ronny Turiaf,16,7,9,.438,12,7,5,.583,4,0,4,.000
duprero01,Ronald Dupree,16,6,10,.375,16,6,10,.375,0,0,0,
reedju01,Justin Reed,16,6,10,.375,16,6,10,.375,0,0,0,
banksma01,Marcus Banks,16,6,10,.375,16,6,10,.375,0,0,0,
johnske03,Ken Johnson,15,5,10,.333,15,5,10,.333,0,0,0,
magloja01,Jamaal Magloire,15,2,13,.133,15,2,13,.133,0,0,0,
jonesbo02,Bobby Jones,14,8,6,.571,14,8,6,.571,0,0,0,
harrial01,Al Harrington,14,8,6,.571,14,8,6,.571,0,0,0,
jamisha01,Harold Jamison,12,6,6,.500,12,6,6,.500,0,0,0,
macksa01,Sam Mack,12,2,10,.167,12,2,10,.167,0,0,0,
grayaa01,Aaron Gray,12,2,10,.167,12,2,10,.167,0,0,0,
masonro01,Roger Mason,12,5,7,.417,9,5,4,.556,3,0,3,.000
wafervo01,Von Wafer,12,6,6,.500,12,6,6,.500,0,0,0,
weemsso01,Sonny Weems,11,7,4,.636,11,7,4,.636,0,0,0,
bargnan01,Andrea Bargnani,10,3,7,.300,10,3,7,.300,0,0,0,
hamilta01,Tang Hamilton,9,1,8,.111,9,1,8,.111,0,0,0,
bayleje01,Jerryd Bayless,9,1,8,.111,9,1,8,.111,0,0,0,
fulleto02,Todd Fuller,9,4,5,.444,9,4,5,.444,0,0,0,
greenta01,Taurean Green,9,6,3,.667,9,6,3,.667,0,0,0,
macledo01,Don MacLean,8,4,4,.500,8,4,4,.500,0,0,0,
brownde04,Derrick Brown,8,6,2,.750,8,6,2,.750,0,0,0,
mccoyje01,Jelani McCoy,6,2,4,.333,6,2,4,.333,0,0,0,
sambch01,Cheikh Samb,6,6,0,1.000,6,6,0,1.000,0,0,0,
robinja03,Jamal Robinson,6,2,4,.333,6,2,4,.333,0,0,0,
turkohe01,Hedo Türkoğlu,5,3,2,.600,5,3,2,.600,0,0,0,
horryro01,Robert Horry,5,3,2,.600,5,3,2,.600,0,0,0,
duncati01,Tim Duncan,5,3,2,.600,5,3,2,.600,0,0,0,
elyme01,Melvin Ely,5,4,1,.800,5,4,1,.800,0,0,0,
ginobma01,Manu Ginóbili,5,3,2,.600,5,3,2,.600,0,0,0,
nestera01,Rasho Nesterović,5,3,2,.600,5,3,2,.600,0,0,0,
rosema01,Malik Rose,5,3,2,.600,5,3,2,.600,0,0,0,
jamesti01,Tim James,4,2,2,.500,4,2,2,.500,0,0,0,
browner01,Ernest Brown,3,0,3,.000,3,0,3,.000,0,0,0,
howarju01,Juwan Howard,3,1,2,.333,3,1,2,.333,0,0,0,
brownde02,Devin Brown,3,2,1,.667,3,2,1,.667,0,0,0,
tskitni01,Nikoloz Tskitishvili,3,2,1,.667,3,2,1,.667,0,0,0,
parketo01,Tony Parker,3,2,1,.667,3,2,1,.667,0,0,0,
blakest01,Steve Blake,3,2,1,.667,2,2,0,1.000,1,0,1,.000
mercero01,Ron Mercer,2,1,1,.500,2,1,1,.500,0,0,0,
sampsja01,Jamal Sampson,2,2,0,1.000,2,2,0,1.000,0,0,0,
ebind01,Ndudi Ebi,2,2,0,1.000,2,2,0,1.000,0,0,0,
alabiso01,Solomon Alabi,2,0,2,.000,2,0,2,.000,0,0,0,
willike02,Kevin Willis,2,1,1,.500,2,1,1,.500,0,0,0,
wrighbr02,Bracey Wright,2,0,2,.000,2,0,2,.000,0,0,0,
johnsde03,DerMarr Johnson,2,2,0,1.000,2,2,0,1.000,0,0,0,
evansre01,Reggie Evans,2,2,0,1.000,2,2,0,1.000,0,0,0,
rautian01,Andy Rautins,1,1,0,1.000,1,1,0,1.000,0,0,0,
wilksmi01,Mike Wilks,1,0,1,.000,1,0,1,.000,0,0,0,
