id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
simmoli01,Lionel Simmons,346,129,217,.373,344,129,215,.375,2,0,2,.000
richmmi01,Mitch Richmond,333,137,196,.411,331,137,194,.414,2,0,2,.000
webbsp01,Spud Webb,213,82,131,.385,213,82,131,.385,0,0,0,
polynol01,Olden Polynice,207,89,118,.430,205,89,116,.434,2,0,2,.000
brownra02,Randy Brown,192,71,121,.370,192,71,121,.370,0,0,0,
tisdawa01,Wayman Tisdale,189,66,123,.349,189,66,123,.349,0,0,0,
grantbr01,Brian Grant,166,76,90,.458,163,76,87,.466,3,0,3,.000
smithmi02,Michael Smith,164,75,89,.457,162,75,87,.463,2,0,2,.000
lesji01,Jim Les,162,52,110,.321,162,52,110,.321,0,0,0,
williwa02,Walt Williams,155,67,88,.432,155,67,88,.432,0,0,0,
bonnean01,Anthony Bonner,155,57,98,.368,155,57,98,.368,0,0,0,
hurlebo01,Bobby Hurley,146,62,84,.425,145,62,83,.428,1,0,1,.000
edneyty01,Tyus Edney,113,50,63,.442,111,50,61,.450,2,0,2,.000
chilcpe01,Pete Chilcutt,112,35,77,.312,112,35,77,.312,0,0,0,
hardati01,Tim Hardaway,106,70,36,.660,100,69,31,.690,6,1,5,.167
willico02,Corliss Williamson,92,35,57,.380,91,35,56,.385,1,0,1,.000
majerda01,Dan Majerle,85,62,23,.729,80,61,19,.762,5,1,4,.200
brownpj01,P.J. Brown,80,59,21,.738,75,58,17,.773,5,1,4,.200
sparrro01,Rory Sparrow,74,22,52,.297,74,22,52,.297,0,0,0,
carran01,Antoine Carr,73,24,49,.329,73,24,49,.329,0,0,0,
mournal01,Alonzo Mourning,73,55,18,.753,68,54,14,.794,5,1,4,.200
wennibi01,Bill Wennington,71,23,48,.324,71,23,48,.324,0,0,0,
hopsode01,Dennis Hopson,67,24,43,.358,67,24,43,.358,0,0,0,
lenarvo01,Voshon Lenard,65,49,16,.754,60,48,12,.800,5,1,4,.200
stricma01,Mark Strickland,64,46,18,.719,61,46,15,.754,3,0,3,.000
maystr01,Travis Mays,61,17,44,.279,61,17,44,.279,0,0,0,
callori01,Rick Calloway,59,21,38,.356,59,21,38,.356,0,0,0,
owensbi01,Billy Owens,56,22,34,.393,54,22,32,.407,2,0,2,.000
gamblke01,Kevin Gamble,55,20,35,.364,53,20,33,.377,2,0,2,.000
cartean01,Anthony Carter,55,31,24,.564,54,31,23,.574,1,0,1,.000
marcisa01,Šarūnas Marčiulionis,49,29,20,.592,47,29,18,.617,2,0,2,.000
mashbja01,Jamal Mashburn,49,34,15,.694,44,33,11,.750,5,1,4,.200
conloma01,Marty Conlon,47,22,25,.468,46,22,24,.478,1,0,1,.000
waltere01,Rex Walters,47,37,10,.787,44,36,8,.818,3,1,2,.333
weathcl01,Clarence Weatherspoon,46,33,13,.717,42,32,10,.762,4,1,3,.250
rambiku01,Kurt Rambis,42,13,29,.310,42,13,29,.310,0,0,0,
higgiro01,Rod Higgins,42,13,29,.310,42,13,29,.310,0,0,0,
corbity01,Tyrone Corbin,42,21,21,.500,42,21,21,.500,0,0,0,
abdulma02,Mahmoud Abdul-Rauf,40,15,25,.375,40,15,25,.375,0,0,0,
murdoer01,Eric Murdock,38,29,9,.763,37,29,8,.784,1,0,1,.000
bowenbr01,Bruce Bowen,38,17,21,.447,37,17,20,.459,1,0,1,.000
wilsotr01,Trevor Wilson,38,15,23,.395,38,15,23,.395,0,0,0,
askinke01,Keith Askins,36,29,7,.806,33,28,5,.848,3,1,2,.333
hansebo01,Bob Hansen,33,10,23,.303,33,10,23,.303,0,0,0,
schindw01,Dwayne Schintzius,33,7,26,.212,33,7,26,.212,0,0,0,
masonan01,Anthony Mason,32,14,18,.438,31,14,17,.452,1,0,1,.000
leckner01,Eric Leckner,32,10,22,.312,32,10,22,.312,0,0,0,
greenac01,A.C. Green,32,14,18,.438,31,14,17,.452,1,0,1,.000
fredean01,Anthony Frederick,31,12,19,.387,31,12,19,.387,0,0,0,
smithla02,LaBradford Smith,30,9,21,.300,30,9,21,.300,0,0,0,
jepsele01,Les Jepsen,30,8,22,.267,30,8,22,.267,0,0,0,
abdelal01,Alaa Abdelnaby,30,15,15,.500,30,15,15,.500,0,0,0,
jonesed02,Eddie Jones,26,11,15,.423,25,11,14,.440,1,0,1,.000
portete01,Terry Porter,23,16,7,.696,19,15,4,.789,4,1,3,.250
sampsra01,Ralph Sampson,23,3,20,.130,23,3,20,.130,0,0,0,
peplomi01,Mike Peplowski,23,7,16,.304,23,7,16,.304,0,0,0,
turnehe02,Henry Turner,23,10,13,.435,23,10,13,.435,0,0,0,
spencan01,Andre Spencer,22,7,15,.318,22,7,15,.318,0,0,0,
houstby01,Byron Houston,22,12,10,.545,22,12,10,.545,0,0,0,
millste01,Terry Mills,22,15,7,.682,21,15,6,.714,1,0,1,.000
houseed01,Eddie House,19,7,12,.368,18,7,11,.389,1,0,1,.000
leedo01,Doug Lee,19,7,12,.368,19,7,12,.368,0,0,0,
coltest01,Steve Colter,19,3,16,.158,19,3,16,.158,0,0,0,
thompst01,Stephen Thompson,16,6,10,.375,16,6,10,.375,0,0,0,
austiis01,Isaac Austin,15,12,3,.800,15,12,3,.800,0,0,0,
barrybr01,Brent Barry,15,12,3,.800,15,12,3,.800,0,0,0,
edwarbl01,Blue Edwards,13,10,3,.769,13,10,3,.769,0,0,0,
mcdancl01,Clint McDaniel,12,1,11,.083,12,1,11,.083,0,0,0,
woodle01,Leon Wood,11,5,6,.455,11,5,6,.455,0,0,0,
thorpot01,Otis Thorpe,10,7,3,.700,10,7,3,.700,0,0,0,
cebalce01,Cedric Ceballos,10,5,5,.500,9,5,4,.556,1,0,1,.000
askewvi01,Vincent Askew,9,4,5,.444,9,4,5,.444,0,0,0,
buforro01,Rodney Buford,9,8,1,.889,9,8,1,.889,0,0,0,
grayeje01,Jeff Grayer,9,5,4,.556,9,5,4,.556,0,0,0,
smithch04,Charles Smith,8,7,1,.875,8,7,1,.875,0,0,0,
fulleto02,Todd Fuller,8,3,5,.375,8,3,5,.375,0,0,0,
salvake01,Kevin Salvadori,7,4,3,.571,7,4,3,.571,0,0,0,
langan02,Antonio Lang,6,4,2,.667,6,4,2,.667,0,0,0,
robinja03,Jamal Robinson,6,2,4,.333,6,2,4,.333,0,0,0,
breuera01,Randy Breuer,6,3,3,.500,6,3,3,.500,0,0,0,
daniell01,Lloyd Daniels,5,0,5,.000,5,0,5,.000,0,0,0,
higgimi01,Mike Higgins,5,1,4,.200,5,1,4,.200,0,0,0,
macledo01,Don MacLean,4,2,2,.500,4,2,2,.500,0,0,0,
schefst01,Steve Scheffler,4,0,4,.000,4,0,4,.000,0,0,0,
jamesti01,Tim James,4,2,2,.500,4,2,2,.500,0,0,0,
burnsev01,Evers Burns,3,1,2,.333,3,1,2,.333,0,0,0,
kimbrst01,Stan Kimbrough,3,0,3,.000,3,0,3,.000,0,0,0,
dayto01,Todd Day,2,2,0,1.000,2,2,0,1.000,0,0,0,
jamisha01,Harold Jamison,2,0,2,.000,2,0,2,.000,0,0,0,
davisri01,Ricky Davis,2,1,1,.500,2,1,1,.500,0,0,0,
dawsoto01,Tony Dawson,1,0,1,.000,1,0,1,.000,0,0,0,
watsoja01,Jamie Watson,1,1,0,1.000,1,1,0,1.000,0,0,0,
thomaca01,Carl Thomas,1,0,1,.000,1,0,1,.000,0,0,0,
phelpde01,Derrick Phelps,1,1,0,1.000,1,1,0,1.000,0,0,0,
grayde01,Devin Gray,1,0,1,.000,1,0,1,.000,0,0,0,
davisma02,Mark Davis,1,0,1,.000,1,0,1,.000,0,0,0,
