id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
adamsst01,Steven Adams,66,36,30,.545,64,36,28,.562,2,0,2,.000
westbru01,Russell Westbrook*,65,35,30,.538,63,35,28,.556,2,0,2,.000
sabondo01,Domantas Sabonis*,65,35,30,.538,63,35,28,.556,2,0,2,.000
roberan03,Andre Roberson,63,35,28,.556,61,35,26,.574,2,0,2,.000
kanteen01,Enes Freedom,62,36,26,.581,60,36,24,.600,2,0,2,.000
grantje01,Jerami Grant,62,32,30,.516,60,32,28,.533,2,0,2,.000
abrinal01,Álex Abrines,54,28,26,.519,52,28,24,.538,2,0,2,.000
oladivi01,Victor Oladipo*,52,28,24,.538,50,28,22,.560,2,0,2,.000
lauvejo01,Joffrey Lauvergne,34,19,15,.559,34,19,15,.559,0,0,0,
morroan01,Anthony Morrow,32,17,15,.531,32,17,15,.531,0,0,0,
singlky01,Kyle Singler,28,14,14,.500,27,14,13,.519,1,0,1,.000
gibsota01,Taj Gibson,24,14,10,.583,22,14,8,.636,2,0,2,.000
mcderdo01,Doug McDermott*,23,13,10,.565,21,13,8,.619,2,0,2,.000
collini01,Nick Collison,18,8,10,.444,18,8,10,.444,0,0,0,
coleno01,Norris Cole,13,5,8,.385,12,5,7,.417,1,0,1,.000
payneca01,Cameron Payne,4,0,4,.000,4,0,4,.000,0,0,0,
ilyaser01,Ersan İlyasova,3,3,0,1.000,3,3,0,1.000,0,0,0,
huestjo01,Josh Huestis,2,0,2,.000,2,0,2,.000,0,0,0,
