id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
anderde01,Derek Anderson,17,12,5,.706,17,12,5,.706,0,0,0,
milesda01,Darius Miles,17,12,5,.706,17,12,5,.706,0,0,0,
stoudda01,Damon Stoudamire,17,12,5,.706,17,12,5,.706,0,0,0,
randoza01,Zach Randolph,16,12,4,.750,16,12,4,.750,0,0,0,
patteru01,Ruben Patterson,16,11,5,.688,16,11,5,.688,0,0,0,
davisda01,Dale Davis,15,10,5,.667,15,10,5,.667,0,0,0,
woodsqy01,Qyntel Woods,13,9,4,.692,13,9,4,.692,0,0,0,
abdursh01,Shareef Abdur-Rahim,13,9,4,.692,13,9,4,.692,0,0,0,
ratlith01,Theo Ratliff,13,9,4,.692,13,9,4,.692,0,0,0,
dickada01,Dan Dickau,11,7,4,.636,11,7,4,.636,0,0,0,
gilled01,Eddie Gill,7,5,2,.714,7,5,2,.714,0,0,0,
araujra01,Rafael Araújo,5,2,3,.400,5,2,3,.400,0,0,0,
petermo01,Morris Peterson,5,2,3,.400,5,2,3,.400,0,0,0,
bonnema01,Matt Bonner,5,2,3,.400,5,2,3,.400,0,0,0,
alstora01,Rafer Alston,5,2,3,.400,5,2,3,.400,0,0,0,
boshch01,Chris Bosh,5,2,3,.400,5,2,3,.400,0,0,0,
sowpa01,Pape Sow,5,2,3,.400,5,2,3,.400,0,0,0,
palacmi01,Milt Palacio,5,2,3,.400,5,2,3,.400,0,0,0,
roseja01,Jalen Rose,5,2,3,.400,5,2,3,.400,0,0,0,
williaa01,Aaron Williams,4,1,3,.250,4,1,3,.250,0,0,0,
persowe01,Wesley Person,3,3,0,1.000,3,3,0,1.000,0,0,0,
wallara01,Rasheed Wallace,3,3,0,1.000,3,3,0,1.000,0,0,0,
willier01,Eric Williams,2,1,1,.500,2,1,1,.500,0,0,0,
stepavl01,Vladimir Stepania,2,1,1,.500,2,1,1,.500,0,0,0,
murrala01,Lamond Murray,1,0,1,.000,1,0,1,.000,0,0,0,
