id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
senesge01,George Senesky*,158,72,86,.456,144,67,77,.465,14,5,9,.357
fulksjo01,Joe Fulks*,153,70,83,.458,140,65,75,.464,13,5,8,.385
fleisje01,Jerry Fleishman*,149,66,83,.443,139,63,76,.453,10,3,7,.300
musian01,Angelo Musi*,87,44,43,.506,75,39,36,.520,12,5,7,.417
dallmho01,Howie Dallmar,76,39,37,.513,64,34,30,.531,12,5,7,.417
bornhja01,Jake Bornheimer*,74,28,46,.378,70,28,42,.400,4,0,4,.000
mogusle01,Leo Mogus*,64,25,39,.391,62,25,37,.403,2,0,2,.000
sadowed01,Ed Sadowski,62,26,36,.419,60,26,34,.433,2,0,2,.000
gardnve01,Vern Gardner,61,24,37,.393,59,24,35,.407,2,0,2,.000
bobbne01,Nelson Bobb*,51,17,34,.333,49,17,32,.347,2,0,2,.000
novakmi01,Mike Novak*,49,20,29,.408,49,20,29,.408,0,0,0,
livinro01,Ron Livingstone*,49,20,29,.408,47,20,27,.426,2,0,2,.000
kaplora01,Ralph Kaplowitz,48,26,22,.542,38,21,17,.553,10,5,5,.500
bishoga01,Gale Bishop,43,20,23,.465,41,20,21,.488,2,0,2,.000
halbech01,Chick Halbert,42,23,19,.548,32,18,14,.562,10,5,5,.500
rulloje01,Jerry Rullo*,38,17,21,.447,36,17,19,.472,2,0,2,.000
obriebo01,Bob O'Brien*,35,21,14,.600,26,16,10,.615,9,5,4,.556
beendha01,Hank Beenders,30,19,11,.633,20,14,6,.700,10,5,5,.500
morgeel01,Elmore Morgenthaler*,17,8,9,.471,17,8,9,.471,0,0,0,
lewisfr01,Freddie Lewis,16,6,10,.375,16,6,10,.375,0,0,0,
brownst01,Stan Brown*,16,7,9,.438,16,7,9,.438,0,0,0,
guokaal01,Al Guokas*,16,6,10,.375,14,6,8,.429,2,0,2,.000
payakjo01,Johnny Payak*,16,5,11,.312,16,5,11,.312,0,0,0,
farbmph01,Phil Farbman*,16,6,10,.375,16,6,10,.375,0,0,0,
torgoir01,Irv Torgoff*,14,5,9,.357,12,5,7,.417,2,0,2,.000
hillhar01,Art Hillhouse,9,4,5,.444,9,4,5,.444,0,0,0,
rockeja01,Jack Rocker*,7,2,5,.286,7,2,5,.286,0,0,0,
nolanji01,Jim Nolan,5,1,4,.200,5,1,4,.200,0,0,0,
pughro01,Roy Pugh,5,3,2,.600,5,3,2,.600,0,0,0,
parslch01,Charlie Parsley,5,3,2,.600,5,3,2,.600,0,0,0,
sailoke01,Kenny Sailors,1,0,1,.000,1,0,1,.000,0,0,0,
