id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
iversal01,Allen Iverson,138,45,93,.326,138,45,93,.326,0,0,0,
weathcl01,Clarence Weatherspoon,122,36,86,.295,122,36,86,.295,0,0,0,
willisc01,Scott Williams,110,34,76,.309,110,34,76,.309,0,0,0,
colemde01,Derrick Coleman,106,38,68,.358,106,38,68,.358,0,0,0,
stackje01,Jerry Stackhouse,94,25,69,.266,94,25,69,.266,0,0,0,
overtdo01,Doug Overton,76,21,55,.276,76,21,55,.276,0,0,0,
cagemi01,Michael Cage,75,20,55,.267,75,20,55,.267,0,0,0,
waltere01,Rex Walters,73,24,49,.329,73,24,49,.329,0,0,0,
thomati01,Tim Thomas,66,23,43,.348,66,23,43,.348,0,0,0,
portete01,Terry Porter,61,18,43,.295,61,18,43,.295,0,0,0,
garneke01,Kevin Garnett,55,16,39,.291,55,16,39,.291,0,0,0,
mitchsa01,Sam Mitchell,55,16,39,.291,55,16,39,.291,0,0,0,
guglito01,Tom Gugliotta,53,15,38,.283,53,15,38,.283,0,0,0,
rideris01,Isaiah Rider,50,12,38,.240,50,12,38,.240,0,0,0,
ratlith01,Theo Ratliff,50,22,28,.440,50,22,28,.440,0,0,0,
mckieaa01,Aaron McKie,50,22,28,.440,50,22,28,.440,0,0,0,
westdo01,Doug West,48,11,37,.229,48,11,37,.229,0,0,0,
harrilu01,Lucious Harris,48,11,37,.229,48,11,37,.229,0,0,0,
jacksji01,Jim Jackson,43,14,29,.326,43,14,29,.326,0,0,0,
cummite01,Terry Cummings,42,13,29,.310,42,13,29,.310,0,0,0,
braggma01,Marques Bragg,41,11,30,.268,41,11,30,.268,0,0,0,
snower01,Eric Snow,38,16,22,.421,38,16,22,.421,0,0,0,
bradtma01,Mark Bradtke,35,6,29,.171,35,6,29,.171,0,0,0,
allenje01,Jerome Allen,34,10,24,.294,34,10,24,.294,0,0,0,
parkean01,Anthony Parker,32,16,16,.500,32,16,16,.500,0,0,0,
rooksse01,Sean Rooks,32,8,24,.250,32,8,24,.250,0,0,0,
macledo01,Don MacLean,30,9,21,.300,30,9,21,.300,0,0,0,
laettch01,Christian Laettner,29,9,20,.310,29,9,20,.310,0,0,0,
hendrma01,Mark Hendrickson,27,5,22,.185,27,5,22,.185,0,0,0,
smithjo02,Joe Smith,24,11,13,.458,24,11,13,.458,0,0,0,
martida01,Darrick Martin,23,8,15,.348,23,8,15,.348,0,0,0,
farmeto01,Tony Farmer,23,6,17,.261,23,6,17,.261,0,0,0,
jacobsa01,Sam Jacobson,23,6,17,.261,23,6,17,.261,0,0,0,
blaylmo01,Mookie Blaylock,23,6,17,.261,23,6,17,.261,0,0,0,
foylead01,Adonal Foyle,21,5,16,.238,21,5,16,.238,0,0,0,
rileyer01,Eric Riley,21,6,15,.286,21,6,15,.286,0,0,0,
caffeja01,Jason Caffey,20,5,15,.250,20,5,15,.250,0,0,0,
caldwad01,Adrian Caldwell,20,5,15,.250,20,5,15,.250,0,0,0,
cummivo01,Vonteego Cummings,20,6,14,.300,20,6,14,.300,0,0,0,
montrer01,Eric Montross,19,5,14,.263,19,5,14,.263,0,0,0,
webbsp01,Spud Webb,18,5,13,.278,18,5,13,.278,0,0,0,
shawbr01,Brian Shaw,15,6,9,.400,15,6,9,.400,0,0,0,
hughela01,Larry Hughes,15,2,13,.133,15,2,13,.133,0,0,0,
marshdo01,Donyell Marshall,15,4,11,.267,15,4,11,.267,0,0,0,
stewake01,Kebu Stewart,14,6,8,.429,14,6,8,.429,0,0,0,
curlebi01,Bill Curley,13,1,12,.077,13,1,12,.077,0,0,0,
langan01,Andrew Lang,12,2,10,.167,12,2,10,.167,0,0,0,
benjabe01,Benoit Benjamin,11,3,8,.273,11,3,8,.273,0,0,0,
youngti01,Tim Young,9,1,8,.111,9,1,8,.111,0,0,0,
jamisan01,Antawn Jamison,8,4,4,.500,8,4,4,.500,0,0,0,
kingfr01,Frankie King,7,0,7,.000,7,0,7,.000,0,0,0,
willimi02,Micheal Williams,7,1,6,.143,7,1,6,.143,0,0,0,
macksa01,Sam Mack,6,3,3,.500,6,3,3,.500,0,0,0,
smithch02,Charles Smith,6,3,3,.500,6,3,3,.500,0,0,0,
starkjo01,John Starks,5,3,2,.600,5,3,2,.600,0,0,0,
brownpj01,P.J. Brown,4,2,2,.500,4,2,2,.500,0,0,0,
hardati01,Tim Hardaway,4,2,2,.500,4,2,2,.500,0,0,0,
mournal01,Alonzo Mourning,4,2,2,.500,4,2,2,.500,0,0,0,
dampier01,Erick Dampier,4,2,2,.500,4,2,2,.500,0,0,0,
majerda01,Dan Majerle,4,2,2,.500,4,2,2,.500,0,0,0,
askinke01,Keith Askins,3,1,2,.333,3,1,2,.333,0,0,0,
stricma01,Mark Strickland,3,1,2,.333,3,1,2,.333,0,0,0,
conloma01,Marty Conlon,1,0,1,.000,1,0,1,.000,0,0,0,
chambto01,Tom Chambers,1,0,1,.000,1,0,1,.000,0,0,0,
mashbja01,Jamal Mashburn,1,1,0,1.000,1,1,0,1.000,0,0,0,
causwdu01,Duane Causwell,1,0,1,.000,1,0,1,.000,0,0,0,
cunniwi01,William Cunningham,1,1,0,1.000,1,1,0,1.000,0,0,0,
