id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
grabojo01,Joe Graboski*,312,155,157,.497,300,148,152,.493,12,7,5,.583
johnsne01,Neil Johnston*,309,153,156,.495,297,146,151,.492,12,7,5,.583
georgja01,Jack George*,304,152,152,.500,292,145,147,.497,12,7,5,.583
arizipa01,Paul Arizin,241,128,113,.531,229,121,108,.528,12,7,5,.583
dempsge01,George Dempsey,220,119,101,.541,208,112,96,.538,12,7,5,.583
becker01,Ernie Beck,192,105,87,.547,180,98,82,.544,12,7,5,.583
mooreja01,Jackie Moore,129,74,55,.574,120,69,51,.575,9,5,4,.556
zawolze01,Zeke Zawoluk,126,52,74,.413,126,52,74,.413,0,0,0,
finnda01,Danny Finn,103,41,62,.398,103,41,62,.398,0,0,0,
golato01,Tom Gola,99,57,42,.576,89,50,39,.562,10,7,3,.700
costela01,Larry Costello,85,43,42,.506,83,43,40,.518,2,0,2,.000
walthpa01,Paul Walther*,60,24,36,.400,60,24,36,.400,0,0,0,
fulksjo01,Joe Fulks*,59,22,37,.373,59,22,37,.373,0,0,0,
hennela01,Larry Hennessy,57,36,21,.632,54,34,20,.630,3,2,1,.667
senesge01,George Senesky*,57,24,33,.421,57,24,33,.421,0,0,0,
murrake01,Ken Murray*,54,24,30,.444,54,24,30,.444,0,0,0,
hitchle01,Lew Hitch*,36,17,19,.472,34,17,17,.500,2,0,2,.000
parkme01,Med Park*,35,17,18,.486,26,11,15,.423,9,6,3,.667
mcmahja01,Jack McMahon*,35,17,18,.486,26,11,15,.423,9,6,3,.667
macaued01,Ed Macauley*,35,17,18,.486,26,11,15,.423,9,6,3,.667
sharech01,Chuck Share*,35,17,18,.486,26,11,15,.423,9,6,3,.667
wilfowi01,Win Wilfong*,35,17,18,.486,26,11,15,.423,9,6,3,.667
hagancl01,Cliff Hagan*,35,17,18,.486,26,11,15,.423,9,6,3,.667
colemja01,Jack Coleman*,35,17,18,.486,26,11,15,.423,9,6,3,.667
pettibo01,Bob Pettit*,35,17,18,.486,26,11,15,.423,9,6,3,.667
sauldwo01,Woody Sauldsberry*,34,16,18,.471,34,16,18,.471,0,0,0,
rosenle01,Lennie Rosenbluth,25,10,15,.400,25,10,15,.400,0,0,0,
martisl01,Slater Martin*,24,13,11,.542,15,7,8,.467,9,6,3,.667
armstbo01,Bob Armstrong*,17,11,6,.647,17,11,6,.647,0,0,0,
schafbo01,Bob Schafer,12,9,3,.750,12,9,3,.750,0,0,0,
brennto01,Tom Brennan,11,5,6,.455,11,5,6,.455,0,0,0,
walshji01,Jim Walsh,10,3,7,.300,10,3,7,.300,0,0,0,
dunnpa01,Pat Dunn,8,4,4,.500,8,4,4,.500,0,0,0,
hoffmpa01,Paul Hoffman*,7,2,5,.286,7,2,5,.286,0,0,0,
kearnmi01,Mike Kearns,6,2,4,.333,6,2,4,.333,0,0,0,
shuege01,Gene Shue*,5,3,2,.600,5,3,2,.600,0,0,0,
phelaja02,Jim Phelan,4,1,3,.250,4,1,3,.250,0,0,0,
selvyfr01,Frank Selvy*,4,2,2,.500,4,2,2,.500,0,0,0,
learha01,Hal Lear,3,1,2,.333,3,1,2,.333,0,0,0,
radzira01,Ray Radziszewski,1,0,1,.000,1,0,1,.000,0,0,0,
grekino01,Norm Grekin,1,1,0,1.000,1,1,0,1.000,0,0,0,
