id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mannte01,Terance Mann*,22,10,12,.455,22,10,12,.455,0,0,0,
batumni01,Nicolas Batum*,21,10,11,.476,21,10,11,.476,0,0,0,
coffeam01,Amir Coffey*,19,8,11,.421,19,8,11,.421,0,0,0,
zubaciv01,Ivica Zubac*,19,9,10,.474,19,9,10,.474,0,0,0,
powelno01,Norman Powell*,15,7,8,.467,15,7,8,.467,0,0,0,
covinro01,Robert Covington*,15,6,9,.400,15,6,9,.400,0,0,0,
morrima03,Marcus Morris*,15,6,9,.400,15,6,9,.400,0,0,0,
bostobr01,Brandon Boston Jr.,13,5,8,.385,13,5,8,.385,0,0,0,
leonaka01,Kawhi Leonard,13,9,4,.692,13,9,4,.692,0,0,0,
jacksre01,Reggie Jackson*,12,6,6,.500,12,6,6,.500,0,0,0,
georgpa01,Paul George*,11,6,5,.545,11,6,5,.545,0,0,0,
prestja01,Jason Preston,9,3,6,.333,9,3,6,.333,0,0,0,
brownmo01,Moses Brown,9,3,6,.333,9,3,6,.333,0,0,0,
kennalu01,Luke Kennard,8,4,4,.500,8,4,4,.500,0,0,0,
walljo01,John Wall,7,2,5,.286,7,2,5,.286,0,0,0,
hylanbo01,Bones Hyland,6,3,3,.500,6,3,3,.500,0,0,0,
plumlma01,Mason Plumlee*,6,3,3,.500,6,3,3,.500,0,0,0,
gordoer01,Eric Gordon,6,3,3,.500,6,3,3,.500,0,0,0,
westbru01,Russell Westbrook*,5,2,3,.400,5,2,3,.400,0,0,0,
moonxa01,Xavier Moon,4,2,2,.500,4,2,2,.500,0,0,0,
