id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hustoge01,Geoff Huston,33,6,27,.182,33,6,27,.182,0,0,0,
laimbbi01,Bill Laimbeer,33,6,27,.182,33,6,27,.182,0,0,0,
edwarja01,James Edwards,31,6,25,.194,31,6,25,.194,0,0,0,
carrke01,Kenny Carr,30,4,26,.133,30,4,26,.133,0,0,0,
silasja01,James Silas*,27,4,23,.148,27,4,23,.148,0,0,0,
wilkebo01,Bob Wilkerson,23,3,20,.130,23,3,20,.130,0,0,0,
brewero01,Ron Brewer,18,4,14,.222,18,4,14,.222,0,0,0,
johnsre01,Reggie Johnson,18,4,14,.222,18,4,14,.222,0,0,0,
forddo01,Don Ford,16,2,14,.125,16,2,14,.125,0,0,0,
mitchmi01,Mike Mitchell,15,2,13,.133,15,2,13,.133,0,0,0,
pheglro01,Roger Phegley,15,2,13,.133,15,2,13,.133,0,0,0,
wedmasc01,Scott Wedman,14,3,11,.214,14,3,11,.214,0,0,0,
restake01,Kevin Restani,12,4,8,.333,12,4,8,.333,0,0,0,
herroke01,Keith Herron,11,3,8,.273,11,3,8,.273,0,0,0,
washiri01,Richard Washington,8,1,7,.125,8,1,7,.125,0,0,0,
benneme01,Mel Bennett,3,0,3,.000,3,0,3,.000,0,0,0,
