id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
willina01,Nate Williams,92,28,64,.304,92,28,64,.304,0,0,0,
laceysa01,Sam Lacey*,91,29,62,.319,91,29,62,.319,0,0,0,
behagro01,Ron Behagen,63,18,45,.286,63,18,45,.286,0,0,0,
walkeji01,Jimmy Walker,60,18,42,.300,60,18,42,.300,0,0,0,
kojisdo01,Don Kojis*,59,13,46,.220,59,13,46,.220,0,0,0,
architi01,Tiny Archibald,58,19,39,.328,58,19,39,.328,0,0,0,
mcneila01,Larry McNeill,54,17,37,.315,54,17,37,.315,0,0,0,
dantomi01,Mike D'Antoni,53,15,38,.283,53,15,38,.283,0,0,0,
blockjo01,John Block,52,12,40,.231,52,12,40,.231,0,0,0,
mooreot01,Otto Moore,33,9,24,.273,33,9,24,.273,0,0,0,
komivho01,Howard Komives*,32,5,27,.156,32,5,27,.156,0,0,0,
guokama02,Matt Guokas,30,10,20,.333,30,10,20,.333,0,0,0,
leecl01,Clyde Lee,27,12,15,.444,27,12,15,.444,0,0,0,
ellisle01,Leroy Ellis,27,12,15,.444,27,12,15,.444,0,0,0,
collido01,Doug Collins,27,12,15,.444,27,12,15,.444,0,0,0,
cunnibi01,Billy Cunningham,27,12,15,.444,27,12,15,.444,0,0,0,
cartefr01,Fred Carter,27,12,15,.444,27,12,15,.444,0,0,0,
smithdo02,Don Smith,25,11,14,.440,25,11,14,.440,0,0,0,
bristal01,Allan Bristow,22,8,14,.364,22,8,14,.364,0,0,0,
wedmasc01,Scott Wedman,21,8,13,.381,21,8,13,.381,0,0,0,
greenjo01,Johnny Green*,21,9,12,.429,21,9,12,.429,0,0,0,
boydfr01,Freddie Boyd,20,7,13,.350,20,7,13,.350,0,0,0,
kosmale01,Len Kosmalski,20,8,12,.400,20,8,12,.400,0,0,0,
vanarto01,Tom Van Arsdale,19,9,10,.474,19,9,10,.474,0,0,0,
mengejo01,John Mengelt,18,9,9,.500,18,9,9,.500,0,0,0,
catchha01,Harvey Catchings,17,6,11,.353,17,6,11,.353,0,0,0,
rileyro01,Ron Riley,17,2,15,.118,17,2,15,.118,0,0,0,
foxji01,Jim Fox*,16,8,8,.500,16,8,8,.500,0,0,0,
tschojo01,John Tschogl,14,5,9,.357,14,5,9,.357,0,0,0,
normaco01,Connie Norman,10,1,9,.100,10,1,9,.100,0,0,0,
maydo01,Don May,9,3,6,.333,9,3,6,.333,0,0,0,
taylofr01,Fred Taylor,8,1,7,.125,8,1,7,.125,0,0,0,
mcgregi01,Gil McGregor,8,4,4,.500,8,4,4,.500,0,0,0,
gibbsdi01,Dick Gibbs,8,1,7,.125,8,1,7,.125,0,0,0,
ratlimi01,Mike Ratliff,6,1,5,.167,6,1,5,.167,0,0,0,
kimbato01,Toby Kimball,6,1,5,.167,6,1,5,.167,0,0,0,
manakte01,Ted Manakas,4,0,4,.000,4,0,4,.000,0,0,0,
schadfr01,Frank Schade,4,1,3,.250,4,1,3,.250,0,0,0,
imhofda01,Darrall Imhoff,3,1,2,.333,3,1,2,.333,0,0,0,
vanlino01,Norm Van Lier,3,1,2,.333,3,1,2,.333,0,0,0,
johnsol01,Ollie Johnson*,1,0,1,.000,1,0,1,.000,0,0,0,
thigpju01,Justus Thigpen,1,0,1,.000,1,0,1,.000,0,0,0,
