id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
seikaro01,Rony Seikaly,67,28,39,.418,62,28,34,.452,5,0,5,.000
armstda01,Darrell Armstrong,56,26,30,.464,54,26,28,.481,2,0,2,.000
wilkige01,Gerald Wilkins,53,24,29,.453,51,24,27,.471,2,0,2,.000
grantho01,Horace Grant,52,26,26,.500,52,26,26,.500,0,0,0,
schayda01,Danny Schayes,51,22,29,.431,49,22,27,.449,2,0,2,.000
outlabo01,Bo Outlaw,44,20,24,.455,44,20,24,.455,0,0,0,
anderni01,Nick Anderson,44,21,23,.477,42,21,21,.500,2,0,2,.000
gatlich01,Chris Gatling,41,14,27,.341,38,14,24,.368,3,0,3,.000
gillke01,Kendall Gill,41,13,28,.317,38,13,25,.342,3,0,3,.000
vanhoke01,Keith Van Horn,39,13,26,.333,36,13,23,.361,3,0,3,.000
kittlke01,Kerry Kittles,39,13,26,.333,36,13,23,.361,3,0,3,.000
stronde01,Derek Strong,39,20,19,.513,37,20,17,.541,2,0,2,.000
pricema01,Mark Price,38,19,19,.500,38,19,19,.500,0,0,0,
harpede01,Derek Harper,35,13,22,.371,35,13,22,.371,0,0,0,
harrilu01,Lucious Harris,35,12,23,.343,32,12,20,.375,3,0,3,.000
cassesa01,Sam Cassell,32,11,21,.344,29,11,18,.379,3,0,3,.000
hardaan01,Anfernee Hardaway,30,13,17,.433,28,13,15,.464,2,0,2,.000
douglsh01,Sherman Douglas,30,12,18,.400,27,12,15,.444,3,0,3,.000
vaughda02,David Vaughn,27,14,13,.519,26,14,12,.538,1,0,1,.000
cagemi01,Michael Cage,25,11,14,.440,25,11,14,.440,0,0,0,
willija01,Jayson Williams,25,6,19,.240,22,6,16,.273,3,0,3,.000
scottde01,Dennis Scott,18,9,9,.500,16,9,7,.562,2,0,2,.000
shawbr01,Brian Shaw,14,7,7,.500,12,7,5,.583,2,0,2,.000
mcilvji01,Jim McIlvaine,11,2,9,.182,11,2,9,.182,0,0,0,
burresc01,Scott Burrell,11,2,9,.182,11,2,9,.182,0,0,0,
taylojo01,Johnny Taylor,9,2,7,.222,9,2,7,.222,0,0,0,
murdoer01,Eric Murdock,8,1,7,.125,8,1,7,.125,0,0,0,
maxweve01,Vernon Maxwell,8,3,5,.375,8,3,5,.375,0,0,0,
macledo01,Don MacLean,8,4,4,.500,8,4,4,.500,0,0,0,
lawsoja01,Jason Lawson,6,1,5,.167,6,1,5,.167,0,0,0,
boykiea01,Earl Boykins,5,2,3,.400,5,2,3,.400,0,0,0,
brandte01,Terrell Brandon,5,1,4,.200,5,1,4,.200,0,0,0,
jacksbo01,Bobby Jackson,5,1,4,.200,5,1,4,.200,0,0,0,
smithjo02,Joe Smith,5,1,4,.200,5,1,4,.200,0,0,0,
mccasam01,Amal McCaskill,5,2,3,.400,3,2,1,.667,2,0,2,.000
pattean01,Andrae Patterson,5,1,4,.200,5,1,4,.200,0,0,0,
garrede01,Dean Garrett,5,1,4,.200,5,1,4,.200,0,0,0,
mitchsa01,Sam Mitchell,5,1,4,.200,5,1,4,.200,0,0,0,
hammoto01,Tom Hammonds,5,1,4,.200,5,1,4,.200,0,0,0,
jonesda01,Damon Jones,5,1,4,.200,5,1,4,.200,0,0,0,
garneke01,Kevin Garnett,5,1,4,.200,5,1,4,.200,0,0,0,
thomaca01,Carl Thomas,4,1,3,.250,4,1,3,.250,0,0,0,
jordare01,Reggie Jordan,4,1,3,.250,4,1,3,.250,0,0,0,
kemptti01,Tim Kempton,3,3,0,1.000,3,3,0,1.000,0,0,0,
peelean01,Anthony Peeler,2,0,2,.000,2,0,2,.000,0,0,0,
overtdo01,Doug Overton,2,0,2,.000,2,0,2,.000,0,0,0,
haleyja01,Jack Haley,2,0,2,.000,2,0,2,.000,0,0,0,
curlebi01,Bill Curley,2,1,1,.500,2,1,1,.500,0,0,0,
royaldo01,Donald Royal,2,0,2,.000,2,0,2,.000,0,0,0,
wintetr01,Trevor Winter,1,0,1,.000,1,0,1,.000,0,0,0,
