id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
perryel01,Elliot Perry,133,56,77,.421,133,56,77,.421,0,0,0,
harrilu01,Lucious Harris,106,42,64,.396,106,42,64,.396,0,0,0,
marbust01,Stephon Marbury,105,45,60,.429,105,45,60,.429,0,0,0,
vanhoke01,Keith Van Horn,103,42,61,.408,103,42,61,.408,0,0,0,
gillke01,Kendall Gill,101,41,60,.406,101,41,60,.406,0,0,0,
newmajo01,Johnny Newman,87,33,54,.379,87,33,54,.379,0,0,0,
kittlke01,Kerry Kittles,86,39,47,.453,86,39,47,.453,0,0,0,
burresc01,Scott Burrell,81,33,48,.407,81,33,48,.407,0,0,0,
mcilvji01,Jim McIlvaine,65,24,41,.369,65,24,41,.369,0,0,0,
gilliar01,Armen Gilliam,47,22,25,.468,47,22,25,.468,0,0,0,
allenra02,Ray Allen,47,22,25,.468,47,22,25,.468,0,0,0,
currymi01,Michael Curry,47,22,25,.468,47,22,25,.468,0,0,0,
johnser02,Ervin Johnson,46,21,25,.457,46,21,25,.457,0,0,0,
delnevi01,Vinny Del Negro,39,10,29,.256,39,10,29,.256,0,0,0,
alexaco01,Cory Alexander,38,8,30,.211,38,8,30,.211,0,0,0,
andergr01,Greg Anderson,38,8,30,.211,38,8,30,.211,0,0,0,
honeyje01,Jerald Honeycutt,36,16,20,.444,36,16,20,.444,0,0,0,
eschmev01,Evan Eschmeyer,36,16,20,.444,36,16,20,.444,0,0,0,
herreca01,Carl Herrera,34,7,27,.206,34,7,27,.206,0,0,0,
johnsav01,Avery Johnson,32,7,25,.219,32,7,25,.219,0,0,0,
muresgh01,Gheorghe Mureșan,31,8,23,.258,31,8,23,.258,0,0,0,
perduwi01,Will Perdue,30,6,24,.200,30,6,24,.200,0,0,0,
brandte01,Terrell Brandon,29,18,11,.621,29,18,11,.621,0,0,0,
wilkido01,Dominique Wilkins,29,5,24,.172,29,5,24,.172,0,0,0,
langan01,Andrew Lang,29,11,18,.379,29,11,18,.379,0,0,0,
maxweve01,Vernon Maxwell,28,6,22,.214,28,6,22,.214,0,0,0,
hendrma01,Mark Hendrickson,27,10,17,.370,27,10,17,.370,0,0,0,
hillty01,Tyrone Hill,26,15,11,.577,26,15,11,.577,0,0,0,
robingl01,Glenn Robinson,25,15,10,.600,25,15,10,.600,0,0,0,
carrch01,Chris Carr,25,12,13,.480,25,12,13,.480,0,0,0,
douglsh01,Sherman Douglas,24,6,18,.250,24,6,18,.250,0,0,0,
willimo01,Monty Williams,23,5,18,.217,23,5,18,.217,0,0,0,
piercri01,Ricky Pierce,20,4,16,.200,20,4,16,.200,0,0,0,
cagemi01,Michael Cage,19,7,12,.368,19,7,12,.368,0,0,0,
greenli01,Litterial Green,15,3,12,.200,15,3,12,.200,0,0,0,
cunniwi01,William Cunningham,15,7,8,.467,15,7,8,.467,0,0,0,
smithch01,Charles Smith,13,3,10,.231,13,3,10,.231,0,0,0,
nordgje01,Jeff Nordgaard,13,6,7,.462,13,6,7,.462,0,0,0,
vaughda02,David Vaughn,10,4,6,.400,10,4,6,.400,0,0,0,
willija01,Jayson Williams,6,2,4,.333,6,2,4,.333,0,0,0,
smithto02,Tony Smith,6,3,3,.500,6,3,3,.500,0,0,0,
martike01,Kenyon Martin,6,3,3,.500,6,3,3,.500,0,0,0,
williaa01,Aaron Williams,6,3,3,.500,6,3,3,.500,0,0,0,
jacksst02,Stephen Jackson,6,3,3,.500,6,3,3,.500,0,0,0,
breauti01,Tim Breaux,5,4,1,.800,5,4,1,.800,0,0,0,
courtjo01,Joe Courtney,5,2,3,.400,5,2,3,.400,0,0,0,
curryde01,Dell Curry,5,4,1,.800,5,4,1,.800,0,0,0,
masonan01,Anthony Mason,3,2,1,.667,3,2,1,.667,0,0,0,
elliose01,Sean Elliott,3,0,3,.000,3,0,3,.000,0,0,0,
ricegl01,Glen Rice,3,2,1,.667,3,2,1,.667,0,0,0,
divacvl01,Vlade Divac,3,2,1,.667,3,2,1,.667,0,0,0,
boguemu01,Muggsy Bogues,3,2,1,.667,3,2,1,.667,0,0,0,
addisra01,Rafael Addison,3,2,1,.667,3,2,1,.667,0,0,0,
zidekge01,George Zídek,3,2,1,.667,3,2,1,.667,0,0,0,
traylro01,Robert Traylor,2,2,0,1.000,2,2,0,1.000,0,0,0,
jordaad01,Adonis Jordan,2,2,0,1.000,2,2,0,1.000,0,0,0,
delkto01,Tony Delk,2,2,0,1.000,2,2,0,1.000,0,0,0,
seikaro01,Rony Seikaly,1,0,1,.000,1,0,1,.000,0,0,0,
hancoda01,Darrin Hancock,1,0,1,.000,1,0,1,.000,0,0,0,
goldwan01,Anthony Goldwire,1,0,1,.000,1,0,1,.000,0,0,0,
stepavl01,Vladimir Stepania,1,0,1,.000,1,0,1,.000,0,0,0,
samakso01,Soumaila Samake,1,0,1,.000,1,0,1,.000,0,0,0,
