id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hoibefr01,Fred Hoiberg,174,46,128,.264,174,46,128,.264,0,0,0,
crawfja01,Jamal Crawford,153,38,115,.248,153,38,115,.248,0,0,0,
curryed01,Eddy Curry,143,43,100,.301,143,43,100,.301,0,0,0,
chandty01,Tyson Chandler,117,35,82,.299,117,35,82,.299,0,0,0,
hassetr01,Trenton Hassell,110,34,76,.309,110,34,76,.309,0,0,0,
millebr01,Brad Miller,97,21,76,.216,97,21,76,.216,0,0,0,
artesro01,Metta World Peace,92,22,70,.239,92,22,70,.239,0,0,0,
mercero01,Ron Mercer,91,17,74,.187,91,17,74,.187,0,0,0,
robined01,Eddie Robinson,90,25,65,.278,90,25,65,.278,0,0,0,
bagarda01,Dalibor Bagarić,80,19,61,.237,80,19,61,.237,0,0,0,
guytoaj01,A.J. Guyton,72,15,57,.208,72,15,57,.208,0,0,0,
roseja01,Jalen Rose,71,24,47,.338,71,24,47,.338,0,0,0,
brandel01,Elton Brand,64,14,50,.219,64,14,50,.219,0,0,0,
benjaco01,Corey Benjamin,56,9,47,.161,56,9,47,.161,0,0,0,
masonde01,Desmond Mason,56,17,39,.304,56,17,39,.304,0,0,0,
oaklech01,Charles Oakley,53,11,42,.208,53,11,42,.208,0,0,0,
gadzuda01,Dan Gadzuric,53,16,37,.302,53,16,37,.302,0,0,0,
blounco01,Corie Blount,52,17,35,.327,52,17,35,.327,0,0,0,
willima01,Mo Williams,52,17,35,.327,52,17,35,.327,0,0,0,
ollieke01,Kevin Ollie,51,12,39,.235,51,12,39,.235,0,0,0,
pachuza01,Zaza Pachulia,51,17,34,.333,51,17,34,.333,0,0,0,
reddmi01,Michael Redd,50,16,34,.320,50,16,34,.320,0,0,0,
smithjo02,Joe Smith,46,15,31,.326,46,15,31,.326,0,0,0,
marshdo01,Donyell Marshall,46,17,29,.370,46,17,29,.370,0,0,0,
elamikh01,Khalid El-Amin,45,7,38,.156,45,7,38,.156,0,0,0,
stricer01,Erick Strickland,41,11,30,.268,41,11,30,.268,0,0,0,
drewbr01,Bryce Drew,41,8,33,.195,41,8,33,.195,0,0,0,
hinriki01,Kirk Hinrich,40,10,30,.250,40,10,30,.250,0,0,0,
ruffimi01,Michael Ruffin,40,8,32,.200,40,8,32,.200,0,0,0,
gillke01,Kendall Gill,39,13,26,.333,39,13,26,.333,0,0,0,
davisan01,Antonio Davis,37,11,26,.297,37,11,26,.297,0,0,0,
tarladr01,Dragan Tarlać,36,3,33,.083,36,3,33,.083,0,0,0,
anthogr01,Greg Anthony,34,8,26,.235,34,8,26,.235,0,0,0,
kukocto01,Toni Kukoč,31,11,20,.355,31,11,20,.355,0,0,0,
willija03,Jay Williams,31,11,20,.355,31,11,20,.355,0,0,0,
brunsri01,Rick Brunson,30,9,21,.300,30,9,21,.300,0,0,0,
willije01,Jerome Williams,28,7,21,.250,28,7,21,.250,0,0,0,
jamesmi01,Mike James,28,10,18,.357,28,10,18,.357,0,0,0,
besttr01,Travis Best,25,7,18,.280,25,7,18,.280,0,0,0,
duprero01,Ronald Dupree,25,5,20,.200,25,5,20,.200,0,0,0,
baxtelo01,Lonny Baxter,23,5,18,.217,23,5,18,.217,0,0,0,
johnsli01,Linton Johnson,23,7,16,.304,23,7,16,.304,0,0,0,
goldwan01,Anthony Goldwire,20,4,16,.200,20,4,16,.200,0,0,0,
boothca01,Calvin Booth,16,4,12,.250,16,4,12,.250,0,0,0,
voskuja01,Jake Voskuhl,15,1,14,.067,15,1,14,.067,0,0,0,
pippesc01,Scottie Pippen,14,1,13,.071,14,1,13,.071,0,0,0,
vanhoke01,Keith Van Horn,14,3,11,.214,14,3,11,.214,0,0,0,
jeffech01,Chris Jefferies,13,4,9,.308,13,4,9,.308,0,0,0,
gainere01,Reece Gaines,11,3,8,.273,11,3,8,.273,0,0,0,
goodrst01,Steve Goodrich,11,3,8,.273,11,3,8,.273,0,0,0,
pargoja01,Jannero Pargo,10,3,7,.300,10,3,7,.300,0,0,0,
hamilze01,Zendon Hamilton,9,4,5,.444,9,4,5,.444,0,0,0,
richano01,Norm Richardson,7,2,5,.286,7,2,5,.286,0,0,0,
houseed01,Eddie House,5,2,3,.400,5,2,3,.400,0,0,0,
santida01,Daniel Santiago,3,1,2,.333,3,1,2,.333,0,0,0,
jacksma02,Marc Jackson,3,0,3,.000,3,0,3,.000,0,0,0,
brownpj01,P.J. Brown,3,0,3,.000,3,0,3,.000,0,0,0,
masonro01,Roger Mason,3,0,3,.000,3,0,3,.000,0,0,0,
smithjr01,J.R. Smith,3,0,3,.000,3,0,3,.000,0,0,0,
paulch01,Chris Paul,3,0,3,.000,3,0,3,.000,0,0,0,
bassbr01,Brandon Bass,3,0,3,.000,3,0,3,.000,0,0,0,
norrimo01,Moochie Norris,3,0,3,.000,3,0,3,.000,0,0,0,
butlera01,Rasual Butler,3,0,3,.000,3,0,3,.000,0,0,0,
snydeki01,Kirk Snyder,2,0,2,.000,2,0,2,.000,0,0,0,
macijar01,Arvydas Macijauskas,2,0,2,.000,2,0,2,.000,0,0,0,
westda01,David West,1,0,1,.000,1,0,1,.000,0,0,0,
