id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
laniebo01,Bob Lanier,443,235,208,.530,423,227,196,.537,20,8,12,.400
rowecu01,Curtis Rowe,385,191,194,.496,368,184,184,.500,17,7,10,.412
carrml01,M.L. Carr,369,227,142,.615,328,202,126,.616,41,25,16,.610
maxwece01,Cedric Maxwell,339,224,115,.661,301,200,101,.664,38,24,14,.632
architi01,Tiny Archibald,317,211,106,.666,283,189,94,.668,34,22,12,.647
moneyer01,Eric Money,305,145,160,.475,293,140,153,.478,12,5,7,.417
robeyri01,Rick Robey,304,211,93,.694,266,187,79,.703,38,24,14,.632
mengejo01,John Mengelt,297,159,138,.535,283,154,129,.544,14,5,9,.357
birdla01,Larry Bird,264,195,69,.739,226,171,55,.757,38,24,14,.632
hendege01,Gerald Henderson,262,195,67,.744,225,171,54,.760,37,24,13,.649
trappge01,George Trapp,257,131,126,.510,240,124,116,.517,17,7,10,.412
bingda01,Dave Bing,240,133,107,.554,232,130,102,.560,8,3,5,.375
eberhal01,Al Eberhard,229,103,126,.450,218,99,119,.454,11,4,7,.364
davisji01,Jim Davis,227,123,104,.542,220,120,100,.545,7,3,4,.429
porteho01,Howard Porter,216,104,112,.481,201,98,103,.488,15,6,9,.400
adamsdo01,Don Adams,192,107,85,.557,187,105,82,.561,5,2,3,.400
norwowi01,Willie Norwood*,189,102,87,.540,185,101,84,.546,4,1,3,.250
mchalke01,Kevin McHale,187,139,48,.743,158,120,38,.759,29,19,10,.655
parisro01,Robert Parish,186,138,48,.742,157,119,38,.758,29,19,10,.655
douglle01,Leon Douglas,167,81,86,.485,164,80,84,.488,3,1,2,.333
fernser01,Eric Fernsten,154,117,37,.760,136,104,32,.765,18,13,5,.722
judkije01,Jeff Judkins,142,78,64,.549,135,73,62,.541,7,5,2,.714
cowenda01,Dave Cowens,130,75,55,.577,121,70,51,.579,9,5,4,.556
chanedo01,Don Chaney,117,61,56,.521,117,61,56,.521,0,0,0,
porteke01,Kevin Porter,114,59,55,.518,111,58,53,.523,3,1,2,.333
simpsra01,Ralph Simpson*,111,57,54,.514,109,56,53,.514,2,1,1,.500
barnema01,Marvin Barnes,99,50,49,.505,99,50,49,.505,0,0,0,
lantzst01,Stu Lantz*,98,51,47,.520,93,49,44,.527,5,2,3,.400
clarkar01,Archie Clark*,88,40,48,.455,79,36,43,.456,9,4,5,.444
brownro02,Roger Brown*,83,42,41,.506,72,37,35,.514,11,5,6,.455
skinnal01,Al Skinner*,69,30,39,.435,69,30,39,.435,0,0,0,
nashbo01,Bob Nash,69,45,24,.652,69,45,24,.652,0,0,0,
duerote01,Terry Duerod,63,45,18,.714,53,38,15,.717,10,7,3,.700
williea01,Earl Williams,63,22,41,.349,63,22,41,.349,0,0,0,
shumajo01,John Shumate,62,31,31,.500,62,31,31,.500,0,0,0,
fostefr01,Fred Foster*,58,27,31,.466,58,27,31,.466,0,0,0,
aingeda01,Danny Ainge,57,40,17,.702,47,34,13,.723,10,6,4,.600
poquebe01,Ben Poquette,55,22,33,.400,55,22,33,.400,0,0,0,
bradlch01,Charles Bradley,54,40,14,.741,47,35,12,.745,7,5,2,.714
gerargu01,Gus Gerard*,49,23,26,.469,49,23,26,.469,0,0,0,
hairsli01,Lindsay Hairston,47,20,27,.426,47,20,27,.426,0,0,0,
kelsobe01,Ben Kelso,46,31,15,.674,46,31,15,.674,0,0,0,
selleph01,Phil Sellers,45,19,26,.422,44,19,25,.432,1,0,1,.000
whitejo01,Jo Jo White*,43,16,27,.372,43,16,27,.372,0,0,0,
ligonbi01,Bill Ligon,39,17,22,.436,37,16,21,.432,2,1,1,.500
knighbi01,Billy Knight,36,13,23,.361,36,13,23,.361,0,0,0,
priceji01,Jim Price,34,15,19,.441,34,15,19,.441,0,0,0,
thomate01,Terry Thomas,32,9,23,.281,28,9,19,.321,4,0,4,.000
maravpe01,Pete Maravich,26,19,7,.731,17,14,3,.824,9,5,4,.556
kreklwa01,Wayne Kreklow,25,20,5,.800,25,20,5,.800,0,0,0,
sandefr01,Frankie Sanders,24,6,18,.250,24,6,18,.250,0,0,0,
stacoke01,Kevin Stacom,24,7,17,.292,24,7,17,.292,0,0,0,
dickehe01,Henry Dickerson,22,8,14,.364,17,7,10,.412,5,1,4,.200
mueller01,Erwin Mueller,21,11,10,.524,21,11,10,.524,0,0,0,
mcadobo01,Bob McAdoo,20,4,16,.200,20,4,16,.200,0,0,0,
awtrede01,Dennis Awtrey,19,5,14,.263,19,5,14,.263,0,0,0,
thigpju01,Justus Thigpen,18,11,7,.611,18,11,7,.611,0,0,0,
barketo01,Tom Barker,12,7,5,.583,12,7,5,.583,0,0,0,
jackstr01,Tracy Jackson,11,10,1,.909,11,10,1,.909,0,0,0,
brittwa01,Wayman Britt,7,5,2,.714,7,5,2,.714,0,0,0,
cashco01,Cornelius Cash,6,2,4,.333,6,2,4,.333,0,0,0,
marlaha01,Harvey Marlatt,5,2,3,.400,5,2,3,.400,0,0,0,
bostiji01,Jim Bostic,4,2,2,.500,4,2,2,.500,0,0,0,
tylerte01,Terry Tyler,3,0,3,.000,3,0,3,.000,0,0,0,
greenri01,Rickey Green,3,0,3,.000,3,0,3,.000,0,0,0,
longjo01,John Long,3,0,3,.000,3,0,3,.000,0,0,0,
mooreot01,Otto Moore,2,0,2,.000,2,0,2,.000,0,0,0,
behagro01,Ron Behagen,1,0,1,.000,1,0,1,.000,0,0,0,
joneswa02,Wali Jones,1,0,1,.000,1,0,1,.000,0,0,0,
