id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
drobnpr01,Predrag Drobnjak,17,9,8,.529,17,9,8,.529,0,0,0,
radmavl01,Vladimir RadmanoviÄ‡,16,9,7,.562,16,9,7,.562,0,0,0,
lewisra02,Rashard Lewis,16,8,8,.500,16,8,8,.500,0,0,0,
barrybr01,Brent Barry,15,9,6,.600,15,9,6,.600,0,0,0,
potapvi01,Vitaly Potapenko,15,4,11,.267,15,4,11,.267,0,0,0,
evansre01,Reggie Evans,13,8,5,.615,13,8,5,.615,0,0,0,
anderke01,Kenny Anderson,12,3,9,.250,12,3,9,.250,0,0,0,
boothca01,Calvin Booth,11,4,7,.364,11,4,7,.364,0,0,0,
jamesje01,Jerome James,11,6,5,.545,11,6,5,.545,0,0,0,
masonde01,Desmond Mason,10,3,7,.300,10,3,7,.300,0,0,0,
sesayan01,Ansu Sesay,10,3,7,.300,10,3,7,.300,0,0,0,
paytoga01,Gary Payton,10,3,7,.300,10,3,7,.300,0,0,0,
mccarwa01,Walter McCarty,8,2,6,.250,8,2,6,.250,0,0,0,
piercpa01,Paul Pierce,8,2,6,.250,8,2,6,.250,0,0,0,
walkean02,Antoine Walker,8,2,6,.250,8,2,6,.250,0,0,0,
blounma01,Mark Blount,7,2,5,.286,7,2,5,.286,0,0,0,
willier01,Eric Williams,7,2,5,.286,7,2,5,.286,0,0,0,
stricer01,Erick Strickland,7,1,6,.143,7,1,6,.143,0,0,0,
battito01,Tony Battie,7,2,5,.286,7,2,5,.286,0,0,0,
ollieke01,Kevin Ollie,6,5,1,.833,6,5,1,.833,0,0,0,
johnsjo02,Joe Johnson,6,1,5,.167,6,1,5,.167,0,0,0,
allenra02,Ray Allen,6,5,1,.833,6,5,1,.833,0,0,0,
palacmi01,Milt Palacio,6,1,5,.167,6,1,5,.167,0,0,0,
brownke01,Kedrick Brown,3,2,1,.667,3,2,1,.667,0,0,0,
campbel01,Elden Campbell,2,2,0,1.000,2,2,0,1.000,0,0,0,
rogerro01,Rodney Rogers,2,1,1,.500,2,1,1,.500,0,0,0,
delkto01,Tony Delk,2,1,1,.500,2,1,1,.500,0,0,0,
murraro01,Ronald Murray,2,2,0,1.000,2,2,0,1.000,0,0,0,
