id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bryanko01,Kobe Bryant,537,376,161,.700,441,312,129,.707,96,64,32,.667
onealsh01,Shaquille O'Neal,526,380,146,.722,427,314,113,.735,99,66,33,.667
fishede01,Derek Fisher,505,356,149,.705,408,291,117,.713,97,65,32,.670
horryro01,Robert Horry,498,351,147,.705,415,294,121,.708,83,57,26,.687
shawbr01,Brian Shaw,356,256,100,.719,295,210,85,.712,61,46,15,.754
georgde01,Devean George,348,250,98,.718,293,212,81,.724,55,38,17,.691
brownde01,Dee Brown,321,131,190,.408,312,129,183,.413,9,2,7,.222
gamblke01,Kevin Gamble,239,124,115,.519,227,119,108,.524,12,5,7,.417
douglsh01,Sherman Douglas,239,111,128,.464,231,107,124,.463,8,4,4,.500
parisro01,Robert Parish,233,122,111,.524,221,117,104,.529,12,5,7,.417
madsema01,Mark Madsen,207,149,58,.720,183,129,54,.705,24,20,4,.833
mcdanxa01,Xavier McDaniel,199,87,112,.437,195,86,109,.441,4,1,3,.250
radjadi01,Dino Radja,195,68,127,.349,195,68,127,.349,0,0,0,
wesleda01,David Wesley,192,60,132,.312,192,60,132,.312,0,0,0,
medvest01,Stanislav Medvedenko,191,130,61,.681,167,115,52,.689,24,15,9,.625
pincked01,Ed Pinckney,171,84,87,.491,163,80,83,.491,8,4,4,.500
lewisre01,Reggie Lewis,159,93,66,.585,150,88,62,.587,9,5,4,.556
harpero01,Ron Harper,156,118,38,.756,127,97,30,.764,29,21,8,.724
walkesa01,Samaki Walker,151,101,50,.669,130,85,45,.654,21,16,5,.762
kleinjo01,Joe Kleine,148,85,63,.574,137,80,57,.584,11,5,6,.455
dayto01,Todd Day,145,41,104,.283,145,41,104,.283,0,0,0,
minorgr01,Greg Minor,135,50,85,.370,135,50,85,.370,0,0,0,
willier01,Eric Williams,134,39,95,.291,134,39,95,.291,0,0,0,
ricegl01,Glen Rice,134,96,38,.716,104,79,25,.760,30,17,13,.567
mchalke01,Kevin McHale,129,71,58,.550,117,66,51,.564,12,5,7,.417
rushka01,Kareem Rush,121,80,41,.661,103,70,33,.680,18,10,8,.556
montrer01,Eric Montross,113,42,71,.372,113,42,71,.372,0,0,0,
knightr01,Travis Knight,113,83,30,.735,96,72,24,.750,17,11,6,.647
grantho01,Horace Grant,112,81,31,.723,96,66,30,.688,16,15,1,.938
jonesed02,Eddie Jones,110,79,31,.718,97,72,25,.742,13,7,6,.538
campbel01,Elden Campbell,108,76,32,.704,95,69,26,.726,13,7,6,.538
greenac01,A.C. Green,105,82,23,.781,82,67,15,.817,23,15,8,.652
ellispe01,Pervis Ellison,103,35,68,.340,103,35,68,.340,0,0,0,
barroda01,Dana Barros,103,37,66,.359,103,37,66,.359,0,0,0,
listeal01,Alton Lister,103,30,73,.291,103,30,73,.291,0,0,0,
hunteli01,Lindsey Hunter,100,72,28,.720,82,58,24,.707,18,14,4,.778
earlac01,Acie Earl,96,32,64,.333,96,32,64,.333,0,0,0,
blounco01,Corie Blount,93,63,30,.677,81,57,24,.704,12,6,6,.500
baglejo01,John Bagley,89,53,36,.596,81,49,32,.605,8,4,4,.500
rooksse01,Sean Rooks,85,58,27,.682,74,52,22,.703,11,6,5,.545
vanexni01,Nick Van Exel,77,54,23,.701,64,47,17,.734,13,7,6,.538
luety01,Tyronn Lue,76,52,24,.684,58,36,22,.621,18,16,2,.889
walkean02,Antoine Walker,76,14,62,.184,76,14,62,.184,0,0,0,
abdelal01,Alaa Abdelnaby,69,36,33,.522,65,35,30,.538,4,1,3,.250
conloma01,Marty Conlon,68,12,56,.176,68,12,56,.176,0,0,0,
rideris01,Isaiah Rider,67,46,21,.687,67,46,21,.687,0,0,0,
richmmi01,Mitch Richmond,66,48,18,.727,64,47,17,.734,2,1,1,.500
szabobr01,Brett Szabo,64,10,54,.156,64,10,54,.156,0,0,0,
sallejo01,John Salley,63,48,15,.762,45,37,8,.822,18,11,7,.611
fostegr01,Greg Foster,63,42,21,.667,62,41,21,.661,1,1,0,1.000
burroju01,Junior Burrough,60,22,38,.367,60,22,38,.367,0,0,0,
penbemi01,Mike Penberthy,56,42,14,.750,56,42,14,.750,0,0,0,
barryjo01,Jon Barry,56,44,12,.786,49,39,10,.796,7,5,2,.714
paytoga01,Gary Payton,54,37,17,.685,38,28,10,.737,16,9,7,.562
corchch01,Chris Corchiani,51,18,33,.353,51,18,33,.353,0,0,0,
waltolu01,Luke Walton,50,34,16,.680,37,27,10,.730,13,7,6,.538
bennema01,Mario Bennett,49,38,11,.776,45,35,10,.778,4,3,1,.750
harpede01,Derek Harper,49,30,19,.612,42,27,15,.643,7,3,4,.429
birdla01,Larry Bird,48,31,17,.646,44,30,14,.682,4,1,3,.250
wilkido01,Dominique Wilkins,48,16,32,.333,48,16,32,.333,0,0,0,
stronde01,Derek Strong,45,16,29,.356,45,16,29,.356,0,0,0,
oliveji01,Jimmy Oliver,44,15,29,.341,44,15,29,.341,0,0,0,
russebr01,Bryon Russell,35,23,12,.657,30,20,10,.667,5,3,2,.600
pargoja01,Jannero Pargo,32,20,12,.625,28,18,10,.643,4,2,2,.500
malonka01,Karl Malone,30,21,9,.700,15,12,3,.800,15,9,6,.600
reidjr01,J.R. Reid,30,13,17,.433,22,10,12,.455,8,3,5,.375
cookbr01,Brian Cook,29,22,7,.759,19,16,3,.842,10,6,4,.600
hamerst01,Steve Hamer,29,3,26,.103,29,3,26,.103,0,0,0,
edwarbl01,Blue Edwards,29,9,20,.310,29,9,20,.310,0,0,0,
greenri01,Rickey Green,26,16,10,.615,26,16,10,.615,0,0,0,
murratr01,Tracy Murray,25,14,11,.560,25,14,11,.560,0,0,0,
rodmade01,Dennis Rodman,23,17,6,.739,23,17,6,.739,0,0,0,
hawkimi01,Michael Hawkins,23,2,21,.087,23,2,21,.087,0,0,0,
patteru01,Ruben Patterson,22,12,10,.545,19,11,8,.579,3,1,2,.333
mccoyje01,Jelani McCoy,21,16,5,.762,21,16,5,.762,0,0,0,
willilo01,Lorenzo Williams,21,13,8,.619,20,13,7,.650,1,0,1,.000
vrankst01,Stojko VrankoviÄ‡,19,14,5,.737,18,13,5,.722,1,1,0,1.000
brickfr01,Frank Brickowski,17,5,12,.294,17,5,12,.294,0,0,0,
smithdo03,Doug Smith,17,4,13,.235,17,4,13,.235,0,0,0,
celesjo01,John Celestand,16,12,4,.750,16,12,4,.750,0,0,0,
wenstma01,Matt Wenstrom,11,5,6,.455,11,5,6,.455,0,0,0,
pritcke01,Kevin Pritchard,11,7,4,.636,11,7,4,.636,0,0,0,
battlke01,Kenny Battle,11,7,4,.636,11,7,4,.636,0,0,0,
hamilth01,Thomas Hamilton,10,5,5,.500,10,5,5,.500,0,0,0,
webbma01,Marcus Webb,9,4,5,.444,9,4,5,.444,0,0,0,
driggna01,Nate Driggers,9,2,7,.222,9,2,7,.222,0,0,0,
mundtto01,Todd Mundt,9,3,6,.333,9,3,6,.333,0,0,0,
samakso01,Soumaila Samake,8,3,5,.375,8,3,5,.375,0,0,0,
harrito01,Tony Harris,8,1,7,.125,8,1,7,.125,0,0,0,
masseto01,Tony Massenburg,7,4,3,.571,7,4,3,.571,0,0,0,
kofoeba01,Bart Kofoed,7,3,4,.429,7,3,4,.429,0,0,0,
blackja01,James Blackwell,6,2,4,.333,6,2,4,.333,0,0,0,
crispjo01,Joe Crispin,6,5,1,.833,6,5,1,.833,0,0,0,
jacobsa01,Sam Jacobson,5,3,2,.600,5,3,2,.600,0,0,0,
kingst01,Stacey King,5,1,4,.200,5,1,4,.200,0,0,0,
lichtto01,Todd Lichti,4,2,2,.500,4,2,2,.500,0,0,0,
sealssh01,Shea Seals,4,3,1,.750,4,3,1,.750,0,0,0,
cartema01,Maurice Carter,4,1,3,.250,4,1,3,.250,0,0,0,
claxtch01,Charles Claxton,3,1,2,.333,3,1,2,.333,0,0,0,
wolfjo01,Joe Wolf,2,1,1,.500,2,1,1,.500,0,0,0,
robinla01,Larry Robinson,1,1,0,1.000,1,1,0,1.000,0,0,0,
sykesla01,Larry Sykes,1,0,1,.000,1,0,1,.000,0,0,0,
