id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
steella01,Larry Steele,79,26,53,.329,79,26,53,.329,0,0,0,
nealll01,Lloyd Neal,78,26,52,.333,78,26,52,.333,0,0,0,
johnsol01,Ollie Johnson*,77,25,52,.325,77,25,52,.325,0,0,0,
wickssi01,Sidney Wicks,73,23,50,.315,73,23,50,.315,0,0,0,
petrige01,Geoff Petrie,71,24,47,.338,71,24,47,.338,0,0,0,
roberri01,Rick Roberson,68,24,44,.353,68,24,44,.353,0,0,0,
johnsjo01,John Johnson,67,24,43,.358,67,24,43,.358,0,0,0,
smithgr01,Greg Smith,65,17,48,.262,65,17,48,.262,0,0,0,
martila01,LaRue Martin*,49,13,36,.265,49,13,36,.265,0,0,0,
maravpe01,Pete Maravich,31,14,17,.452,31,14,17,.452,0,0,0,
nelsolo01,Louie Nelson*,31,14,17,.452,31,14,17,.452,0,0,0,
willina01,Nate Williams,31,14,17,.452,31,14,17,.452,0,0,0,
countme01,Mel Counts,31,14,17,.452,31,14,17,.452,0,0,0,
colemec01,E.C. Coleman,31,14,17,.452,31,14,17,.452,0,0,0,
jamesaa01,Aaron James*,31,14,17,.452,31,14,17,.452,0,0,0,
stallbu01,Bud Stallworth,31,14,17,.452,31,14,17,.452,0,0,0,
mooreot01,Otto Moore,31,14,17,.452,31,14,17,.452,0,0,0,
siblema01,Mark Sibley*,29,6,23,.207,29,6,23,.207,0,0,0,
bibbyhe01,Henry Bibby,24,8,16,.333,24,8,16,.333,0,0,0,
vergabo01,Bob Verga,21,3,18,.143,21,3,18,.143,0,0,0,
laytomo01,Mo Layton,20,8,12,.400,20,8,12,.400,0,0,0,
caldwjo01,Joe Caldwell,9,3,6,.333,9,3,6,.333,0,0,0,
willifl01,Fly Williams*,9,3,6,.333,9,3,6,.333,0,0,0,
gerargu01,Gus Gerard*,9,3,6,.333,9,3,6,.333,0,0,0,
jonesst01,Steve Jones*,9,3,6,.333,9,3,6,.333,0,0,0,
barnema01,Marvin Barnes,8,3,5,.375,8,3,5,.375,0,0,0,
lucasma01,Maurice Lucas,7,2,5,.286,7,2,5,.286,0,0,0,
fosteja01,Jimmy Foster*,6,1,5,.167,6,1,5,.167,0,0,0,
davisch01,Charlie Davis,6,3,3,.500,6,3,3,.500,0,0,0,
owensto01,Tom Owens*,5,2,3,.400,5,2,3,.400,0,0,0,
willimi01,Milt Williams,4,2,2,.500,4,2,2,.500,0,0,0,
kennego01,Goo Kennedy*,4,0,4,.000,4,0,4,.000,0,0,0,
