id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
houseed01,Eddie House,30,17,13,.567,30,17,13,.567,0,0,0,
allenra02,Ray Allen,27,17,10,.630,27,17,10,.630,0,0,0,
perkike01,Kendrick Perkins,27,17,10,.630,27,17,10,.630,0,0,0,
rondora01,Rajon Rondo*,26,16,10,.615,26,16,10,.615,0,0,0,
piercpa01,Paul Pierce,25,16,9,.640,25,16,9,.640,0,0,0,
walkebi01,Henry Walker,21,9,12,.429,21,9,12,.429,0,0,0,
willish02,Shelden Williams,20,14,6,.700,20,14,6,.700,0,0,0,
scalabr01,Brian Scalabrine,19,13,6,.684,19,13,6,.684,0,0,0,
wallara01,Rasheed Wallace,19,13,6,.684,19,13,6,.684,0,0,0,
hudsole01,Lester Hudson,15,12,3,.800,15,12,3,.800,0,0,0,
garneke01,Kevin Garnett,14,11,3,.786,14,11,3,.786,0,0,0,
gallida01,Danilo Gallinari*,11,4,7,.364,11,4,7,.364,0,0,0,
daniema01,Marquis Daniels,11,8,3,.727,11,8,3,.727,0,0,0,
douglto01,Toney Douglas,11,4,7,.364,11,4,7,.364,0,0,0,
davisgl01,Glen Davis,10,6,4,.600,10,6,4,.600,0,0,0,
leeda02,David Lee,10,3,7,.300,10,3,7,.300,0,0,0,
rodrise01,Sergio Rodríguez,10,4,6,.400,10,4,6,.400,0,0,0,
duhonch01,Chris Duhon,9,4,5,.444,9,4,5,.444,0,0,0,
mcgratr01,Tracy McGrady,8,2,6,.250,8,2,6,.250,0,0,0,
allento01,Tony Allen,8,5,3,.625,8,5,3,.625,0,0,0,
harrial01,Al Harrington,7,2,5,.286,7,2,5,.286,0,0,0,
powele01,Leon Powe,6,3,3,.500,6,3,3,.500,0,0,0,
barroea01,Earl Barron,4,2,2,.500,4,2,2,.500,0,0,0,
mooremi01,Mikki Moore,4,1,3,.250,4,1,3,.250,0,0,0,
marbust01,Stephon Marbury,4,1,3,.250,4,1,3,.250,0,0,0,
pruitga01,Gabe Pruitt,4,2,2,.500,4,2,2,.500,0,0,0,
bendejo01,Jonathan Bender,2,1,1,.500,2,1,1,.500,0,0,0,
