id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
huertke01,Kevin Huerter*,78,37,41,.474,78,37,41,.474,0,0,0,
collijo01,John Collins*,71,31,40,.437,71,31,40,.437,0,0,0,
youngtr01,Trae Young*,66,31,35,.470,66,31,35,.470,0,0,0,
fernabr01,Bruno Fernando,52,28,24,.538,52,28,24,.538,0,0,0,
reddica01,Cam Reddish,47,16,31,.340,47,16,31,.340,0,0,0,
hillso01,Solomon Hill,47,25,22,.532,47,25,22,.532,0,0,0,
huntede01,De'Andre Hunter*,47,21,26,.447,47,21,26,.447,0,0,0,
capelca01,Clint Capela*,41,21,20,.512,41,21,20,.512,0,0,0,
loveke01,Kevin Love*,36,19,17,.528,36,19,17,.528,0,0,0,
okorois01,Isaac Okoro*,34,18,16,.529,34,18,16,.529,0,0,0,
mobleev01,Evan Mobley*,33,18,15,.545,33,18,15,.545,0,0,0,
cartevi01,Vince Carter,33,13,20,.394,33,13,20,.394,0,0,0,
stevela01,Lamar Stevens*,32,16,16,.500,32,16,16,.500,0,0,0,
okongon01,Onyeka Okongwu*,30,18,12,.600,30,18,12,.600,0,0,0,
knighna01,Nathan Knight*,29,18,11,.621,29,18,11,.621,0,0,0,
osmande01,Cedi Osman*,29,16,13,.552,29,16,13,.552,0,0,0,
markkla01,Lauri Markkanen*,28,14,14,.500,28,14,14,.500,0,0,0,
bogdabo01,Bogdan Bogdanović*,28,18,10,.643,28,18,10,.643,0,0,0,
gallida01,Danilo Gallinari*,28,15,13,.536,28,15,13,.536,0,0,0,
jonesda03,Damian Jones,28,10,18,.357,28,10,18,.357,0,0,0,
snellto01,Tony Snell*,27,15,12,.556,27,15,12,.556,0,0,0,
garlada01,Darius Garland*,27,14,13,.519,27,14,13,.519,0,0,0,
mayssk01,Skylar Mays*,26,16,10,.615,26,16,10,.615,0,0,0,
rondora01,Rajon Rondo*,25,15,10,.600,25,15,10,.600,0,0,0,
windldy01,Dylan Windler,23,12,11,.522,23,12,11,.522,0,0,0,
allenja01,Jarrett Allen*,22,13,9,.591,22,13,9,.591,0,0,0,
teaguje01,Jeff Teague,21,8,13,.381,21,8,13,.381,0,0,0,
wadede01,Dean Wade,20,10,10,.500,20,10,10,.500,0,0,0,
grahatr01,Treveon Graham,18,7,11,.389,18,7,11,.389,0,0,0,
craigto01,Torrey Craig,16,10,6,.625,16,10,6,.625,0,0,0,
plumlma01,Mason Plumlee*,16,10,6,.625,16,10,6,.625,0,0,0,
beaslma01,Malik Beasley*,16,10,6,.625,16,10,6,.625,0,0,0,
morrimo01,Monte Morris,16,10,6,.625,16,10,6,.625,0,0,0,
davised01,Ed Davis,16,6,10,.375,16,6,10,.375,0,0,0,
jokicni01,Nikola Jokić,16,10,6,.625,16,10,6,.625,0,0,0,
willilo02,Lou Williams,16,11,5,.688,16,11,5,.688,0,0,0,
lylestr01,Trey Lyles,15,10,5,.667,15,10,5,.667,0,0,0,
hernaju01,Juancho Hernangómez,15,9,6,.600,15,9,6,.600,0,0,0,
bembrde01,DeAndre' Bembry,15,5,10,.333,15,5,10,.333,0,0,0,
leverca01,Caris LeVert*,14,7,7,.500,14,7,7,.500,0,0,0,
lenal01,Alex Len*,12,4,8,.333,12,4,8,.333,0,0,0,
murraja01,Jamal Murray,12,7,5,.583,12,7,5,.583,0,0,0,
brownmo01,Moses Brown,12,5,7,.417,12,5,7,.417,0,0,0,
millspa01,Paul Millsap,11,8,3,.727,11,8,3,.727,0,0,0,
crabbal01,Allen Crabbe,10,3,7,.300,10,3,7,.300,0,0,0,
lydonty01,Tyler Lydon,10,6,4,.600,10,6,4,.600,0,0,0,
nembhrj01,RJ Nembhard Jr.,9,4,5,.444,9,4,5,.444,0,0,0,
pangoke01,Kevin Pangos,8,5,3,.625,8,5,3,.625,0,0,0,
bartowi01,Will Barton*,7,4,3,.571,7,4,3,.571,0,0,0,
dedmode01,Dewayne Dedmon,7,3,4,.429,7,3,4,.429,0,0,0,
harriga01,Gary Harris,6,5,1,.833,6,5,1,.833,0,0,0,
brownch02,Charlie Brown Jr.,6,1,5,.167,6,1,5,.167,0,0,0,
turneev01,Evan Turner,5,1,4,.200,5,1,4,.200,0,0,0,
dunnkr01,Kris Dunn,4,1,3,.250,4,1,3,.250,0,0,0,
parkeja01,Jabari Parker,3,1,2,.333,3,1,2,.333,0,0,0,
welshth01,Thomas Welsh,3,0,3,.000,3,0,3,.000,0,0,0,
fraziti01,Tim Frazier,2,0,2,.000,2,0,2,.000,0,0,0,
youngni01,Nick Young,2,1,1,.500,2,1,1,.500,0,0,0,
wallaty01,Tyrone Wallace,2,1,1,.500,2,1,1,.500,0,0,0,
watsopa01,Paul Watson,2,0,2,.000,2,0,2,.000,0,0,0,
parsoch01,Chandler Parsons,1,0,1,.000,1,0,1,.000,0,0,0,
