id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
burleto01,Tom Burleson,175,90,85,.514,166,86,80,.518,9,4,5,.444
wattssl01,Slick Watts,175,90,85,.514,166,86,80,.518,9,4,5,.444
brownfr01,Fred Brown,171,89,82,.520,163,85,78,.521,8,4,4,.500
skinnta01,Tal Skinner,133,68,65,.511,124,64,60,.516,9,4,5,.444
derliro01,Rod Derline,95,44,51,.463,89,43,46,.483,6,1,5,.167
sealsbr01,Bruce Seals,90,46,44,.511,90,46,44,.511,0,0,0,
clarkar01,Archie Clark*,79,40,39,.506,70,36,34,.514,9,4,5,.444
foxji01,Jim Fox*,76,37,39,.487,68,33,35,.485,8,4,4,.500
hummejo01,John Hummer,75,35,40,.467,69,33,36,.478,6,2,4,.333
norwowi01,Willie Norwood*,73,38,35,.521,73,38,35,.521,0,0,0,
haywosp01,Spencer Haywood,73,36,37,.493,64,32,32,.500,9,4,5,.444
bantomi01,Mike Bantom*,72,37,35,.514,72,37,35,.514,0,0,0,
kupchmi01,Mitch Kupchak,66,41,25,.621,58,37,21,.638,8,4,4,.500
hayesel01,Elvin Hayes,66,41,25,.621,58,37,21,.638,8,4,4,.500
unselwe01,Wes Unseld,66,41,25,.621,58,37,21,.638,8,4,4,.500
oleynfr01,Frank Oleynick,65,32,33,.492,65,32,33,.492,0,0,0,
gillihe01,Herm Gilliam*,65,33,32,.508,65,33,32,.508,0,0,0,
greveke01,Kevin Grevey,62,38,24,.613,54,34,20,.630,8,4,4,.500
cheniph01,Phil Chenier,62,40,22,.645,54,36,18,.667,8,4,4,.500
wrighla01,Larry Wright,61,36,25,.590,54,33,21,.611,7,3,4,.429
weissbo01,Bob Weiss,57,37,20,.649,53,35,18,.660,4,2,2,.500
jackswa01,Wardell Jackson,50,24,26,.480,50,24,26,.480,0,0,0,
bingda01,Dave Bing,48,29,19,.604,40,25,15,.625,8,4,4,.500
hendeto01,Tom Henderson,48,29,19,.604,40,25,15,.625,8,4,4,.500
tolsode01,Dean Tolson,34,13,21,.382,30,13,17,.433,4,0,4,.000
riordmi01,Mike Riordan,34,19,15,.559,32,18,14,.562,2,1,1,.500
wilkebo01,Bob Wilkerson,25,13,12,.520,25,13,12,.520,0,0,0,
greenmi01,Mike Green*,25,13,12,.520,25,13,12,.520,0,0,0,
johnsde01,Dennis Johnson,25,13,12,.520,25,13,12,.520,0,0,0,
carlsal01,Al Carlson,25,14,11,.560,25,14,11,.560,0,0,0,
pacejo01,Joe Pace,22,13,9,.591,22,13,9,.591,0,0,0,
robintr01,Truck Robinson,18,12,6,.667,18,12,6,.667,0,0,0,
briskjo01,John Brisker*,17,7,10,.412,17,7,10,.412,0,0,0,
abdulza01,Zaid Abdul-Aziz,15,9,6,.600,15,9,6,.600,0,0,0,
shortge01,Gene Short,7,1,6,.143,7,1,6,.143,0,0,0,
mcintke01,Kenny McIntosh,6,3,3,.500,6,3,3,.500,0,0,0,
barnhno01,Norton Barnhill,4,2,2,.500,4,2,2,.500,0,0,0,
