id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
goodrga01,Gail Goodrich,357,220,137,.616,322,201,121,.624,35,19,16,.543
westje01,Jerry West,279,203,76,.728,244,179,65,.734,35,24,11,.686
rileypa01,Pat Riley,275,175,100,.636,246,159,87,.646,29,16,13,.552
smithad01,Adrian Smith,272,145,127,.533,260,141,119,.542,12,4,8,.333
lucasje01,Jerry Lucas,257,137,120,.533,245,133,112,.543,12,4,8,.333
roberos01,Oscar Robertson,255,141,114,.553,243,137,106,.564,12,4,8,.333
chambwi01,Wilt Chamberlain,237,168,69,.709,191,140,51,.733,46,28,18,.609
mcmilji01,Jim McMillian*,215,154,61,.716,185,136,49,.735,30,18,12,.600
erickke01,Keith Erickson,188,125,63,.665,162,110,52,.679,26,15,11,.577
dierkco01,Connie Dierking,179,85,94,.475,171,82,89,.480,8,3,5,.375
robinfl01,Flynn Robinson,155,98,57,.632,144,93,51,.646,11,5,6,.455
smithel01,Elmore Smith,147,72,75,.490,142,71,71,.500,5,1,4,.200
hawkito01,Tom Hawkins*,139,82,57,.590,131,79,52,.603,8,3,5,.375
roberri01,Rick Roberson,135,81,54,.600,118,72,46,.610,17,9,8,.529
embrywa01,Wayne Embry,135,77,58,.570,127,74,53,.583,8,3,5,.375
twymaja01,Jack Twyman,131,76,55,.580,126,75,51,.595,5,1,4,.200
countme01,Mel Counts,131,84,47,.641,112,75,37,.670,19,9,10,.474
mcglojo01,Jon McGlocklin,126,63,63,.500,122,61,61,.500,4,2,2,.500
milesed01,Eddie Miles,123,49,74,.398,117,47,70,.402,6,2,4,.333
bingda01,Dave Bing,120,49,71,.408,114,47,67,.412,6,2,4,.333
dischte01,Terry Dischinger,118,46,72,.390,112,44,68,.393,6,2,4,.333
walkeji01,Jimmy Walker,114,46,68,.404,108,44,64,.407,6,2,4,.333
priceji01,Jim Price,111,68,43,.613,105,66,39,.629,6,2,4,.333
hawkico01,Connie Hawkins,111,56,55,.505,106,55,51,.519,5,1,4,.200
mccarwi01,Willie McCarter,109,60,49,.550,93,51,42,.548,16,9,7,.562
lovebo01,Bob Love,106,47,59,.443,106,47,59,.443,0,0,0,
bridgbi01,Bill Bridges,106,63,43,.594,98,61,37,.622,8,2,6,.250
weslewa01,Walt Wesley,102,47,55,.461,99,47,52,.475,3,0,3,.000
thackto01,Tom Thacker*,100,53,47,.530,93,51,42,.548,7,2,5,.286
chapple01,Len Chappell*,96,38,58,.396,87,36,51,.414,9,2,7,.222
ellisle01,Leroy Ellis,95,79,16,.832,82,69,13,.841,13,10,3,.769
wilsoge01,George Wilson*,93,53,40,.570,90,53,37,.589,3,0,3,.000
washike01,Kermit Washington,92,34,58,.370,89,34,55,.382,3,0,3,.000
mooreot01,Otto Moore,87,36,51,.414,87,36,51,.414,0,0,0,
foxji01,Jim Fox*,80,31,49,.388,74,29,45,.392,6,2,4,.333
olsenbu01,Bud Olsen,77,41,36,.532,74,40,34,.541,3,1,2,.333
lovest01,Stan Love,75,40,35,.533,73,40,33,.548,2,0,2,.000
trappjo01,John Trapp,72,61,11,.847,62,54,8,.871,10,7,3,.700
bellawa01,Walt Bellamy,68,27,41,.397,68,27,41,.397,0,0,0,
komivho01,Howard Komives*,68,27,41,.397,68,27,41,.397,0,0,0,
mclemmc01,McCoy McLemore,65,26,39,.400,65,26,39,.400,0,0,0,
garredi01,Dick Garrett*,64,39,25,.609,48,29,19,.604,16,10,6,.625
eganjo01,Johnny Egan*,64,39,25,.609,50,31,19,.620,14,8,6,.571
hetzefr01,Fred Hetzel*,64,37,27,.578,57,35,22,.614,7,2,5,.286
beatyze01,Zelmo Beaty,62,21,41,.339,62,21,41,.339,0,0,0,
wintebr01,Brian Winters,61,18,43,.295,61,18,43,.295,0,0,0,
debusda01,Dave DeBusschere,60,25,35,.417,54,23,31,.426,6,2,4,.333
bayloel01,Elgin Baylor,58,35,23,.603,42,25,17,.595,16,10,6,.625
allenlu01,Lucius Allen,51,17,34,.333,51,17,34,.333,0,0,0,
arnetja01,Jay Arnette,51,28,23,.549,50,28,22,.560,1,0,1,.000
lantzst01,Stu Lantz*,50,16,34,.320,50,16,34,.320,0,0,0,
calhoco01,Corky Calhoun,49,17,32,.347,49,17,32,.347,0,0,0,
rodgegu01,Guy Rodgers,46,23,23,.500,46,23,23,.500,0,0,0,
cleamji01,Jim Cleamons,43,36,7,.837,37,33,4,.892,6,3,3,.500
doveso01,Sonny Dove,41,15,26,.366,39,15,24,.385,2,0,2,.000
dinwibi01,Bill Dinwiddie,38,16,22,.421,38,16,22,.421,0,0,0,
russeca01,Cazzie Russell,36,11,25,.306,36,11,25,.306,0,0,0,
wareji01,Jim Ware,36,11,25,.306,33,11,22,.333,3,0,3,.000
lewisfr02,Freddie Lewis,35,14,21,.400,32,14,18,.438,3,0,3,.000
hawthna01,Nate Hawthorne,33,13,20,.394,30,13,17,.433,3,0,3,.000
tresvjo01,John Tresvant,32,26,6,.812,23,19,4,.826,9,7,2,.778
grayga01,Gary Gray,30,12,18,.400,30,12,18,.400,0,0,0,
strawjo01,Joe Strawder*,26,13,13,.500,20,11,9,.550,6,2,4,.333
lynnmi01,Mike Lynn,25,17,8,.680,22,14,8,.636,3,3,0,1.000
gambeda01,Dave Gambee*,25,9,16,.360,25,9,16,.360,0,0,0,
niemari01,Rich Niemann*,16,4,12,.250,16,4,12,.250,0,0,0,
longpa01,Paul Long*,15,5,10,.333,14,5,9,.357,1,0,1,.000
granttr01,Travis Grant*,15,13,2,.867,14,12,2,.857,1,1,0,1.000
bockhbu01,Bucky Bockhorn,15,8,7,.533,15,8,7,.533,0,0,0,
pattege01,George Patterson,14,8,6,.571,13,8,5,.615,1,0,1,.000
heymaar01,Art Heyman,11,9,2,.818,11,9,2,.818,0,0,0,
mueller01,Erwin Mueller,8,2,6,.250,8,2,6,.250,0,0,0,
killuea01,Earnie Killum,6,3,3,.500,4,2,2,.500,2,1,1,.500
reynoge01,George Reynolds,6,1,5,.167,6,1,5,.167,0,0,0,
willicl01,Cliff Williams,3,1,2,.333,3,1,2,.333,0,0,0,
jacksal01,Al Jackson,2,1,1,.500,2,1,1,.500,0,0,0,
brownro02,Roger Brown*,1,1,0,1.000,1,1,0,1.000,0,0,0,
workmto01,Tom Workman*,1,1,0,1.000,1,1,0,1.000,0,0,0,
turnebi01,Bill Turner,1,1,0,1.000,0,0,0,,1,1,0,1.000
