id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
cousybo01,Bob Cousy,267,155,112,.581,250,149,101,.596,17,6,11,.353
donhabo01,Bob Donham,263,152,111,.578,246,146,100,.593,17,6,11,.353
macaued01,Ed Macauley*,262,153,109,.584,246,147,99,.598,16,6,10,.375
coopech01,Chuck Cooper,261,150,111,.575,244,144,100,.590,17,6,11,.353
brannbo01,Bob Brannum,221,130,91,.588,206,124,82,.602,15,6,9,.400
sharmbi01,Bill Sharman,217,130,87,.599,204,124,80,.608,13,6,7,.462
mahnkjo01,John Mahnken*,158,97,61,.614,150,93,57,.620,8,4,4,.500
mckinbo01,Bones McKinney,102,57,45,.559,97,56,41,.577,5,1,4,.200
schaufr01,Fred Schaus*,79,46,33,.582,74,43,31,.581,5,3,2,.600
kerrija01,Jack Kerris*,76,44,32,.579,71,41,30,.577,5,3,2,.600
armstcu01,Curly Armstrong*,73,42,31,.575,69,40,29,.580,4,2,2,.500
carpebo01,Bob Carpenter*,72,41,31,.569,67,38,29,.567,5,3,2,.600
oldhajo01,John Oldham,69,42,27,.609,64,39,25,.609,5,3,2,.600
barksdo01,Don Barksdale,68,40,28,.588,62,38,24,.613,6,2,4,.333
nichoja01,Jack Nichols*,65,38,27,.585,59,36,23,.610,6,2,4,.333
barreer01,Ernie Barrett,64,33,31,.516,58,31,27,.534,6,2,4,.333
klierle01,Leo Klier,62,35,27,.565,60,35,25,.583,2,0,2,.000
wagercl01,Clint Wager*,60,35,25,.583,55,32,23,.582,5,3,2,.600
johnsra01,Ralph Johnson*,49,27,22,.551,44,24,20,.545,5,3,2,.600
dickedi01,Dick Dickey*,47,29,18,.617,44,28,16,.636,3,1,2,.333
rollike01,Kenny Rollins*,46,26,20,.565,40,23,17,.575,6,3,3,.500
hertzso01,Sonny Hertzberg*,40,23,17,.575,38,23,15,.605,2,0,2,.000
henrybi01,Bill Henry,39,21,18,.538,39,21,18,.538,0,0,0,
schulho01,Howie Schultz*,37,20,17,.541,32,17,15,.531,5,3,2,.600
conlege01,Gene Conley*,37,23,14,.622,37,23,14,.622,0,0,0,
leedeed01,Ed Leede*,33,15,18,.455,31,15,16,.484,2,0,2,.000
kluehdu01,Duane Klueh,32,18,14,.562,29,17,12,.586,3,1,2,.333
blackch01,Charlie Black,30,19,11,.633,30,19,11,.633,0,0,0,
hermskl01,Kleggie Hermsen*,29,14,15,.483,27,14,13,.519,2,0,2,.000
kudelfr01,Frank Kudelka*,28,13,15,.464,27,13,14,.481,1,0,1,.000
niemiri01,Richie Niemiera*,23,15,8,.652,23,15,8,.652,0,0,0,
foustla01,Larry Foust*,12,7,5,.583,12,7,5,.583,0,0,0,
nagelje01,Jerry Nagel,12,7,5,.583,11,6,5,.545,1,1,0,1.000
mahonmo01,Mo Mahoney,10,6,4,.600,6,4,2,.667,4,2,2,.500
boykoha01,Harry Boykoff,9,4,5,.444,9,4,5,.444,0,0,0,
mikaned01,Ed Mikan*,9,3,6,.333,9,3,6,.333,0,0,0,
hargijo01,John Hargis,7,5,2,.714,7,5,2,.714,0,0,0,
stanced01,Ed Stanczak,6,2,4,.333,6,2,4,.333,0,0,0,
riffeji01,Jim Riffey*,5,0,5,.000,5,0,5,.000,0,0,0,
burriar01,Art Burris*,4,2,2,.500,4,2,2,.500,0,0,0,
ottendo01,Don Otten,2,1,1,.500,2,1,1,.500,0,0,0,
