id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bolbo01,Bol Bol,33,11,22,.333,33,11,22,.333,0,0,0,
wagnefr01,Franz Wagner,33,12,21,.364,33,12,21,.364,0,0,0,
banchpa01,Paolo Banchero,27,12,15,.444,27,12,15,.444,0,0,0,
rosste01,Terrence Ross,24,8,16,.333,24,8,16,.333,0,0,0,
houstca01,Caleb Houstan,22,5,17,.227,22,5,17,.227,0,0,0,
bambamo01,Mo Bamba,21,10,11,.476,21,10,11,.476,0,0,0,
schofad01,Admiral Schofield,21,8,13,.381,21,8,13,.381,0,0,0,
anthoco01,Cole Anthony,20,10,10,.500,20,10,10,.500,0,0,0,
fultzma01,Markelle Fultz,19,10,9,.526,19,10,9,.526,0,0,0,
okekech01,Chuma Okeke,16,2,14,.125,16,2,14,.125,0,0,0,
wagnemo01,Moritz Wagner,16,9,7,.562,16,9,7,.562,0,0,0,
cartewe01,Wendell Carter Jr.,15,4,11,.267,15,4,11,.267,0,0,0,
suggsja01,Jalen Suggs,14,2,12,.143,14,2,12,.143,0,0,0,
hamptrj01,R.J. Hampton,14,2,12,.143,14,2,12,.143,0,0,0,
harriga01,Gary Harris,8,3,5,.375,8,3,5,.375,0,0,0,
bitadgo01,Goga Bitadze*,5,1,4,.200,5,1,4,.200,0,0,0,
cartemi01,Michael Carter-Williams,3,0,3,.000,3,0,3,.000,0,0,0,
isaacjo01,Jonathan Isaac,1,1,0,1.000,1,1,0,1.000,0,0,0,
scrubja01,Jay Scrubb,1,0,1,.000,1,0,1,.000,0,0,0,
