id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
magloja01,Jamaal Magloire,29,23,6,.793,27,21,6,.778,2,2,0,1.000
brownpj01,P.J. Brown,29,23,6,.793,27,21,6,.778,2,2,0,1.000
traylro01,Robert Traylor,28,22,6,.786,26,20,6,.769,2,2,0,1.000
augmost01,Stacey Augmon,28,22,6,.786,26,20,6,.769,2,2,0,1.000
wesleda01,David Wesley,27,21,6,.778,25,19,6,.760,2,2,0,1.000
campbel01,Elden Campbell,24,18,6,.750,22,16,6,.727,2,2,0,1.000
davisba01,Baron Davis,23,17,6,.739,21,15,6,.714,2,2,0,1.000
lynchge01,George Lynch,21,18,3,.857,19,16,3,.842,2,2,0,1.000
drewbr01,Bryce Drew,18,13,5,.722,16,11,5,.688,2,2,0,1.000
moisoje01,Jérôme Moïso,17,13,4,.765,17,13,4,.765,0,0,0,
mashbja01,Jamal Mashburn,17,14,3,.824,17,14,3,.824,0,0,0,
nailole01,Lee Nailon,16,13,3,.812,14,11,3,.786,2,2,0,1.000
alexaco02,Courtney Alexander,9,7,2,.778,9,7,2,.778,0,0,0,
bullama01,Matt Bullard,6,3,3,.500,6,3,3,.500,0,0,0,
packro01,Robert Pack,4,4,0,1.000,4,4,0,1.000,0,0,0,
anderke01,Kenny Anderson,2,2,0,1.000,2,2,0,1.000,0,0,0,
