id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bayloel01,Elgin Baylor,457,249,208,.545,392,213,179,.543,65,36,29,.554
westje01,Jerry West,371,218,153,.588,316,186,130,.589,55,32,23,.582
embrywa01,Wayne Embry,332,190,142,.572,301,177,124,.588,31,13,18,.419
roberos01,Oscar Robertson,331,193,138,.583,300,180,120,.600,31,13,18,.419
smithad01,Adrian Smith,323,182,141,.563,295,171,124,.580,28,11,17,.393
twymaja01,Jack Twyman,322,183,139,.568,294,172,122,.585,28,11,17,.393
larusru01,Rudy LaRusso,297,145,152,.488,264,128,136,.485,33,17,16,.515
hundlho01,Hot Rod Hundley*,256,126,130,.492,223,109,114,.489,33,17,16,.515
krebsji01,Jim Krebs*,252,123,129,.488,221,107,114,.484,31,16,15,.516
lucasje01,Jerry Lucas,235,141,94,.600,216,134,82,.620,19,7,12,.368
selvyfr01,Frank Selvy*,230,120,110,.522,197,103,94,.523,33,17,16,.515
felixra01,Ray Felix*,218,116,102,.532,186,99,87,.532,32,17,15,.531
countme01,Mel Counts,209,131,78,.627,177,112,65,.633,32,19,13,.594
olsenbu01,Bud Olsen,186,112,74,.602,175,108,67,.617,11,4,7,.364
bockhbu01,Bucky Bockhorn,183,102,81,.557,161,92,69,.571,22,10,12,.455
imhofda01,Darrall Imhoff,172,96,76,.558,154,86,68,.558,18,10,8,.556
clarkar01,Archie Clark*,167,93,74,.557,149,83,66,.557,18,10,8,.556
thackto01,Tom Thacker*,164,87,77,.530,150,84,66,.560,14,3,11,.214
goodrga01,Gail Goodrich,160,89,71,.556,147,83,64,.565,13,6,7,.462
hairsha01,Happy Hairston,139,82,57,.590,131,79,52,.603,8,3,5,.375
leonasl01,Slick Leonard*,137,50,87,.365,122,44,78,.361,15,6,9,.400
crawffr01,Freddie Crawford,131,91,40,.695,111,77,34,.694,20,14,6,.700
jolifho01,Howie Jolliff*,121,67,54,.554,108,61,47,.565,13,6,7,.462
arnetja01,Jay Arnette,119,74,45,.622,110,71,39,.645,9,3,6,.333
barneji01,Jim Barnes*,116,54,62,.466,113,54,59,.478,3,0,3,.000
boozebo01,Bob Boozer*,115,61,54,.530,103,55,48,.534,12,6,6,.500
reedhu01,Hub Reed*,91,47,44,.516,79,41,38,.519,12,6,6,.500
eganjo01,Johnny Egan*,88,57,31,.648,74,48,26,.649,14,9,5,.643
chambwi01,Wilt Chamberlain,87,56,31,.644,73,47,26,.644,14,9,5,.643
wilsoge01,George Wilson*,87,49,38,.563,84,49,35,.583,3,0,3,.000
erickke01,Keith Erickson,83,54,29,.651,69,45,24,.652,14,9,5,.643
hewitbi01,Bill Hewitt,78,51,27,.654,67,43,24,.642,11,8,3,.727
abdulma01,Walt Hazzard*,77,34,43,.442,74,34,40,.459,3,0,3,.000
mcglojo01,Jon McGlocklin,76,41,35,.539,72,39,33,.542,4,2,2,.500
chambje01,Jerry Chambers,66,30,36,.455,63,30,33,.476,3,0,3,.000
dierkco01,Connie Dierking,60,30,30,.500,56,28,28,.500,4,2,2,.500
piontda01,Dave Piontek*,57,26,31,.456,48,22,26,.458,9,4,5,.444
mueller01,Erwin Mueller,53,39,14,.736,39,30,9,.769,14,9,5,.643
andercl01,Cliff Anderson,49,30,19,.612,46,27,19,.587,3,3,0,1.000
ellisbo01,Boo Ellis,46,15,31,.326,44,14,30,.318,2,1,1,.500
foustla01,Larry Foust*,43,13,30,.302,43,13,30,.302,0,0,0,
yateswa01,Wayne Yates*,42,23,19,.548,37,21,16,.568,5,2,3,.400
hamilde01,Dennis Hamilton,42,31,11,.738,40,29,11,.725,2,2,0,1.000
stavela01,Larry Staverman,41,28,13,.683,34,25,9,.735,7,3,4,.429
garmadi01,Dick Garmaker*,40,12,28,.300,40,12,28,.300,0,0,0,
wetzejo01,John Wetzel,36,26,10,.722,36,26,10,.722,0,0,0,
mcneibo01,Bob McNeill,34,18,16,.529,29,16,13,.552,5,2,3,.400
tiemada01,Dan Tieman*,30,14,16,.467,30,14,16,.467,0,0,0,
cartyja01,Jay Carty,28,21,7,.750,26,19,7,.731,2,2,0,1.000
finkeha01,Hank Finkel*,27,13,14,.481,27,13,14,.481,0,0,0,
blockjo01,John Block,23,12,11,.522,23,12,11,.522,0,0,0,
flemied01,Ed Fleming,23,7,16,.304,23,7,16,.304,0,0,0,
alcorga01,Gary Alcorn*,21,10,11,.476,21,10,11,.476,0,0,0,
simsbo01,Bob Sims,18,12,6,.667,18,12,6,.667,0,0,0,
smithbo01,Bobby Smith,13,7,6,.538,13,7,6,.538,0,0,0,
hamilst01,Steve Hamilton,12,5,7,.417,12,5,7,.417,0,0,0,
sharech01,Chuck Share*,11,6,5,.545,3,2,1,.667,8,4,4,.500
heymaar01,Art Heyman,11,9,2,.818,11,9,2,.818,0,0,0,
mantini01,Nick Mantis,10,3,7,.300,10,3,7,.300,0,0,0,
johnsro01,Ron Johnson,8,3,5,.375,8,3,5,.375,0,0,0,
buckhjo01,Joe Buckhalter*,2,1,1,.500,2,1,1,.500,0,0,0,
sobiero01,Ron Sobie,1,0,1,.000,1,0,1,.000,0,0,0,
