id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
alstora01,Rafer Alston,232,130,102,.560,222,126,96,.568,10,4,6,.400
hayesch01,Chuck Hayes,218,127,91,.583,206,123,83,.597,12,4,8,.333
mcgratr01,Tracy McGrady,196,123,73,.628,184,119,65,.647,12,4,8,.333
mutomdi01,Dikembe Mutombo,184,101,83,.549,172,97,75,.564,12,4,8,.333
battish01,Shane Battier,177,110,67,.621,165,106,59,.642,12,4,8,.333
mingya01,Yao Ming,176,99,77,.562,169,96,73,.568,7,3,4,.429
howarju01,Juwan Howard,163,86,77,.528,156,83,73,.532,7,3,4,.429
scolalu01,Luis Scola,100,60,40,.600,95,59,36,.621,5,1,4,.200
landrca01,Carl Landry,92,46,46,.500,87,45,42,.517,5,1,4,.200
brookaa01,Aaron Brooks,71,43,28,.606,66,42,24,.636,5,1,4,.200
novakst01,Steve Novak,70,45,25,.643,67,44,23,.657,3,1,2,.333
wellsbo01,Bonzi Wells,70,35,35,.500,70,35,35,.500,0,0,0,
wesleda01,David Wesley,69,29,40,.420,69,29,40,.420,0,0,0,
bowenry01,Ryan Bowen,66,26,40,.394,66,26,40,.394,0,0,0,
swiftst01,Stromile Swift,64,24,40,.375,64,24,40,.375,0,0,0,
lucasjo02,John Lucas III,60,31,29,.517,58,31,27,.534,2,0,2,.000
snydeki01,Kirk Snyder,49,27,22,.551,46,25,21,.543,3,2,1,.667
hibbero01,Roy Hibbert,47,19,28,.404,47,19,28,.404,0,0,0,
rushbr01,Brandon Rush,47,19,28,.404,47,19,28,.404,0,0,0,
jonesda02,Dahntay Jones,46,18,28,.391,46,18,28,.391,0,0,0,
watsoea01,Earl Watson,46,19,27,.413,46,19,27,.413,0,0,0,
murphtr01,Troy Murphy,38,13,25,.342,38,13,25,.342,0,0,0,
couside01,DeMarcus Cousins,36,8,28,.222,36,8,28,.222,0,0,0,
dunlemi02,Mike Dunleavy,35,14,21,.400,35,14,21,.400,0,0,0,
thompja02,Jason Thompson,35,8,27,.229,35,8,27,.229,0,0,0,
casspom01,Omri Casspi,34,7,27,.206,34,7,27,.206,0,0,0,
dalemsa01,Samuel Dalembert,34,6,28,.176,34,6,28,.176,0,0,0,
jonesso01,Solomon Jones,34,12,22,.353,34,12,22,.353,0,0,0,
boganke01,Keith Bogans,33,15,18,.455,33,15,18,.455,0,0,0,
udrihbe01,Beno Udrih,33,8,25,.242,33,8,25,.242,0,0,0,
spanova01,Vassilis Spanoulis,32,21,11,.656,31,21,10,.677,1,0,1,.000
grangda01,Danny Granger,32,14,18,.438,32,14,18,.438,0,0,0,
fordtj01,T.J. Ford,31,9,22,.290,31,9,22,.290,0,0,0,
jacksbo01,Bobby Jackson,31,21,10,.677,26,20,6,.769,5,1,4,.200
norrimo01,Moochie Norris,29,9,20,.310,29,9,20,.310,0,0,0,
greendo01,Donté Greene,28,6,22,.214,28,6,22,.214,0,0,0,
priceaj01,A.J. Price,27,11,16,.407,27,11,16,.407,0,0,0,
jamesmi01,Mike James,27,11,16,.407,27,11,16,.407,0,0,0,
jacksda01,Darnell Jackson,25,8,17,.320,25,8,17,.320,0,0,0,
garcifr01,Francisco García,24,6,18,.250,24,6,18,.250,0,0,0,
jetereu01,Eugene Jeter,24,4,20,.167,24,4,20,.167,0,0,0,
padgesc01,Scott Padgett,24,16,8,.667,24,16,8,.667,0,0,0,
brunsri01,Rick Brunson,23,8,15,.348,23,8,15,.348,0,0,0,
baxtelo01,Lonny Baxter,23,7,16,.304,23,7,16,.304,0,0,0,
evansty01,Tyreke Evans,23,5,18,.217,23,5,18,.217,0,0,0,
mcrobjo01,Josh McRoberts,21,10,11,.476,21,10,11,.476,0,0,0,
harrimi01,Mike Harris,20,12,8,.600,17,11,6,.647,3,1,2,.333
hansbty01,Tyler Hansbrough,18,8,10,.444,18,8,10,.444,0,0,0,
anderde01,Derek Anderson,18,6,12,.333,18,6,12,.333,0,0,0,
barryjo01,Jon Barry,18,5,13,.278,18,5,13,.278,0,0,0,
artesro01,Metta World Peace,15,10,5,.667,15,10,5,.667,0,0,0,
tsakaja01,Jake Tsakalidis,14,8,6,.571,13,8,5,.615,1,0,1,.000
wafervo01,Von Wafer,13,7,6,.538,13,7,6,.538,0,0,0,
beaslmi01,Michael Beasley,10,4,6,.400,10,4,6,.400,0,0,0,
magloja01,Jamaal Magloire,10,4,6,.400,10,4,6,.400,0,0,0,
hasleud01,Udonis Haslem,10,4,6,.400,10,4,6,.400,0,0,0,
chalmma01,Mario Chalmers,10,4,6,.400,10,4,6,.400,0,0,0,
tayloje02,Jermaine Taylor,10,1,9,.100,10,1,9,.100,0,0,0,
moonja01,Jamario Moon,10,4,6,.400,10,4,6,.400,0,0,0,
onealje01,Jermaine O'Neal,9,3,6,.333,9,3,6,.333,0,0,0,
barrybr01,Brent Barry,9,4,5,.444,9,4,5,.444,0,0,0,
jonesja02,James Jones,9,4,5,.444,9,4,5,.444,0,0,0,
wadedw01,Dwyane Wade,9,4,5,.444,9,4,5,.444,0,0,0,
frahmri01,Richie Frahm,8,3,5,.375,8,3,5,.375,0,0,0,
woodslo01,Loren Woods,8,4,4,.500,7,4,3,.571,1,0,1,.000
cookda02,Daequan Cook,8,3,5,.375,8,3,5,.375,0,0,0,
fosteje01,Jeff Foster,8,2,6,.250,8,2,6,.250,0,0,0,
francst01,Steve Francis,7,2,5,.286,7,2,5,.286,0,0,0,
wrighan01,Antoine Wright,7,2,5,.286,7,2,5,.286,0,0,0,
grahast01,Stephen Graham,6,2,4,.333,6,2,4,.333,0,0,0,
thornma01,Marcus Thornton,5,1,4,.200,5,1,4,.200,0,0,0,
quinnch01,Chris Quinn,5,2,3,.400,5,2,3,.400,0,0,0,
diawaya01,Yakhouba Diawara,5,1,4,.200,5,1,4,.200,0,0,0,
lampema01,Maciej Lampe,4,1,3,.250,4,1,3,.250,0,0,0,
jonesbo02,Bobby Jones,4,4,0,1.000,4,4,0,1.000,0,0,0,
dorsejo01,Joey Dorsey,3,2,1,.667,3,2,1,.667,0,0,0,
williju01,Justin Williams,1,1,0,1.000,1,1,0,1.000,0,0,0,
whiteha01,Hassan Whiteside*,1,1,0,1.000,1,1,0,1.000,0,0,0,
dienetr01,Travis Diener,1,0,1,.000,1,0,1,.000,0,0,0,
anthojo01,Joel Anthony,1,1,0,1.000,1,1,0,1.000,0,0,0,
greenge01,Gerald Green,1,1,0,1.000,1,1,0,1.000,0,0,0,
davisjo02,Josh Davis,1,0,1,.000,1,0,1,.000,0,0,0,
