id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hubbaph01,Phil Hubbard,94,21,73,.223,94,21,73,.223,0,0,0,
mokespa01,Paul Mokeski,93,21,72,.226,93,21,72,.226,0,0,0,
leero01,Ron Lee,80,20,60,.250,80,20,60,.250,0,0,0,
tylerte01,Terry Tyler,80,20,60,.250,80,20,60,.250,0,0,0,
robinwa01,Wayne Robinson,79,19,60,.241,79,19,60,.241,0,0,0,
drewla01,Larry Drew,74,20,54,.270,74,20,54,.270,0,0,0,
bensoke01,Kent Benson,57,15,42,.263,57,15,42,.263,0,0,0,
longjo01,John Long,57,13,44,.228,57,13,44,.228,0,0,0,
wrighla01,Larry Wright,44,14,30,.318,44,14,30,.318,0,0,0,
edwarja01,James Edwards,29,5,24,.172,29,5,24,.172,0,0,0,
hustoge01,Geoff Huston,28,5,23,.179,28,5,23,.179,0,0,0,
wedmasc01,Scott Wedman,25,5,20,.200,25,5,20,.200,0,0,0,
kelsegr01,Greg Kelser,25,6,19,.240,25,6,19,.240,0,0,0,
brewero01,Ron Brewer,24,4,20,.167,24,4,20,.167,0,0,0,
wilkebo01,Bob Wilkerson,22,4,18,.182,22,4,18,.182,0,0,0,
silasja01,James Silas*,21,2,19,.095,21,2,19,.095,0,0,0,
restake01,Kevin Restani,17,3,14,.176,17,3,14,.176,0,0,0,
robincl01,Cliff Robinson,16,1,15,.062,16,1,15,.062,0,0,0,
fulleto01,Tony Fuller,15,2,13,.133,15,2,13,.133,0,0,0,
laimbbi01,Bill Laimbeer,14,4,10,.286,14,4,10,.286,0,0,0,
drewjo01,John Drew,14,7,7,.500,14,7,7,.500,0,0,0,
johnsre01,Reggie Johnson,14,4,10,.286,14,4,10,.286,0,0,0,
rollitr01,Tree Rollins,14,7,7,.500,14,7,7,.500,0,0,0,
mcmilto01,Tom McMillen,14,7,7,.500,14,7,7,.500,0,0,0,
roundda01,Dan Roundfield,14,7,7,.500,14,7,7,.500,0,0,0,
hillar01,Armond Hill,14,7,7,.500,14,7,7,.500,0,0,0,
johnsed02,Eddie Johnson,13,7,6,.538,13,7,6,.538,0,0,0,
hawesst01,Steve Hawes,13,7,6,.538,13,7,6,.538,0,0,0,
leebu01,Butch Lee,12,7,5,.583,12,7,5,.583,0,0,0,
wilsori01,Rick Wilson,11,6,5,.545,11,6,5,.545,0,0,0,
dillami01,Mickey Dillard,11,3,8,.273,11,3,8,.273,0,0,0,
carrke01,Kenny Carr,10,2,8,.200,10,2,8,.200,0,0,0,
givenja01,Jack Givens,9,5,4,.556,9,5,4,.556,0,0,0,
crissch01,Charlie Criss,7,3,4,.429,7,3,4,.429,0,0,0,
mcadobo01,Bob McAdoo,6,1,5,.167,6,1,5,.167,0,0,0,
evansmi01,Mike Evans,5,1,4,.200,5,1,4,.200,0,0,0,
forddo01,Don Ford,4,0,4,.000,4,0,4,.000,0,0,0,
bransbr01,Brad Branson,4,0,4,.000,4,0,4,.000,0,0,0,
blackno01,Norman Black,3,0,3,.000,3,0,3,.000,0,0,0,
lawreed01,Edmund Lawrence,3,0,3,.000,3,0,3,.000,0,0,0,
johnsle01,Lee Johnson,2,0,2,.000,2,0,2,.000,0,0,0,
