id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bogdabo02,Bojan Bogdanović,30,24,6,.800,30,24,6,.800,0,0,0,
onealro01,Royce O'Neale,28,22,6,.786,28,22,6,.786,0,0,0,
clarkjo01,Jordan Clarkson,28,21,7,.750,28,21,7,.750,0,0,0,
goberru01,Rudy Gobert*,27,22,5,.815,27,22,5,.815,0,0,0,
forretr01,Trent Forrest,26,19,7,.731,26,19,7,.731,0,0,0,
onimi01,Miye Oni,25,20,5,.800,25,20,5,.800,0,0,0,
inglejo01,Joe Ingles,24,18,6,.750,24,18,6,.750,0,0,0,
ellebcj01,CJ Elleby,22,5,17,.227,22,5,17,.227,0,0,0,
conlemi01,Mike Conley*,22,19,3,.864,22,19,3,.864,0,0,0,
mclembe01,Ben McLemore,21,5,16,.238,21,5,16,.238,0,0,0,
browngr01,Greg Brown III,21,5,16,.238,21,5,16,.238,0,0,0,
johnske07,Keon Johnson,19,2,17,.105,19,2,17,.105,0,0,0,
favorde01,Derrick Favors,18,14,4,.778,18,14,4,.778,0,0,0,
eubandr01,Drew Eubanks*,18,2,16,.111,18,2,16,.111,0,0,0,
niangge01,Georges Niang,18,14,4,.778,18,14,4,.778,0,0,0,
mitchdo01,Donovan Mitchell,18,15,3,.833,18,15,3,.833,0,0,0,
willibr03,Brandon Williams,18,2,16,.111,18,2,16,.111,0,0,0,
watfotr01,Trendon Watford,16,5,11,.312,16,5,11,.312,0,0,0,
blevike01,Keljin Blevins,16,0,16,.000,16,0,16,.000,0,0,0,
butleja02,Jared Butler,13,9,4,.692,13,9,4,.692,0,0,0,
azubuud01,Udoka Azubuike,13,7,6,.538,13,7,6,.538,0,0,0,
brantja01,Jarrell Brantley,13,10,3,.769,13,10,3,.769,0,0,0,
whiteha01,Hassan Whiteside*,13,9,4,.692,13,9,4,.692,0,0,0,
hartjo01,Josh Hart,12,4,8,.333,12,4,8,.333,0,0,0,
pascher01,Eric Paschall,12,8,4,.667,12,8,4,.667,0,0,0,
dunnkr01,Kris Dunn,11,1,10,.091,11,1,10,.091,0,0,0,
morgaju01,Juwan Morgan,11,9,2,.818,11,9,2,.818,0,0,0,
thomama02,Matt Thomas,10,8,2,.800,10,8,2,.800,0,0,0,
gayru01,Rudy Gay*,9,7,2,.778,9,7,2,.778,0,0,0,
ilyaser01,Ersan İlyasova,8,7,1,.875,8,7,1,.875,0,0,0,
winslju01,Justise Winslow,7,4,3,.571,7,4,3,.571,0,0,0,
simonan01,Anfernee Simons,6,3,3,.500,6,3,3,.500,0,0,0,
fittsma01,Malik Fitts,6,5,1,.833,6,5,1,.833,0,0,0,
harrish01,Shaquille Harrison,6,5,1,.833,6,5,1,.833,0,0,0,
perryre01,Reggie Perry,5,0,5,.000,5,0,5,.000,0,0,0,
louzama01,Didi Louzada,5,0,5,.000,5,0,5,.000,0,0,0,
nurkiju01,Jusuf Nurkić*,3,3,0,1.000,3,3,0,1.000,0,0,0,
houseda01,Danuel House Jr.,2,0,2,.000,2,0,2,.000,0,0,0,
pelleno01,Norvel Pelle,1,0,1,.000,1,0,1,.000,0,0,0,
