id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
wisewi01,Willie Wise,124,55,69,.444,123,54,69,.439,1,1,0,1.000
twardda01,Dave Twardzik,117,21,96,.179,117,21,96,.179,0,0,0,
combsgl01,Glen Combs,102,48,54,.471,101,47,54,.465,1,1,0,1.000
vaughda01,David Vaughn,91,15,76,.165,91,15,76,.165,0,0,0,
powelci01,Cincy Powell,88,36,52,.409,87,35,52,.402,1,1,0,1.000
govange01,Gerald Govan*,88,49,39,.557,87,48,39,.552,1,1,0,1.000
parkhba01,Barry Parkhill*,76,14,62,.184,76,14,62,.184,0,0,0,
taylofa01,Fatty Taylor,73,14,59,.192,73,14,59,.192,0,0,0,
elstoda01,Darrell Elston,72,14,58,.194,72,14,58,.194,0,0,0,
benneme01,Mel Bennett,72,12,60,.167,72,12,60,.167,0,0,0,
burdeti01,Ticky Burden,71,14,57,.197,71,14,57,.197,0,0,0,
boonero01,Ron Boone*,64,45,19,.703,63,44,19,.698,1,1,0,1.000
jonesji01,Jimmy Jones,62,43,19,.694,61,42,19,.689,1,1,0,1.000
irvinge01,George Irvine*,58,10,48,.172,58,10,48,.172,0,0,0,
beatyze01,Zelmo Beaty,57,40,17,.702,56,39,17,.696,1,1,0,1.000
robinro01,Ronnie Robinson*,57,21,36,.368,57,21,36,.368,0,0,0,
battsll01,Lloyd Batts,56,8,48,.143,56,8,48,.143,0,0,0,
robbire01,Red Robbins*,51,10,41,.196,51,10,41,.196,0,0,0,
greenmi01,Mike Green*,51,11,40,.216,51,11,40,.216,0,0,0,
greenla01,Lamar Green,49,5,44,.102,49,5,44,.102,0,0,0,
billili01,Lionel Billingy,44,9,35,.205,44,9,35,.205,0,0,0,
beasljo01,John Beasley*,43,33,10,.767,42,32,10,.762,1,1,0,1.000
calvima01,Mack Calvin,42,9,33,.214,42,9,33,.214,0,0,0,
joneswi02,Wil Jones,39,9,30,.231,39,9,30,.231,0,0,0,
neumajo01,Johnny Neumann*,39,5,34,.128,39,5,34,.128,0,0,0,
davisle01,Lee Davis*,39,9,30,.231,39,9,30,.231,0,0,0,
edgech01,Charles Edge*,38,9,29,.237,38,9,29,.237,0,0,0,
dentora01,Randy Denton,37,9,28,.243,37,9,28,.243,0,0,0,
vanbrja01,Jan van Breda Kolff,37,6,31,.162,37,6,31,.162,0,0,0,
warrebo01,Bob Warren,37,26,11,.703,36,25,11,.694,1,1,0,1.000
robinwi01,Wil Robinson*,35,8,27,.229,35,8,27,.229,0,0,0,
thompge01,George Thompson*,35,8,27,.229,35,8,27,.229,0,0,0,
natersw01,Swen Nater*,31,8,23,.258,31,8,23,.258,0,0,0,
finchla01,Larry Finch,30,7,23,.233,30,7,23,.233,0,0,0,
roberma01,Marv Roberts*,29,8,21,.276,29,8,21,.276,0,0,0,
schaebi01,Billy Schaeffer,29,6,23,.207,29,6,23,.207,0,0,0,
sealsbr01,Bruce Seals,27,18,9,.667,27,18,9,.667,0,0,0,
eakinji01,Jim Eakins*,23,3,20,.130,23,3,20,.130,0,0,0,
perryau01,Aulcie Perry,21,5,16,.238,21,5,16,.238,0,0,0,
mcdonro01,Rod McDonald*,19,16,3,.842,18,15,3,.833,1,1,0,1.000
ebronro01,Roy Ebron*,17,11,6,.647,17,11,6,.647,0,0,0,
higgibi01,Bill Higgins,15,3,12,.200,15,3,12,.200,0,0,0,
wrighjo01,Joby Wright,13,2,11,.154,13,2,11,.154,0,0,0,
jonesla01,Larry Jones*,12,7,5,.583,12,7,5,.583,0,0,0,
darneri01,Rick Darnell,11,1,10,.091,11,1,10,.091,0,0,0,
willich01,Charlie Williams*,8,6,2,.750,7,5,2,.714,1,1,0,1.000
hargeir01,Ira Harge,6,5,1,.833,6,5,1,.833,0,0,0,
baumjo01,Johnny Baum,4,0,4,.000,4,0,4,.000,0,0,0,
