id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
maughar01,Ariel Maughan,65,20,45,.308,65,20,45,.308,0,0,0,
miasest01,Stan Miasek*,60,20,40,.333,60,20,40,.333,0,0,0,
lewisgr01,Grady Lewis*,60,20,40,.333,60,20,40,.333,0,0,0,
dillebo01,Bob Dille*,55,19,36,.345,55,19,36,.345,0,0,0,
kingto01,Tom King*,54,17,37,.315,54,17,37,.315,0,0,0,
brownha01,Harold Brown*,52,15,37,.288,52,15,37,.288,0,0,0,
schoomi01,Milt Schoon*,37,13,24,.351,37,13,24,.351,0,0,0,
pearcge01,George Pearcy*,32,10,22,.312,32,10,22,.312,0,0,0,
aubucch01,Chet Aubuchon*,29,9,20,.310,29,9,20,.310,0,0,0,
pearche01,Henry Pearcy*,28,8,20,.286,28,8,20,.286,0,0,0,
stolkar01,Art Stolkey,23,8,15,.348,23,8,15,.348,0,0,0,
johnsha01,Harold Johnson*,22,8,14,.364,22,8,14,.364,0,0,0,
beckemo01,Moe Becker*,19,6,13,.316,19,6,13,.316,0,0,0,
mccarho01,Howie McCarty*,16,7,9,.438,16,7,9,.438,0,0,0,
mearnge01,George Mearns*,7,1,6,.143,7,1,6,.143,0,0,0,
calveer01,Ernie Calverley,7,1,6,.143,7,1,6,.143,0,0,0,
nostrge01,George Nostrand,7,1,6,.143,7,1,6,.143,0,0,0,
goodwpo01,Pop Goodwin*,7,1,6,.143,7,1,6,.143,0,0,0,
shannea01,Earl Shannon*,7,1,6,.143,7,1,6,.143,0,0,0,
beendha01,Hank Beenders,7,1,6,.143,7,1,6,.143,0,0,0,
martidi01,Dino Martin*,6,1,5,.167,6,1,5,.167,0,0,0,
sailoke01,Kenny Sailors,4,0,4,.000,4,0,4,.000,0,0,0,
stumpge01,Gene Stump*,3,0,3,.000,3,0,3,.000,0,0,0,
spectar01,Art Spector*,3,0,3,.000,3,0,3,.000,0,0,0,
connoch01,Chuck Connors,3,0,3,.000,3,0,3,.000,0,0,0,
riebeme01,Mel Riebe,3,0,3,.000,3,0,3,.000,0,0,0,
ehlerbu01,Bulbs Ehlers,3,0,3,.000,3,0,3,.000,0,0,0,
hankice01,Cecil Hankins,3,0,3,.000,3,0,3,.000,0,0,0,
simmoco01,Connie Simmons*,3,0,3,.000,3,0,3,.000,0,0,0,
garfija01,Jack Garfinkel*,3,0,3,.000,3,0,3,.000,0,0,0,
sadowed01,Ed Sadowski,3,0,3,.000,3,0,3,.000,0,0,0,
wertira01,Ray Wertis*,3,1,2,.333,3,1,2,.333,0,0,0,
hoefech01,Charlie Hoefer,2,0,2,.000,2,0,2,.000,0,0,0,
mariasa01,Saul Mariaschin,2,0,2,.000,2,0,2,.000,0,0,0,
