id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
olajuha01,Hakeem Olajuwon,405,218,187,.538,385,212,173,.551,20,6,14,.300
floydsl01,Sleepy Floyd,370,197,173,.532,355,194,161,.546,15,3,12,.200
thorpot01,Otis Thorpe,313,167,146,.534,302,165,137,.546,11,2,9,.182
smithla01,Larry Smith,196,108,88,.551,189,107,82,.566,7,1,6,.143
maxweve01,Vernon Maxwell,188,106,82,.564,181,105,76,.580,7,1,6,.143
leaveal01,Allen Leavell,169,89,80,.527,158,84,74,.532,11,5,6,.455
smithke01,Kenny Smith,151,86,65,.570,148,86,62,.581,3,0,3,.000
mccraro01,Rodney McCray,137,71,66,.518,128,67,61,.523,9,4,5,.444
woodsmi01,Mike Woodson,134,68,66,.507,129,67,62,.519,5,1,4,.200
peterji01,Jim Petersen,131,68,63,.519,122,64,58,.525,9,4,5,.444
shortpu01,Purvis Short,127,65,62,.512,119,63,56,.529,8,2,6,.250
reidro01,Robert Reid,118,63,55,.534,109,59,50,.541,9,4,5,.444
chievde01,Derrick Chievous,111,54,57,.486,107,53,54,.495,4,1,3,.250
maxwece01,Cedric Maxwell,105,58,47,.552,96,54,42,.562,9,4,5,.444
feitlda01,Dave Feitl,97,51,46,.526,93,48,45,.516,4,3,1,.750
bullama01,Matt Bullard,96,54,42,.562,96,54,42,.562,0,0,0,
wiggimi01,Mitchell Wiggins,94,45,49,.479,90,44,46,.489,4,1,3,.250
mccorti01,Tim McCormick,91,48,43,.527,84,46,38,.548,7,2,5,.286
caldwad01,Adrian Caldwell,89,50,39,.562,88,49,39,.557,1,1,0,1.000
jamerda01,Dave Jamerson,81,43,38,.531,79,43,36,.544,2,0,2,.000
woodda01,David Wood,76,47,29,.618,73,47,26,.644,3,0,3,.000
stewala01,Larry Stewart,72,19,53,.264,72,19,53,.264,0,0,0,
guglito01,Tom Gugliotta,72,18,54,.250,72,18,54,.250,0,0,0,
harrist01,Steve Harris,68,32,36,.471,64,30,34,.469,4,2,2,.500
bowiean01,Anthony Bowie,68,31,37,.456,66,31,35,.470,2,0,2,.000
pricebr01,Brent Price,66,16,50,.242,66,16,50,.242,0,0,0,
grantha01,Harvey Grant,63,18,45,.286,63,18,45,.286,0,0,0,
smithla02,LaBradford Smith,63,15,48,.238,63,15,48,.238,0,0,0,
carrojo01,Joe Barry Carroll,61,33,28,.541,57,32,25,.561,4,1,3,.250
winchke01,Kennard Winchester,61,39,22,.639,61,39,22,.639,0,0,0,
adamsmi01,Michael Adams,61,18,43,.295,61,18,43,.295,0,0,0,
jonesch01,Charles Jones,59,16,43,.271,59,16,43,.271,0,0,0,
johnsfr01,Frank Johnson,57,31,26,.544,53,30,23,.566,4,1,3,.250
rollitr01,Tree Rollins,57,27,30,.474,57,27,30,.474,0,0,0,
macledo01,Don MacLean,55,15,40,.273,55,15,40,.273,0,0,0,
freewo01,World B. Free,52,26,26,.500,50,26,24,.520,2,0,2,.000
anderri01,Richard Anderson,52,21,31,.404,49,19,30,.388,3,2,1,.667
chapmre01,Rex Chapman,51,11,40,.216,51,11,40,.216,0,0,0,
johnsav01,Avery Johnson,49,25,24,.510,49,25,24,.510,0,0,0,
lucasjo01,John Lucas,49,21,28,.429,49,21,28,.429,0,0,0,
connele01,Lester Conner,48,27,21,.562,47,26,21,.553,1,1,0,1.000
minnidi01,Dirk Minniefield,46,22,24,.478,41,19,22,.463,5,3,2,.600
sampsra01,Ralph Sampson,44,20,24,.455,39,17,22,.436,5,3,2,.600
herreca01,Carl Herrera,43,20,23,.465,43,20,23,.465,0,0,0,
turnejo01,John Turner,42,19,23,.452,42,19,23,.452,0,0,0,
lloydle01,Lewis Lloyd,42,21,21,.500,42,21,21,.500,0,0,0,
ellispe01,Pervis Ellison,41,11,30,.268,41,11,30,.268,0,0,0,
berrywa01,Walter Berry,40,18,22,.450,36,17,19,.472,4,1,3,.250
overtdo01,Doug Overton,37,11,26,.297,37,11,26,.297,0,0,0,
nevitch01,Chuck Nevitt,36,19,17,.528,34,18,16,.529,2,1,1,.500
dinkiby01,Byron Dinkins,33,17,16,.515,33,17,16,.515,0,0,0,
thompbe01,Bernard Thompson,18,12,6,.667,18,12,6,.667,0,0,0,
henryco01,Conner Henry,18,6,12,.333,18,6,12,.333,0,0,0,
acresma01,Mark Acres,12,2,10,.167,12,2,10,.167,0,0,0,
fostegr01,Greg Foster,10,2,8,.200,10,2,8,.200,0,0,0,
turnean01,Andre Turner,8,3,5,.375,8,3,5,.375,0,0,0,
hendege01,Gerald Henderson,8,3,5,.375,8,3,5,.375,0,0,0,
brownto01,Tony Brown,8,4,4,.500,8,4,4,.500,0,0,0,
irvinby01,Byron Irvin,4,0,4,.000,4,0,4,.000,0,0,0,
burttst01,Steve Burtt,4,1,3,.250,4,1,3,.250,0,0,0,
robinla01,Larry Robinson,4,1,3,.250,4,1,3,.250,0,0,0,
oggal01,Alan Ogg,3,0,3,.000,3,0,3,.000,0,0,0,
corchch01,Chris Corchiani,1,0,1,.000,1,0,1,.000,0,0,0,
godfrda01,Dan Godfread,1,0,1,.000,1,0,1,.000,0,0,0,
