id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
leaveal01,Allen Leavell,333,144,189,.432,317,137,180,.432,16,7,9,.438
reidro01,Robert Reid,261,129,132,.494,243,121,122,.498,18,8,10,.444
murphca01,Calvin Murphy,249,115,134,.462,232,107,125,.461,17,8,9,.471
hendeto01,Tom Henderson,239,107,132,.448,221,99,122,.448,18,8,10,.444
malonmo01,Moses Malone,225,119,106,.529,207,111,96,.536,18,8,10,.444
paultbi01,Billy Paultz*,204,89,115,.436,186,81,105,.435,18,8,10,.444
dunlemi01,Mike Dunleavy,179,96,83,.536,162,88,74,.543,17,8,9,.471
hayesel01,Elvin Hayes,175,64,111,.366,175,64,111,.366,0,0,0,
tomjaru01,Rudy Tomjanovich,119,59,60,.496,107,54,53,.505,12,5,7,.417
jonesca01,Caldwell Jones*,116,27,89,.233,116,27,89,.233,0,0,0,
teaglte01,Terry Teagle,111,26,85,.234,111,26,85,.234,0,0,0,
walkewa01,Wally Walker,106,23,83,.217,106,23,83,.217,0,0,0,
garreca01,Calvin Garrett,105,55,50,.524,97,51,46,.526,8,4,4,.500
willobi01,Bill Willoughby*,101,59,42,.584,91,54,37,.593,10,5,5,.500
baileja01,James Bailey,96,21,75,.219,96,21,75,.219,0,0,0,
barryri01,Rick Barry,77,35,42,.455,72,34,38,.472,5,1,4,.200
bryanjo01,Joe Bryant,60,9,51,.150,60,9,51,.150,0,0,0,
sampsra01,Ralph Sampson,57,18,39,.316,57,18,39,.316,0,0,0,
lloydle01,Lewis Lloyd,57,18,39,.316,57,18,39,.316,0,0,0,
mccraro01,Rodney McCray,56,17,39,.304,56,17,39,.304,0,0,0,
fordph01,Phil Ford,56,17,39,.304,56,17,39,.304,0,0,0,
laimbbi01,Bill Laimbeer,48,26,22,.542,47,26,21,.553,1,0,1,.000
johnsvi01,Vinnie Johnson,48,26,22,.542,47,26,21,.553,1,0,1,.000
tylerte01,Terry Tyler,48,26,22,.542,47,26,21,.553,1,0,1,.000
curetea01,Earl Cureton,47,25,22,.532,46,25,21,.543,1,0,1,.000
thomais01,Isiah Thomas,47,26,21,.553,46,26,20,.565,1,0,1,.000
longjo01,John Long,44,24,20,.545,43,24,19,.558,1,0,1,.000
bensoke01,Kent Benson,39,23,16,.590,38,23,15,.605,1,0,1,.000
campbto01,Tony Campbell,38,19,19,.500,37,19,18,.514,1,0,1,.000
steppbr01,Brook Steppe,34,19,15,.559,33,19,14,.576,1,0,1,.000
tayloje01,Jeff Taylor,31,5,26,.161,31,5,26,.161,0,0,0,
tripuke01,Kelly Tripucka,30,20,10,.667,29,20,9,.690,1,0,1,.000
shumajo01,John Shumate,29,16,13,.552,29,16,13,.552,0,0,0,
roundda01,Dan Roundfield,26,14,12,.538,25,14,11,.560,1,0,1,.000
bradlal01,Alonzo Bradley,25,15,10,.600,22,14,8,.636,3,1,2,.333
jonesdw01,Dwight Jones,21,10,11,.476,21,10,11,.476,0,0,0,
oldhaja01,Jawann Oldham,15,9,6,.600,15,9,6,.600,0,0,0,
mokespa01,Paul Mokeski,12,5,7,.417,12,5,7,.417,0,0,0,
johnsle01,Lee Johnson,10,6,4,.600,10,6,4,.600,0,0,0,
whiteru01,Rudy White,9,2,7,.222,9,2,7,.222,0,0,0,
stroujo01,John Stroud,6,1,5,.167,6,1,5,.167,0,0,0,
nevitch01,Chuck Nevitt,6,0,6,.000,6,0,6,.000,0,0,0,
ehlocr01,Craig Ehlo,6,0,6,.000,6,0,6,.000,0,0,0,
romarlo01,Lorenzo Romar,3,1,2,.333,3,1,2,.333,0,0,0,
thirdda01,David Thirdkill,2,1,1,.500,2,1,1,.500,0,0,0,
sprigla01,Larry Spriggs,1,0,1,.000,1,0,1,.000,0,0,0,
