id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
bytzumi01,Michael Bytzura,41,10,31,.244,41,10,31,.244,0,0,0,
noszkst01,Stan Noszka*,41,10,31,.244,41,10,31,.244,0,0,0,
gunthco01,Coulby Gunther,41,10,31,.244,41,10,31,.244,0,0,0,
melvied01,Ed Melvin*,37,9,28,.243,37,9,28,.243,0,0,0,
maravpr01,Press Maravich*,35,9,26,.257,35,9,26,.257,0,0,0,
zelleha01,Harry Zeller,33,9,24,.273,33,9,24,.273,0,0,0,
abramjo01,John Abramovic,28,5,23,.179,28,5,23,.179,0,0,0,
millsjo01,John Mills*,25,7,18,.280,25,7,18,.280,0,0,0,
jorgero01,Roger Jorgensen*,23,4,19,.174,23,4,19,.174,0,0,0,
fabeljo01,Joe Fabel,19,5,14,.263,19,5,14,.263,0,0,0,
simmoco01,Connie Simmons*,17,3,14,.176,17,3,14,.176,0,0,0,
connoch01,Chuck Connors,17,3,14,.176,17,3,14,.176,0,0,0,
simmojo01,Johnny Simmons,17,3,14,.176,17,3,14,.176,0,0,0,
graywy01,Wyndol Gray*,17,3,14,.176,17,3,14,.176,0,0,0,
fenlewa01,Warren Fenley*,17,3,14,.176,17,3,14,.176,0,0,0,
wallare01,Red Wallace,16,2,14,.125,16,2,14,.125,0,0,0,
kottmha01,Harold Kottman*,16,3,13,.188,16,3,13,.188,0,0,0,
jorgeno01,Noble Jorgensen*,16,3,13,.188,16,3,13,.188,0,0,0,
brighal01,Al Brightman*,14,2,12,.143,14,2,12,.143,0,0,0,
vaughvi01,Virgil Vaughn*,13,2,11,.154,13,2,11,.154,0,0,0,
hirscme01,Mel Hirsch,13,2,11,.154,13,2,11,.154,0,0,0,
spectar01,Art Spector*,11,2,9,.182,11,2,9,.182,0,0,0,
getchgo01,Gorham Getchell*,2,0,2,.000,2,0,2,.000,0,0,0,
eliasdo01,Don Eliason,1,0,1,.000,1,0,1,.000,0,0,0,
