id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
aingeda01,Danny Ainge,332,214,118,.645,282,185,97,.656,50,29,21,.580
johnsde01,Dennis Johnson,284,204,80,.718,231,173,58,.749,53,31,22,.585
parisro01,Robert Parish,284,208,76,.732,233,177,56,.760,51,31,20,.608
birdla01,Larry Bird,280,203,77,.725,228,172,56,.754,52,31,21,.596
mchalke01,Kevin McHale,262,187,75,.714,211,158,53,.749,51,29,22,.569
skilesc01,Scott Skiles,233,92,141,.395,233,92,141,.395,0,0,0,
turneje01,Jeff Turner,223,87,136,.390,223,87,136,.390,0,0,0,
anderni01,Nick Anderson,215,88,127,.409,215,88,127,.409,0,0,0,
vincesa01,Sam Vincent,200,110,90,.550,174,94,80,.540,26,16,10,.615
sichtje01,Jerry Sichting,177,129,48,.729,144,109,35,.757,33,20,13,.606
wedmasc01,Scott Wedman,174,129,45,.741,149,113,36,.758,25,16,9,.640
scottde01,Dennis Scott,171,76,95,.444,171,76,95,.444,0,0,0,
carliri01,Rick Carlisle,142,114,28,.803,134,107,27,.799,8,7,1,.875
acresma01,Mark Acres,138,48,90,.348,138,48,90,.348,0,0,0,
catlete01,Terry Catledge,135,38,97,.281,135,38,97,.281,0,0,0,
bowiean01,Anthony Bowie,131,55,76,.420,131,55,76,.420,0,0,0,
smithot01,Otis Smith,121,38,83,.314,121,38,83,.314,0,0,0,
reynoje01,Jerry Reynolds,120,40,80,.333,120,40,80,.333,0,0,0,
bucknqu01,Quinn Buckner,103,73,30,.709,84,62,22,.738,19,11,8,.579
roberfr01,Fred Roberts,97,63,34,.649,79,54,25,.684,18,9,9,.500
normake01,Ken Norman,92,19,73,.207,92,19,73,.207,0,0,0,
onealsh01,Shaquille O'Neal,92,47,45,.511,92,47,45,.511,0,0,0,
dayeda01,Darren Daye,89,59,30,.663,69,49,20,.710,20,10,10,.500
waltobi01,Bill Walton,89,72,17,.809,69,57,12,.826,20,15,5,.750
maxwece01,Cedric Maxwell,85,60,25,.706,66,49,17,.742,19,11,8,.579
clarkca01,Carlos Clark,83,62,21,.747,73,54,19,.740,10,8,2,.800
benjabe01,Benoit Benjamin,83,16,67,.193,83,16,67,.193,0,0,0,
royaldo01,Donald Royal,81,39,42,.481,81,39,42,.481,0,0,0,
carrml01,M.L. Carr,77,57,20,.740,64,48,16,.750,13,9,4,.692
dailequ01,Quintin Dailey,75,13,62,.173,75,13,62,.173,0,0,0,
mccraro01,Rodney McCray,71,20,51,.282,71,20,51,.282,0,0,0,
thirdda01,David Thirdkill,70,57,13,.814,59,49,10,.831,11,8,3,.727
tisdawa01,Wayman Tisdale,68,20,48,.294,68,20,48,.294,0,0,0,
anslemi01,Michael Ansley,67,26,41,.388,67,26,41,.388,0,0,0,
delnevi01,Vinny Del Negro,65,17,48,.262,65,17,48,.262,0,0,0,
pressha01,Harold Pressley,62,20,42,.323,62,20,42,.323,0,0,0,
willire01,Reggie Williams,61,12,49,.197,61,12,49,.197,0,0,0,
wolfjo01,Joe Wolf,59,9,50,.153,59,9,50,.153,0,0,0,
greenli01,Litterial Green,55,27,28,.491,55,27,28,.491,0,0,0,
henryco01,Conner Henry,55,33,22,.600,44,30,14,.682,11,3,8,.273
corchch01,Chris Corchiani,54,19,35,.352,54,19,35,.352,0,0,0,
tolbeto01,Tom Tolbert,54,26,28,.481,54,26,28,.481,0,0,0,
delebi01,Bison Dele,54,12,42,.222,54,12,42,.222,0,0,0,
allenra01,Randy Allen,52,13,39,.250,52,13,39,.250,0,0,0,
smithch01,Charles Smith,50,13,37,.260,50,13,37,.260,0,0,0,
grantga01,Gary Grant,48,11,37,.229,48,11,37,.229,0,0,0,
nixonno01,Norm Nixon,47,8,39,.170,47,8,39,.170,0,0,0,
garrito01,Tom Garrick,47,11,36,.234,47,11,36,.234,0,0,0,
roberst01,Stanley Roberts,46,9,37,.196,46,9,37,.196,0,0,0,
wileymo01,Morlon Wiley,42,16,26,.381,42,16,26,.381,0,0,0,
hendege01,Gerald Henderson,42,31,11,.738,31,24,7,.774,11,7,4,.636
curetea01,Earl Cureton,41,7,34,.171,41,7,34,.171,0,0,0,
valenda01,Darnell Valentine,38,5,33,.132,38,5,33,.132,0,0,0,
woodsmi01,Mike Woodson,38,6,32,.158,38,6,32,.158,0,0,0,
whiteer01,Eric White,37,7,30,.189,37,7,30,.189,0,0,0,
smithke01,Kenny Smith,36,9,27,.250,36,9,27,.250,0,0,0,
kerrst01,Steve Kerr,35,14,21,.400,35,14,21,.400,0,0,0,
carran01,Antoine Carr,32,9,23,.281,32,9,23,.281,0,0,0,
ellispe01,Pervis Ellison,32,9,23,.281,32,9,23,.281,0,0,0,
drewla01,Larry Drew,32,6,26,.188,32,6,26,.188,0,0,0,
cagemi01,Michael Cage,31,6,25,.194,31,6,25,.194,0,0,0,
turnehe02,Henry Turner,31,5,26,.161,31,5,26,.161,0,0,0,
toneyse01,Sedric Toney,31,8,23,.258,31,8,23,.258,0,0,0,
hardaan01,Anfernee Hardaway,29,16,13,.552,29,16,13,.552,0,0,0,
higgise01,Sean Higgins,28,9,19,.321,28,9,19,.321,0,0,0,
willira01,Ray Williams,28,17,11,.607,20,13,7,.650,8,4,4,.500
gondrgr01,Grant Gondrezick,24,4,20,.167,24,4,20,.167,0,0,0,
mannida01,Danny Manning,24,8,16,.333,24,8,16,.333,0,0,0,
gregocl01,Claude Gregory,23,4,19,.174,23,4,19,.174,0,0,0,
burttst01,Steve Burtt,19,4,15,.211,19,4,15,.211,0,0,0,
jacksma01,Mark Jackson,17,10,7,.588,9,7,2,.778,8,3,5,.375
scottby01,Byron Scott,17,10,7,.588,9,7,2,.778,8,3,5,.375
davisda01,Dale Davis,17,10,7,.588,9,7,2,.778,8,3,5,.375
mckeyde01,Derrick McKey,17,10,7,.588,9,7,2,.778,8,3,5,.375
millere01,Reggie Miller,17,10,7,.588,9,7,2,.778,8,3,5,.375
davisan01,Antonio Davis,17,10,7,.588,9,7,2,.778,8,3,5,.375
sampsra01,Ralph Sampson,16,5,11,.312,16,5,11,.312,0,0,0,
willimi03,Mike Williams,16,5,11,.312,16,5,11,.312,0,0,0,
smitsri01,Rik Smits,16,9,7,.562,8,6,2,.750,8,3,5,.375
mitchsa01,Sam Mitchell,16,9,7,.562,8,6,2,.750,8,3,5,.375
workmha01,Haywoode Workman,15,8,7,.533,7,5,2,.714,8,3,5,.375
lewisre01,Reggie Lewis,13,8,5,.615,13,8,5,.615,0,0,0,
lohaubr01,Brad Lohaus,13,8,5,.615,13,8,5,.615,0,0,0,
reidro01,Robert Reid,12,3,9,.250,12,3,9,.250,0,0,0,
tripuke01,Kelly Tripucka,12,3,9,.250,12,3,9,.250,0,0,0,
wrighho02,Howard Wright,12,2,10,.167,12,2,10,.167,0,0,0,
boguemu01,Muggsy Bogues,12,3,9,.250,12,3,9,.250,0,0,0,
chapmre01,Rex Chapman,12,3,9,.250,12,3,9,.250,0,0,0,
jacksmi02,Michael Jackson,12,3,9,.250,12,3,9,.250,0,0,0,
lowesi01,Sidney Lowe,12,3,9,.250,12,3,9,.250,0,0,0,
lockro01,Rob Lock,12,0,12,.000,12,0,12,.000,0,0,0,
curryde01,Dell Curry,11,3,8,.273,11,3,8,.273,0,0,0,
hoppeda01,Dave Hoppen,11,3,8,.273,11,3,8,.273,0,0,0,
rowsobr01,Brian Rowsom,11,3,8,.273,11,3,8,.273,0,0,0,
ferredu01,Duane Ferrell,10,4,6,.400,5,3,2,.600,5,1,4,.200
flemive01,Vern Fleming,9,7,2,.778,8,6,2,.750,1,1,0,1.000
kemptti01,Tim Kempton,9,2,7,.222,9,2,7,.222,0,0,0,
rambiku01,Kurt Rambis,9,2,7,.222,9,2,7,.222,0,0,0,
fieldke01,Kenny Fields,7,1,6,.143,7,1,6,.143,0,0,0,
popsoda01,Dave Popson,7,1,6,.143,7,1,6,.143,0,0,0,
krystla01,Larry Krystkowiak,7,4,3,.571,7,4,3,.571,0,0,0,
gordola01,Lancaster Gordon,6,1,5,.167,6,1,5,.167,0,0,0,
stokegr01,Greg Stokes,6,1,5,.167,6,1,5,.167,0,0,0,
willilo01,Lorenzo Williams,5,2,3,.400,5,2,3,.400,0,0,0,
towerke01,Keith Tower,4,3,1,.750,4,3,1,.750,0,0,0,
lichtto01,Todd Lichti,3,2,1,.667,3,2,1,.667,0,0,0,
nesslma01,Martin Nessley,3,0,3,.000,3,0,3,.000,0,0,0,
masonan01,Anthony Mason,2,2,0,1.000,2,2,0,1.000,0,0,0,
davishu01,Hubert Davis,2,2,0,1.000,2,2,0,1.000,0,0,0,
ewingpa01,Patrick Ewing,2,2,0,1.000,2,2,0,1.000,0,0,0,
turnean01,Andre Turner,2,2,0,1.000,2,2,0,1.000,0,0,0,
willisl01,Sly Williams,2,2,0,1.000,2,2,0,1.000,0,0,0,
whatlen01,Ennis Whatley,2,1,1,.500,2,1,1,.500,0,0,0,
bonnean01,Anthony Bonner,2,2,0,1.000,2,2,0,1.000,0,0,0,
harpede01,Derek Harper,2,2,0,1.000,2,2,0,1.000,0,0,0,
mcnamma01,Mark McNamara,2,0,2,.000,2,0,2,.000,0,0,0,
willimo01,Monty Williams,2,2,0,1.000,2,2,0,1.000,0,0,0,
starkjo01,John Starks,2,2,0,1.000,2,2,0,1.000,0,0,0,
wardch01,Charlie Ward,1,1,0,1.000,1,1,0,1.000,0,0,0,
thompst01,Stephen Thompson,1,0,1,.000,1,0,1,.000,0,0,0,
chrisdo01,Doug Christie,1,1,0,1.000,1,1,0,1.000,0,0,0,
