id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mcclate01,Ted McClain*,293,172,121,.587,269,158,111,.587,24,14,10,.583
caldwjo01,Joe Caldwell,286,154,132,.538,270,147,123,.544,16,7,9,.438
mannied01,Ed Manning*,244,132,112,.541,228,125,103,.548,16,7,9,.438
owensto01,Tom Owens*,211,127,84,.602,195,120,75,.615,16,7,9,.438
millela01,Larry Miller,194,80,114,.412,190,80,110,.421,4,0,4,.000
calvima01,Mack Calvin,183,110,73,.601,167,103,64,.617,16,7,9,.438
mahafra01,Randy Mahaffey,155,66,89,.426,151,66,85,.437,4,0,4,.000
vergabo01,Bob Verga,153,64,89,.418,149,64,85,.430,4,0,4,.000
peeplge01,George Peeples*,153,66,87,.431,149,66,83,.443,4,0,4,.000
wuycide01,Dennis Wuycik*,147,92,55,.626,132,85,47,.644,15,7,8,.467
cunnibi01,Billy Cunningham,131,86,45,.656,116,79,37,.681,15,7,8,.467
jonesst01,Steve Jones*,123,79,44,.642,111,72,39,.649,12,7,5,.583
roberma01,Marv Roberts*,111,64,47,.577,99,57,42,.576,12,7,5,.583
lehmage01,George Lehmann*,92,33,59,.359,92,33,59,.359,0,0,0,
choneji01,Jim Chones,87,46,41,.529,83,46,37,.554,4,0,4,.000
moedo01,Doug Moe,82,38,44,.463,78,38,40,.487,4,0,4,.000
fowleca01,Calvin Fowler*,81,36,45,.444,77,36,41,.468,4,0,4,.000
joneswi02,Wil Jones,69,45,24,.652,61,38,23,.623,8,7,1,.875
gilmoar01,Artis Gilmore*,69,45,24,.652,61,38,23,.623,8,7,1,.875
brownro02,Roger Brown*,68,46,22,.676,61,41,20,.672,7,5,2,.714
dampilo01,Louie Dampier*,68,44,24,.647,60,37,23,.617,8,7,1,.875
averibi01,Bird Averitt,68,45,23,.662,61,38,23,.623,7,7,0,1.000
isselda01,Dan Issel*,68,44,24,.647,60,37,23,.617,8,7,1,.875
niemari01,Rich Niemann*,65,31,34,.477,61,31,30,.508,4,0,4,.000
thomaro01,Ron Thomas,64,43,21,.672,56,36,20,.643,8,7,1,.875
cardfr01,Frank Card*,64,27,37,.422,64,27,37,.422,0,0,0,
whitnha01,Hank Whitney*,62,28,34,.452,58,28,30,.483,4,0,4,.000
buntibi02,Bill Bunting,57,30,27,.526,57,30,27,.526,0,0,0,
warrebo01,Bob Warren,54,30,24,.556,54,30,24,.556,0,0,0,
kramest01,Steve Kramer*,52,25,27,.481,50,25,25,.500,2,0,2,.000
johnsst01,Stew Johnson*,48,23,25,.479,48,23,25,.479,0,0,0,
mcdanji01,Jim McDaniels,43,15,28,.349,43,15,28,.349,0,0,0,
ladnewe01,Wendell Ladner*,43,22,21,.512,43,22,21,.512,0,0,0,
bradlji01,Jim Bradley,43,32,11,.744,40,29,11,.725,3,3,0,1.000
previst01,Steve Previs,32,26,6,.812,30,24,6,.800,2,2,0,1.000
williva01,Vann Williford,31,8,23,.258,31,8,23,.258,0,0,0,
hargeir01,Ira Harge,31,11,20,.355,31,11,20,.355,0,0,0,
cartege01,George Carter*,29,14,15,.483,29,14,15,.483,0,0,0,
newmada01,Dave Newmark,28,12,16,.429,28,12,16,.429,0,0,0,
daviswa02,Warren Davis*,26,6,20,.231,26,6,20,.231,0,0,0,
taylool01,Ollie Taylor,25,12,13,.480,23,12,11,.522,2,0,2,.000
dentora01,Randy Denton,25,5,20,.200,25,5,20,.200,0,0,0,
perryro01,Ron Perry*,19,9,10,.474,19,9,10,.474,0,0,0,
lewismi01,Mike Lewis,18,12,6,.667,18,12,6,.667,0,0,0,
johnsri01,Rich Johnson*,18,10,8,.556,18,10,8,.556,0,0,0,
rochejo01,John Roche,14,8,6,.571,14,8,6,.571,0,0,0,
hightwa01,Wayne Hightower*,13,5,8,.385,13,5,8,.385,0,0,0,
lloydch01,Chuck Lloyd,12,2,10,.167,12,2,10,.167,0,0,0,
sutorge01,George Sutor*,12,5,7,.417,12,5,7,.417,0,0,0,
stonege01,George Stone,7,2,5,.286,7,2,5,.286,0,0,0,
braddga01,Gary Bradds*,5,0,5,.000,5,0,5,.000,0,0,0,
kellyar01,Arvesta Kelly,4,0,4,.000,4,0,4,.000,0,0,0,
kluttlo01,Lonnie Kluttz,2,0,2,.000,2,0,2,.000,0,0,0,
daughma01,Mack Daughtry,2,0,2,.000,2,0,2,.000,0,0,0,
robbire01,Red Robbins*,1,1,0,1.000,1,1,0,1.000,0,0,0,
dorsero01,Ron Dorsey,1,0,1,.000,1,0,1,.000,0,0,0,
