id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
walkeji01,Jimmy Walker,41,15,26,.366,40,15,25,.375,1,0,1,.000
dischte01,Terry Dischinger,38,15,23,.395,37,15,22,.405,1,0,1,.000
bingda01,Dave Bing,33,14,19,.424,32,14,18,.438,1,0,1,.000
kauffbo01,Bob Kauffman,30,9,21,.300,30,9,21,.300,0,0,0,
gillihe01,Herm Gilliam*,30,9,21,.300,30,9,21,.300,0,0,0,
hummejo01,John Hummer,29,9,20,.310,29,9,20,.310,0,0,0,
garredi01,Dick Garrett*,27,8,19,.296,27,8,19,.296,0,0,0,
maydo01,Don May,27,9,18,.333,27,9,18,.333,0,0,0,
bryanem01,Em Bryant*,27,8,19,.296,27,8,19,.296,0,0,0,
warneco01,Cornell Warner,26,8,18,.308,26,8,18,.308,0,0,0,
milesed01,Eddie Miles,26,7,19,.269,25,7,18,.280,1,0,1,.000
bowmana01,Nate Bowman,25,7,18,.280,25,7,18,.280,0,0,0,
komivho01,Howard Komives*,25,9,16,.360,25,9,16,.360,0,0,0,
mooreot01,Otto Moore,25,9,16,.360,25,9,16,.360,0,0,0,
davismi01,Mike Davis,24,7,17,.292,24,7,17,.292,0,0,0,
mclemmc01,McCoy McLemore,23,8,15,.348,23,8,15,.348,0,0,0,
mueller01,Erwin Mueller,23,8,15,.348,23,8,15,.348,0,0,0,
sillimi01,Mike Silliman,17,4,13,.235,17,4,13,.235,0,0,0,
bellawa01,Walt Bellamy,17,4,13,.235,17,4,13,.235,0,0,0,
debusda01,Dave DeBusschere,16,6,10,.375,15,6,9,.400,1,0,1,.000
hewitbi01,Bill Hewitt,16,5,11,.312,16,5,11,.312,0,0,0,
hairsha01,Happy Hairston,15,5,10,.333,14,5,9,.357,1,0,1,.000
pattege01,George Patterson,14,5,9,.357,13,5,8,.385,1,0,1,.000
strawjo01,Joe Strawder*,13,5,8,.385,12,5,7,.417,1,0,1,.000
doveso01,Sonny Dove,13,4,9,.308,12,4,8,.333,1,0,1,.000
chapple01,Len Chappell*,12,5,7,.417,11,5,6,.455,1,0,1,.000
wilsoge01,George Wilson*,12,5,7,.417,12,5,7,.417,0,0,0,
foxji01,Jim Fox*,10,4,6,.400,9,4,5,.444,1,0,1,.000
carrida01,Darel Carrier*,9,4,5,.444,9,4,5,.444,0,0,0,
rascobo01,Bobby Rascoe,9,4,5,.444,9,4,5,.444,0,0,0,
dampilo01,Louie Dampier*,9,4,5,.444,9,4,5,.444,0,0,0,
leaksma01,Manny Leaks*,9,4,5,.444,9,4,5,.444,0,0,0,
ligongo01,Goose Ligon,9,4,5,.444,9,4,5,.444,0,0,0,
caldwji01,Jim Caldwell,9,4,5,.444,9,4,5,.444,0,0,0,
moorege01,Gene Moore*,9,4,5,.444,9,4,5,.444,0,0,0,
jonesjo01,Johnny Jones,9,4,5,.444,9,4,5,.444,0,0,0,
mahafra01,Randy Mahaffey,9,4,5,.444,9,4,5,.444,0,0,0,
reynoge01,George Reynolds,8,1,7,.125,8,1,7,.125,0,0,0,
mixst01,Steve Mix,6,3,3,.500,6,3,3,.500,0,0,0,
vanarto01,Tom Van Arsdale,6,2,4,.333,6,2,4,.333,0,0,0,
crawffr01,Freddie Crawford,6,4,2,.667,6,4,2,.667,0,0,0,
quickbo01,Bob Quick*,6,4,2,.667,6,4,2,.667,0,0,0,
tresvjo01,John Tresvant,6,2,4,.333,6,2,4,.333,0,0,0,
hoskebi01,Bill Hosket,4,3,1,.750,4,3,1,.750,0,0,0,
smithsa01,Sam Smith*,4,3,1,.750,4,3,1,.750,0,0,0,
lynnmi01,Mike Lynn,3,2,1,.667,3,2,1,.667,0,0,0,
chapmwa01,Wayne Chapman*,3,1,2,.333,3,1,2,.333,0,0,0,
cartege01,George Carter*,1,1,0,1.000,1,1,0,1.000,0,0,0,
