id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
shuege01,Gene Shue*,224,84,140,.375,215,82,133,.381,9,2,7,.222
dukeswa01,Walter Dukes*,211,81,130,.384,202,79,123,.391,9,2,7,.222
noblech01,Chuck Noble*,191,71,120,.372,182,69,113,.379,9,2,7,.222
howelba01,Bailey Howell,172,69,103,.401,166,68,98,.410,6,1,5,.167
lloydea01,Earl Lloyd*,121,41,80,.339,116,40,76,.345,5,1,4,.200
mcguidi01,Dick McGuire*,120,41,79,.342,115,40,75,.348,5,1,4,.200
deesar01,Archie Dees,105,43,62,.410,103,43,60,.417,2,0,2,.000
ohldo01,Don Ohl,97,39,58,.402,93,38,55,.409,4,1,3,.250
ferrybo01,Bob Ferry,97,39,58,.402,93,38,55,.409,4,1,3,.250
leege01,George Lee,91,36,55,.396,87,35,52,.402,4,1,3,.250
conlied01,Ed Conlin*,89,33,56,.371,84,32,52,.381,5,1,4,.200
morelja01,Jackie Moreland*,76,27,49,.355,73,26,47,.356,3,1,2,.333
cableba01,Barney Cable*,65,20,45,.308,65,20,45,.308,0,0,0,
alcorga01,Gary Alcorn*,58,24,34,.414,58,24,34,.414,0,0,0,
joneswi01,Willie Jones*,53,17,36,.321,50,16,34,.320,3,1,2,.333
jordoph01,Phil Jordon*,51,15,36,.294,48,14,34,.292,3,1,2,.333
farledi01,Dick Farley*,51,15,36,.294,48,14,34,.292,3,1,2,.333
holupjo01,Joe Holup,49,15,34,.306,46,14,32,.304,3,1,2,.333
ferraal01,Al Ferrari*,48,18,30,.375,48,18,30,.375,0,0,0,
lacoufr01,Fred LaCour,46,16,30,.348,46,16,30,.348,0,0,0,
pettibo01,Bob Pettit*,46,18,28,.391,46,18,28,.391,0,0,0,
hagancl01,Cliff Hagan*,45,16,29,.356,45,16,29,.356,0,0,0,
simsbo01,Bob Sims,37,13,24,.351,37,13,24,.351,0,0,0,
hillcl01,Cleo Hill,33,11,22,.333,33,11,22,.333,0,0,0,
foustla01,Larry Foust*,31,13,18,.419,31,13,18,.419,0,0,0,
kenvibi01,Billy Kenville*,25,12,13,.480,25,12,13,.480,0,0,0,
yardlge01,George Yardley*,23,5,18,.217,23,5,18,.217,0,0,0,
hattove01,Vern Hatton*,19,7,12,.368,19,7,12,.368,0,0,0,
wilkele01,Lenny Wilkens,17,9,8,.529,17,9,8,.529,0,0,0,
lovelcl01,Clyde Lovellette*,13,5,8,.385,13,5,8,.385,0,0,0,
scottra01,Ray Scott,13,3,10,.231,13,3,10,.231,0,0,0,
windito01,Tony Windis,9,4,5,.444,9,4,5,.444,0,0,0,
eganjo01,Johnny Egan*,9,2,7,.222,9,2,7,.222,0,0,0,
arcenst01,Stacey Arceneaux,7,5,2,.714,7,5,2,.714,0,0,0,
johnsro01,Ron Johnson,6,1,5,.167,6,1,5,.167,0,0,0,
eichhdi01,Rich Eichhorst,1,0,1,.000,1,0,1,.000,0,0,0,
