id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
garneke01,Kevin Garnett,523,269,254,.514,500,264,236,.528,23,5,18,.217
westdo01,Doug West,383,123,260,.321,380,123,257,.324,3,0,3,.000
richapo01,Pooh Richardson,354,118,236,.333,350,117,233,.334,4,1,3,.250
peelean01,Anthony Peeler,292,162,130,.555,272,157,115,.577,20,5,15,.250
garrede01,Dean Garrett,269,142,127,.528,256,139,117,.543,13,3,10,.231
millere01,Reggie Miller,269,150,119,.558,233,130,103,.558,36,20,16,.556
smitsri01,Rik Smits,264,145,119,.549,228,125,103,.548,36,20,16,.556
portete01,Terry Porter,249,110,139,.442,241,108,133,.448,8,2,6,.250
davisda01,Dale Davis,249,138,111,.554,213,118,95,.554,36,20,16,.556
campbto01,Tony Campbell,235,64,171,.272,235,64,171,.272,0,0,0,
nestera01,Rasho Nesterović,229,129,100,.563,215,127,88,.591,14,2,12,.143
szczewa02,Wally Szczerbiak,224,130,94,.580,213,128,85,.601,11,2,9,.182
sealyma01,Malik Sealy,207,108,99,.522,196,105,91,.536,11,3,8,.273
flemive01,Vern Fleming,200,112,88,.560,179,99,80,.553,21,13,8,.619
guglito01,Tom Gugliotta,200,87,113,.435,197,87,110,.442,3,0,3,.000
brandte01,Terrell Brandon,194,106,88,.546,182,103,79,.566,12,3,9,.250
breuera01,Randy Breuer,191,53,138,.277,191,53,138,.277,0,0,0,
smithjo02,Joe Smith,181,100,81,.552,170,98,72,.576,11,2,9,.182
mckeyde01,Derrick McKey,181,107,74,.591,149,88,61,.591,32,19,13,.594
murphto01,Tod Murphy,179,48,131,.268,179,48,131,.268,0,0,0,
marbust01,Stephon Marbury,174,90,84,.517,166,88,78,.530,8,2,6,.250
corbity01,Tyrone Corbin,173,53,120,.306,173,53,120,.306,0,0,0,
scottby01,Byron Scott,172,106,66,.616,140,87,53,.621,32,19,13,.594
hammoto01,Tom Hammonds,167,86,81,.515,157,83,74,.529,10,3,7,.300
brooksc01,Scott Brooks,162,44,118,.272,162,44,118,.272,0,0,0,
workmha01,Haywoode Workman,159,95,64,.597,127,76,51,.598,32,19,13,.594
parksch02,Cherokee Parks,157,81,76,.516,155,81,74,.523,2,0,2,.000
billuch01,Chauncey Billups,157,89,68,.567,151,89,62,.589,6,0,6,.000
davisan01,Antonio Davis,149,87,62,.584,117,68,49,.581,32,19,13,.594
spencfe01,Felton Spencer,142,40,102,.282,142,40,102,.282,0,0,0,
thompla01,LaSalle Thompson,141,71,70,.504,130,66,64,.508,11,5,6,.455
willike03,Kenny Williams,131,73,58,.557,117,65,52,.556,14,8,6,.571
averywi01,William Avery,129,78,51,.605,127,77,50,.606,2,1,1,.500
glassge01,Gerald Glass,126,29,97,.230,126,29,97,.230,0,0,0,
carrch01,Chris Carr,118,63,55,.534,117,63,54,.538,1,0,1,.000
jacksbo01,Bobby Jackson,116,59,57,.509,109,58,51,.532,7,1,6,.143
jacksma01,Mark Jackson,98,61,37,.622,81,51,30,.630,17,10,7,.588
jordare01,Reggie Jordan,95,52,43,.547,93,52,41,.559,2,0,2,.000
lopezfe01,Felipe López,94,54,40,.574,87,53,34,.609,7,1,6,.143
robinja02,James Robinson,92,38,54,.413,86,37,49,.430,6,1,5,.167
ellisla01,LaPhonso Ellis,86,48,38,.558,82,47,35,.573,4,1,3,.250
schrede01,Detlef Schrempf,85,41,44,.482,81,40,41,.494,4,1,3,.250
mccloge01,George McCloud,81,39,42,.481,77,38,39,.494,4,1,3,.250
lowesi01,Sidney Lowe,78,21,57,.269,78,21,57,.269,0,0,0,
roberst01,Stanley Roberts,75,37,38,.493,74,37,37,.500,1,0,1,.000
rideris01,Isaiah Rider,71,20,51,.282,71,20,51,.282,0,0,0,
baileth01,Thurl Bailey,71,13,58,.183,71,13,58,.183,0,0,0,
rothsc01,Scott Roth,69,20,49,.290,69,20,49,.290,0,0,0,
ferredu01,Duane Ferrell,66,40,26,.606,56,35,21,.625,10,5,5,.500
longllu01,Luc Longley,66,11,55,.167,66,11,55,.167,0,0,0,
royaldo01,Donald Royal,64,19,45,.297,64,19,45,.297,0,0,0,
trentga01,Gary Trent,59,36,23,.610,56,36,20,.643,3,0,3,.000
slatere01,Reggie Slater,59,33,26,.559,55,32,23,.582,4,1,3,.250
woodslo01,Loren Woods,55,38,17,.691,55,38,17,.691,0,0,0,
davisma02,Mark Davis,55,16,39,.291,55,16,39,.291,0,0,0,
vrankst01,Stojko Vranković,54,24,30,.444,53,24,29,.453,1,0,1,.000
cofferi01,Richard Coffey,52,18,34,.346,52,18,34,.346,0,0,0,
braggma01,Marques Bragg,49,15,34,.306,49,15,34,.306,0,0,0,
rooksse01,Sean Rooks,49,14,35,.286,49,14,35,.286,0,0,0,
curlebi01,Bill Curley,47,28,19,.596,45,27,18,.600,2,1,1,.500
healsh01,Shane Heal,45,15,30,.333,43,15,28,.349,2,0,2,.000
dreilgr01,Greg Dreiling,44,19,25,.432,42,18,24,.429,2,1,1,.500
laettch01,Christian Laettner,44,14,30,.318,44,14,30,.318,0,0,0,
pattean01,Andrae Patterson,42,21,21,.500,40,21,19,.525,2,0,2,.000
allenje01,Jerome Allen,41,12,29,.293,41,12,29,.293,0,0,0,
randama01,Mark Randall,39,5,34,.128,39,5,34,.128,0,0,0,
willimi02,Micheal Williams,38,19,19,.500,34,17,17,.500,4,2,2,.500
wheatde01,DeJuan Wheat,34,16,18,.471,33,16,17,.485,1,0,1,.000
willijo02,John Williams,34,20,14,.588,34,20,14,.588,0,0,0,
martida01,Darrick Martin,32,13,19,.406,32,13,19,.406,0,0,0,
dayto01,Todd Day,31,20,11,.645,31,20,11,.645,0,0,0,
lohaubr01,Brad Lohaus,26,6,20,.231,26,6,20,.231,0,0,0,
haskisc01,Scott Haskin,24,10,14,.417,24,10,14,.417,0,0,0,
webbsp01,Spud Webb,22,7,15,.318,22,7,15,.318,0,0,0,
leonaga01,Gary Leonard,22,7,15,.318,22,7,15,.318,0,0,0,
rileyer01,Eric Riley,22,7,15,.318,22,7,15,.318,0,0,0,
jacksma02,Marc Jackson,21,10,11,.476,20,10,10,.500,1,0,1,.000
scottde01,Dennis Scott,21,9,12,.429,21,9,12,.429,0,0,0,
packro01,Robert Pack,19,10,9,.526,16,10,6,.625,3,0,3,.000
connele01,Lester Conner,17,15,2,.882,11,9,2,.818,6,6,0,1.000
langan01,Andrew Lang,17,4,13,.235,17,4,13,.235,0,0,0,
kitegr01,Greg Kite,16,9,7,.562,8,6,2,.750,8,3,5,.375
garrito01,Tom Garrick,15,1,14,.067,15,1,14,.067,0,0,0,
jacobsa01,Sam Jacobson,14,9,5,.643,14,9,5,.643,0,0,0,
sellebr01,Brad Sellers,14,5,9,.357,14,5,9,.357,0,0,0,
greense01,Sean Green,13,7,6,.538,13,7,6,.538,0,0,0,
thornbo01,Bob Thornton,12,3,9,.250,12,3,9,.250,0,0,0,
frankte01,Tellis Frank,10,1,9,.100,10,1,9,.100,0,0,0,
godfrda01,Dan Godfread,10,3,7,.300,10,3,7,.300,0,0,0,
brancad01,Adrian Branch,10,4,6,.400,10,4,6,.400,0,0,0,
evansma01,Maurice Evans,9,5,4,.556,9,5,4,.556,0,0,0,
smithch02,Charles Smith,8,3,5,.375,8,3,5,.375,0,0,0,
paddige01,Gerald Paddio,7,2,5,.286,7,2,5,.286,0,0,0,
roziecl01,Clifford Rozier,6,1,5,.167,6,1,5,.167,0,0,0,
evansbr01,Brian Evans,5,1,4,.200,5,1,4,.200,0,0,0,
grantpa01,Paul Grant,4,4,0,1.000,4,4,0,1.000,0,0,0,
johnsst03,Steve Johnson,4,2,2,.500,4,2,2,.500,0,0,0,
stricma01,Mark Strickland,4,3,1,.750,4,3,1,.750,0,0,0,
brownmy01,Myron Brown,4,0,4,.000,4,0,4,.000,0,0,0,
thomaji01,Jim Thomas,3,2,1,.667,3,2,1,.667,0,0,0,
wintetr01,Trevor Winter,1,0,1,.000,1,0,1,.000,0,0,0,
