id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
gortama01,Marcin Gortat,319,157,162,.492,300,148,152,.493,19,9,10,.474
tuckepj01,P.J. Tucker,291,125,166,.430,290,125,165,.431,1,0,1,.000
bealbr01,Bradley Beal*,221,116,105,.525,202,107,95,.530,19,9,10,.474
porteot01,Otto Porter Jr.,212,113,99,.533,194,104,90,.536,18,9,9,.500
oubreke01,Kelly Oubre Jr.*,207,107,100,.517,189,99,90,.524,18,8,10,.444
dragigo01,Goran Dragić*,204,98,106,.480,204,98,106,.480,0,0,0,
dudleja01,Jared Dudley,196,83,113,.423,185,76,109,.411,11,7,4,.636
morrima03,Marcus Morris*,185,92,93,.497,185,92,93,.497,0,0,0,
walljo01,John Wall,180,94,86,.522,161,85,76,.528,19,9,10,.474
satorto01,Tomáš Satoranský,171,87,84,.509,155,80,75,.516,16,7,9,.438
greenge01,Gerald Green,155,81,74,.523,155,81,74,.523,0,0,0,
bledser01,Eric Bledsoe,144,74,70,.514,144,74,70,.514,0,0,0,
lenal01,Alex Len*,144,66,78,.458,144,66,78,.458,0,0,0,
fryech01,Channing Frye,142,78,64,.549,142,78,64,.549,0,0,0,
plumlmi01,Miles Plumlee,133,75,58,.564,133,75,58,.564,0,0,0,
mahinia01,Ian Mahinmi,124,63,61,.508,113,58,55,.513,11,5,6,.455
smithja02,Jason Smith,120,64,56,.533,106,56,50,.528,14,8,6,.571
goodwar01,Archie Goodwin,118,51,67,.432,118,51,67,.432,0,0,0,
brownsh01,Shannon Brown,115,44,71,.383,115,44,71,.383,0,0,0,
telfase01,Sebastian Telfair,103,45,58,.437,103,45,58,.437,0,0,0,
kuzmaky01,Kyle Kuzma*,96,56,40,.583,71,39,32,.549,25,17,8,.680
caldwke01,Kentavious Caldwell-Pope*,92,53,39,.576,68,36,32,.529,24,17,7,.708
schrode01,Dennis Schröder*,84,42,42,.500,75,40,35,.533,9,2,7,.222
carusal01,Alex Caruso*,83,46,37,.554,58,29,29,.500,25,17,8,.680
scolalu01,Luis Scola,82,25,57,.305,82,25,57,.305,0,0,0,
warretj01,T.J. Warren,80,30,50,.375,80,30,50,.375,0,0,0,
beaslmi01,Michael Beasley,75,24,51,.320,75,24,51,.320,0,0,0,
fraziti01,Tim Frazier,74,34,40,.459,72,33,39,.458,2,1,1,.500
jamesle01,LeBron James*,74,46,28,.622,49,29,20,.592,25,17,8,.680
scottmi01,Mike Scott,73,35,38,.479,67,33,34,.493,6,2,4,.333
smithis01,Ish Smith*,70,39,31,.557,70,39,31,.557,0,0,0,
meeksjo01,Jodie Meeks,68,35,33,.515,68,35,33,.515,0,0,0,
davisan02,Anthony Davis*,63,38,25,.603,39,21,18,.538,24,17,7,.708
harremo01,Montrezl Harrell*,62,32,30,.516,59,32,27,.542,3,0,3,.000
hortota01,Talen Horton-Tucker*,62,33,29,.532,57,30,27,.526,5,3,2,.600
lopezro01,Robin Lopez*,61,30,31,.492,61,30,31,.492,0,0,0,
nashst01,Steve Nash,59,30,29,.508,59,30,29,.508,0,0,0,
drumman01,Andre Drummond*,58,19,39,.328,55,18,37,.327,3,1,2,.333
burketr01,Trey Burke,57,35,22,.614,54,33,21,.611,3,2,1,.667
pricero01,Ronnie Price,57,22,35,.386,57,22,35,.386,0,0,0,
onealje01,Jermaine O'Neal,55,17,38,.309,55,17,38,.309,0,0,0,
matthwe02,Wesley Matthews*,55,28,27,.509,51,27,24,.529,4,1,3,.250
thornma01,Marcus Thornton,52,22,30,.423,52,22,30,.423,0,0,0,
johnswe01,Wesley Johnson,50,14,36,.280,50,14,36,.280,0,0,0,
hillgr01,Grant Hill,48,24,24,.500,48,24,24,.500,0,0,0,
marshke01,Kendall Marshall,48,12,36,.250,48,12,36,.250,0,0,0,
reddmi01,Michael Redd,48,23,25,.479,48,23,25,.479,0,0,0,
gasolma01,Marc Gasol,47,25,22,.532,43,24,19,.558,4,1,3,.250
thomais02,Isaiah Thomas*,46,26,20,.565,46,26,20,.565,0,0,0,
woodch01,Christian Wood,45,15,30,.333,45,15,30,.333,0,0,0,
gallola01,Langston Galloway,44,14,30,.318,44,14,30,.318,0,0,0,
sessira01,Ramon Sessions,42,21,21,.500,42,21,21,.500,0,0,0,
brownbr01,Bruce Brown*,41,13,28,.317,41,13,28,.317,0,0,0,
wrighbr03,Brandan Wright,40,17,23,.425,40,17,23,.425,0,0,0,
makerth01,Thon Maker,39,14,25,.359,39,14,25,.359,0,0,0,
howardw01,Dwight Howard,39,25,14,.641,21,12,9,.571,18,13,5,.722
knighbr03,Brandon Knight,39,12,27,.308,39,12,27,.308,0,0,0,
mykhasv01,Svi Mykhailiuk,38,12,26,.316,38,12,26,.316,0,0,0,
snellto01,Tony Snell*,37,12,25,.324,37,12,25,.324,0,0,0,
rosede01,Derrick Rose,36,12,24,.333,36,12,24,.333,0,0,0,
teletmi01,Mirza Teletović,36,8,28,.222,36,8,28,.222,0,0,0,
mcclesh01,Sheldon Mac,36,20,16,.556,29,17,12,.586,7,3,4,.429
bogdabo02,Bojan Bogdanović,35,19,16,.543,22,12,10,.545,13,7,6,.538
greenda02,Danny Green,34,24,10,.706,13,8,5,.615,21,16,5,.762
mckinal01,Alfonzo McKinnie,34,16,18,.471,32,16,16,.500,2,0,2,.000
childjo01,Josh Childress,33,15,18,.455,33,15,18,.455,0,0,0,
greenje02,Jeff Green,32,11,21,.344,32,11,21,.344,0,0,0,
jennibr01,Brandon Jennings,32,18,14,.562,19,11,8,.579,13,7,6,.538
warriha01,Hakim Warrick,32,13,19,.406,32,13,19,.406,0,0,0,
chandty01,Tyson Chandler,32,6,26,.188,32,6,26,.188,0,0,0,
chrisdi01,Dionte Christmas,31,15,16,.484,31,15,16,.484,0,0,0,
bookede01,Devin Booker,31,5,26,.161,31,5,26,.161,0,0,0,
randosh01,Shavlik Randolph,30,17,13,.567,30,17,13,.567,0,0,0,
fergute01,Terrance Ferguson,29,12,17,.414,24,11,13,.458,5,1,4,.200
adamsst01,Steven Adams,29,12,17,.414,24,11,13,.458,5,1,4,.200
mcgeeja01,JaVale McGee,29,20,9,.690,15,9,6,.600,14,11,3,.786
leuerjo01,Jon Leuer,29,8,21,.276,29,8,21,.276,0,0,0,
grantje01,Jerami Grant,29,12,17,.414,24,11,13,.458,5,1,4,.200
riverau01,Austin Rivers*,28,11,17,.393,28,11,17,.393,0,0,0,
westbru01,Russell Westbrook*,28,12,16,.429,23,11,12,.478,5,1,4,.200
noelne01,Nerlens Noel,28,12,16,.429,23,11,12,.478,5,1,4,.200
kennalu01,Luke Kennard,27,10,17,.370,27,10,17,.370,0,0,0,
cookqu01,Quinn Cook,27,17,10,.630,21,11,10,.524,6,6,0,1.000
templga01,Garrett Temple,27,14,13,.519,27,14,13,.519,0,0,0,
nichoan01,Andrew Nicholson,27,17,10,.630,27,17,10,.630,0,0,0,
hilarne01,Nenê,26,13,13,.500,26,13,13,.500,0,0,0,
naderab01,Abdel Nader,25,10,15,.400,22,9,13,.409,3,1,2,.333
bryanth01,Thomas Bryant,25,10,15,.400,25,10,15,.400,0,0,0,
georgpa01,Paul George*,25,10,15,.400,20,9,11,.450,5,1,4,.200
harrijo01,Joe Harris,25,15,10,.600,25,15,10,.600,0,0,0,
onealro01,Royce O'Neale,25,14,11,.560,25,14,11,.560,0,0,0,
claxtni01,Nic Claxton*,25,14,11,.560,25,14,11,.560,0,0,0,
rondora01,Rajon Rondo*,24,18,6,.750,8,6,2,.750,16,12,4,.750
irvinky01,Kyrie Irving*,24,11,13,.458,24,11,13,.458,0,0,0,
tollian01,Anthony Tolliver*,24,11,13,.458,24,11,13,.458,0,0,0,
weemsso01,Sonny Weems,22,4,18,.182,22,4,18,.182,0,0,0,
ochefda01,Daniel Ochefu,22,13,9,.591,18,12,6,.667,4,1,3,.250
sumneed01,Edmond Sumner*,22,14,8,.636,22,14,8,.636,0,0,0,
curryse01,Seth Curry*,21,13,8,.619,21,13,8,.619,0,0,0,
millspa02,Patty Mills*,20,11,9,.550,20,11,9,.550,0,0,0,
cacokde01,Devontae Cacok,20,8,12,.400,20,8,12,.400,0,0,0,
feltora01,Raymond Felton,20,8,12,.400,15,7,8,.467,5,1,4,.200
thomaca02,Cam Thomas,20,13,7,.650,20,13,7,.650,0,0,0,
barbole01,Leandro Barbosa,20,12,8,.600,20,12,8,.600,0,0,0,
kravtvi01,Viacheslav Kravtsov,20,13,7,.650,20,13,7,.650,0,0,0,
mclembe01,Ben McLemore,19,6,13,.316,16,6,10,.375,3,0,3,.000
garredi02,Diante Garrett,19,3,16,.158,19,3,16,.158,0,0,0,
watanyu01,Yuta Watanabe,19,10,9,.526,19,10,9,.526,0,0,0,
duranke01,Kevin Durant*,18,13,5,.722,18,13,5,.722,0,0,0,
mcculch01,Chris McCullough,18,10,8,.556,18,10,8,.556,0,0,0,
doumbse01,Sekou Doumbouya,18,5,13,.278,18,5,13,.278,0,0,0,
haddaha01,Hamed Haddadi,17,2,15,.118,17,2,15,.118,0,0,0,
bullore01,Reggie Bullock,17,3,14,.176,17,3,14,.176,0,0,0,
lowryky01,Kyle Lowry*,17,10,7,.588,16,10,6,.625,1,0,1,.000
robindu01,Duncan Robinson,17,10,7,.588,17,10,7,.588,0,0,0,
adebaba01,Bam Adebayo*,17,9,8,.529,16,9,7,.562,1,0,1,.000
sharpda01,Day'Ron Sharpe,16,9,7,.562,16,9,7,.562,0,0,0,
barroea01,Earl Barron,16,5,11,.312,16,5,11,.312,0,0,0,
antetko01,Kostas Antetokounmpo,16,6,10,.375,16,6,10,.375,0,0,0,
browntr01,Troy Brown Jr.*,16,5,11,.312,16,5,11,.312,0,0,0,
zellelu01,Luke Zeller,16,6,10,.375,16,6,10,.375,0,0,0,
griffbl01,Blake Griffin,16,7,9,.438,16,7,9,.438,0,0,0,
herroty01,Tyler Herro*,16,10,6,.625,15,10,5,.667,1,0,1,.000
simmobe01,Ben Simmons,15,7,8,.467,15,7,8,.467,0,0,0,
smithjr01,J.R. Smith,15,10,5,.667,5,1,4,.200,10,9,1,.900
butleji01,Jimmy Butler*,15,8,7,.533,14,8,6,.571,1,0,1,.000
burtode02,Deonte Burton,14,6,8,.429,11,5,6,.455,3,1,2,.333
dedmode01,Dewayne Dedmon,14,8,6,.571,14,8,6,.571,0,0,0,
strusma01,Max Strus*,14,8,6,.571,13,8,5,.615,1,0,1,.000
mcraejo01,Jordan McRae,13,2,11,.154,13,2,11,.154,0,0,0,
martica02,Caleb Martin*,13,7,6,.538,12,7,5,.583,1,0,1,.000
vincega01,Gabe Vincent*,12,7,5,.583,11,7,4,.636,1,0,1,.000
hicksjj01,J.J. Hickson,12,7,5,.583,12,7,5,.583,0,0,0,
anderal01,Alan Anderson,11,6,5,.545,11,6,5,.545,0,0,0,
waitedi01,Dion Waiters,11,5,6,.455,6,2,4,.333,5,3,2,.600
yurtsom01,Omer Yurtseven,9,7,2,.778,9,7,2,.778,0,0,0,
dukeda01,David Duke Jr.,9,6,3,.667,9,6,3,.667,0,0,0,
jacksre01,Reggie Jackson*,9,2,7,.222,9,2,7,.222,0,0,0,
bradlav01,Avery Bradley,8,6,2,.750,8,6,2,.750,0,0,0,
holidju01,Justin Holiday*,8,1,7,.125,8,1,7,.125,0,0,0,
edwarke02,Kessler Edwards*,8,4,4,.500,8,4,4,.500,0,0,0,
jonesda03,Damian Jones,8,5,3,.625,8,5,3,.625,0,0,0,
eddieja01,Jarell Eddie,8,4,4,.500,8,4,4,.500,0,0,0,
ennisty01,Tyler Ennis,8,3,5,.375,8,3,5,.375,0,0,0,
dekkesa01,Sam Dekker,8,2,6,.250,8,2,6,.250,0,0,0,
poweldw01,Dwight Powell,7,1,6,.143,7,1,6,.143,0,0,0,
ntilila01,Frank Ntilikina,7,1,6,.143,7,1,6,.143,0,0,0,
diallha01,Hamidou Diallo,6,2,4,.333,6,2,4,.333,0,0,0,
greenjo02,Josh Green,6,1,5,.167,6,1,5,.167,0,0,0,
bonejo01,Jordan Bone,6,2,4,.333,6,2,4,.333,0,0,0,
hardati02,Tim Hardaway Jr.,6,1,5,.167,6,1,5,.167,0,0,0,
doncilu01,Luka Dončić,6,1,5,.167,6,1,5,.167,0,0,0,
pattepa01,Patrick Patterson,6,3,3,.500,6,3,3,.500,0,0,0,
brownlo01,Lorenzo Brown,6,0,6,.000,6,0,6,.000,0,0,0,
goodedr01,Drew Gooden,6,4,2,.667,6,4,2,.667,0,0,0,
dragizo01,Zoran Dragić,6,2,4,.333,6,2,4,.333,0,0,0,
mcneaje01,Jerel McNeal,6,1,5,.167,6,1,5,.167,0,0,0,
okpalkz01,KZ Okpala,5,4,1,.800,5,4,1,.800,0,0,0,
randlch01,Chasson Randle,5,1,4,.200,5,1,4,.200,0,0,0,
pinsoth01,Theo Pinson,5,1,4,.200,5,1,4,.200,0,0,0,
priceaj01,A.J. Price,5,2,3,.400,5,2,3,.400,0,0,0,
hardyja02,Jaden Hardy,5,1,4,.200,5,1,4,.200,0,0,0,
kinglo02,Louis King,5,2,3,.400,5,2,3,.400,0,0,0,
lawsoty01,Ty Lawson,5,2,3,.400,0,0,0,,5,2,3,.400
bertada01,Dāvis Bertāns*,5,1,4,.200,5,1,4,.200,0,0,0,
arizatr01,Trevor Ariza,5,1,4,.200,5,1,4,.200,0,0,0,
wrighmc01,McKinley Wright IV,4,1,3,.250,4,1,3,.250,0,0,0,
oladivi01,Victor Oladipo*,4,2,2,.500,3,2,1,.667,1,0,1,.000
whiteok01,Okaro White,3,2,1,.667,3,2,1,.667,0,0,0,
hasleud01,Udonis Haslem,3,3,0,1.000,3,3,0,1.000,0,0,0,
robinde01,Devin Robinson,3,0,3,.000,3,0,3,.000,0,0,0,
jeffeco01,Cory Jefferson,3,1,2,.333,3,1,2,.333,0,0,0,
johnsor01,Orlando Johnson,2,0,2,.000,2,0,2,.000,0,0,0,
hensojo01,John Henson,2,0,2,.000,2,0,2,.000,0,0,0,
garrema01,Marcus Garrett,2,2,0,1.000,2,2,0,1.000,0,0,0,
highsha01,Haywood Highsmith,2,1,1,.500,2,1,1,.500,0,0,0,
grantdo01,Donte Grantham,2,1,1,.500,2,1,1,.500,0,0,0,
klebima01,Maxi Kleber,2,0,2,.000,2,0,2,.000,0,0,0,
thomakh01,Khyri Thomas,2,1,1,.500,2,1,1,.500,0,0,0,
lawsoaj01,A.J. Lawson,2,0,2,.000,2,0,2,.000,0,0,0,
bakerro01,Ron Baker,2,1,1,.500,2,1,1,.500,0,0,0,
danietr01,Troy Daniels,2,1,1,.500,2,1,1,.500,0,0,0,
cottobr01,Bryce Cotton,1,0,1,.000,1,0,1,.000,0,0,0,
evansja01,Jawun Evans,1,1,0,1.000,1,1,0,1.000,0,0,0,
willial06,Alondes Williams,1,1,0,1.000,1,1,0,1.000,0,0,0,
smartja01,Javonte Smart,1,1,0,1.000,1,1,0,1.000,0,0,0,
guyky01,Kyle Guy,1,1,0,1.000,1,1,0,1.000,0,0,0,
houseda01,Danuel House Jr.,1,0,1,.000,1,0,1,.000,0,0,0,
