id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
allenja01,Jarrett Allen*,51,22,29,.431,46,22,24,.478,5,0,5,.000
harrijo01,Joe Harris,46,21,25,.457,43,21,22,.488,3,0,3,.000
dinwisp01,Spencer Dinwiddie,45,21,24,.467,43,21,22,.488,2,0,2,.000
templga01,Garrett Temple,39,18,21,.462,36,18,18,.500,3,0,3,.000
kurucro01,Rodions Kurucs,37,12,25,.324,32,12,20,.375,5,0,5,.000
princta02,Taurean Prince*,35,17,18,.486,35,17,18,.486,0,0,0,
pinsoth01,Theo Pinson,33,13,20,.394,31,13,18,.419,2,0,2,.000
jordade01,DeAndre Jordan,28,15,13,.536,28,15,13,.536,0,0,0,
leverca01,Caris LeVert*,27,11,16,.407,22,11,11,.500,5,0,5,.000
luwawti01,Timothé Luwawu-Cabarrot*,25,8,17,.320,22,8,14,.364,3,0,3,.000
nwabada01,David Nwaba,16,6,10,.375,16,6,10,.375,0,0,0,
chandwi01,Wilson Chandler,13,5,8,.385,13,5,8,.385,0,0,0,
claxtni01,Nic Claxton*,13,4,9,.308,13,4,9,.308,0,0,0,
shumpim01,Iman Shumpert,13,9,4,.692,13,9,4,.692,0,0,0,
chiozch01,Chris Chiozza,12,5,7,.417,9,5,4,.556,3,0,3,.000
anderju01,Justin Anderson,11,5,6,.455,8,5,3,.625,3,0,3,.000
russeda01,D'Angelo Russell*,11,4,7,.364,9,4,5,.444,2,0,2,.000
napiesh01,Shabazz Napier,10,4,6,.400,8,4,4,.500,2,0,2,.000
davised01,Ed Davis,10,4,6,.400,9,4,5,.444,1,0,1,.000
irvinky01,Kyrie Irving*,10,4,6,.400,10,4,6,.400,0,0,0,
martije02,Jeremiah Martin,9,4,5,.444,6,4,2,.667,3,0,3,.000
holliro01,Rondae Hollis-Jefferson,9,3,6,.333,7,3,4,.429,2,0,2,.000
thomala01,Lance Thomas,8,3,5,.375,5,3,2,.600,3,0,3,.000
halldo01,Donta Hall,8,3,5,.375,5,3,2,.600,3,0,3,.000
dudleja01,Jared Dudley,8,3,5,.375,7,3,4,.429,1,0,1,.000
johnsty01,Tyler Johnson,8,3,5,.375,5,3,2,.600,3,0,3,.000
crabbal01,Allen Crabbe,7,3,4,.429,7,3,4,.429,0,0,0,
farieke01,Kenneth Faried,6,2,4,.333,6,2,4,.333,0,0,0,
carrode01,DeMarre Carroll,6,1,5,.167,4,1,3,.250,2,0,2,.000
ellenhe01,Henry Ellenson,5,2,3,.400,5,2,3,.400,0,0,0,
grahatr01,Treveon Graham,4,1,3,.250,2,1,1,.500,2,0,2,.000
willial03,Alan Williams,2,1,1,.500,2,1,1,.500,0,0,0,
creekmi01,Mitch Creek,1,0,1,.000,1,0,1,.000,0,0,0,
crawfja01,Jamal Crawford,1,1,0,1.000,1,1,0,1.000,0,0,0,
