id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
adamsst01,Steven Adams,116,72,44,.621,110,71,39,.645,6,1,5,.167
schrode01,Dennis Schröder*,112,70,42,.625,106,69,37,.651,6,1,5,.167
noelne01,Nerlens Noel,112,71,41,.634,106,70,36,.660,6,1,5,.167
fergute01,Terrance Ferguson,107,67,40,.626,102,66,36,.647,5,1,4,.200
paulch01,Chris Paul,101,67,34,.663,93,64,29,.688,8,3,5,.375
diallha01,Hamidou Diallo,66,39,27,.591,63,39,24,.619,3,0,3,.000
grantje01,Jerami Grant,62,38,24,.613,59,37,22,.627,3,1,2,.333
westbru01,Russell Westbrook*,60,37,23,.617,57,36,21,.632,3,1,2,.333
baynear01,Aron Baynes,59,39,20,.661,48,33,15,.688,11,6,5,.545
georgpa01,Paul George*,59,36,23,.610,56,35,21,.625,3,1,2,.333
burtode02,Deonte Burton,59,36,23,.610,55,35,20,.636,4,1,3,.250
roziete01,Terry Rozier*,57,38,19,.667,46,32,14,.696,11,6,5,.545
tatumja01,Jayson Tatum*,57,37,20,.649,46,31,15,.674,11,6,5,.545
ojelese01,Semi Ojeleye*,56,36,20,.643,46,31,15,.674,10,5,5,.500
gilgesh01,Shai Gilgeous-Alexander*,56,36,20,.643,53,36,17,.679,3,0,3,.000
horfoal01,Al Horford,52,34,18,.654,41,28,13,.683,11,6,5,.545
gallida01,Danilo Gallinari*,50,32,18,.640,47,32,15,.681,3,0,3,.000
bazleda01,Darius Bazley,47,29,18,.617,44,29,15,.659,3,0,3,.000
brownja02,Jaylen Brown,47,31,16,.660,37,26,11,.703,10,5,5,.500
bridgmi01,Mikal Bridges,43,30,13,.698,38,27,11,.711,5,3,2,.600
pattepa01,Patrick Patterson,43,30,13,.698,43,30,13,.698,0,0,0,
crowdja01,Jae Crowder,42,29,13,.690,37,26,11,.703,5,3,2,.600
yabusgu01,Guerschon Yabusele,41,28,13,.683,30,22,8,.733,11,6,5,.545
morrima03,Marcus Morris*,40,25,15,.625,29,19,10,.655,11,6,5,.545
larkish01,Shane Larkin,40,29,11,.725,34,26,8,.765,6,3,3,.500
bookede01,Devin Booker,39,28,11,.718,34,25,9,.735,5,3,2,.600
johnsca02,Cameron Johnson,37,26,11,.703,33,24,9,.727,4,2,2,.500
aytonde01,Deandre Ayton,37,24,13,.649,32,21,11,.656,5,3,2,.600
payneca01,Cameron Payne,33,25,8,.758,28,22,6,.786,5,3,2,.600
smartma01,Marcus Smart*,33,23,10,.697,24,18,6,.750,9,5,4,.556
muscami01,Mike Muscala,32,19,13,.594,30,19,11,.633,2,0,2,.000
dortlu01,Luguentz Dort*,32,21,11,.656,30,21,9,.700,2,0,2,.000
kaminfr01,Frank Kaminsky,31,23,8,.742,29,22,7,.759,2,1,1,.500
theisda01,Daniel Theis,31,22,9,.710,31,22,9,.710,0,0,0,
monrogr01,Greg Monroe,29,15,14,.517,21,12,9,.571,8,3,5,.375
irvinky01,Kyrie Irving*,27,20,7,.741,27,20,7,.741,0,0,0,
feltora01,Raymond Felton,26,13,13,.500,23,12,11,.522,3,1,2,.333
morrima02,Markieff Morris,25,10,15,.400,22,9,13,.409,3,1,2,.333
carteje01,Jevon Carter,20,13,7,.650,19,12,7,.632,1,1,0,1.000
mooreet01,E'Twaun Moore,19,14,5,.737,18,13,5,.722,1,1,0,1.000
allenka01,Kadeem Allen,18,9,9,.500,18,9,9,.500,0,0,0,
saricda01,Dario Šarić*,18,13,5,.722,15,11,4,.733,3,2,1,.667
smithja04,Jalen Smith,16,11,5,.688,14,10,4,.714,2,1,1,.500
luwawti01,Timothé Luwawu-Cabarrot*,16,12,4,.750,16,12,4,.750,0,0,0,
abrinal01,Álex Abrines,15,13,2,.867,15,13,2,.867,0,0,0,
mcgeeja01,JaVale McGee,14,11,3,.786,14,11,3,.786,0,0,0,
gallola01,Langston Galloway,13,9,4,.692,13,9,4,.692,0,0,0,
shamela01,Landry Shamet,13,10,3,.769,13,10,3,.769,0,0,0,
birdja01,Jabari Bird,13,8,5,.615,13,8,5,.615,0,0,0,
hallde01,Devon Hall,10,6,4,.600,10,6,4,.600,0,0,0,
jonesda03,Damian Jones,8,6,2,.750,8,6,2,.750,0,0,0,
roberan03,Andre Roberson,7,3,4,.429,6,3,3,.500,1,0,1,.000
craigto01,Torrey Craig,6,4,2,.667,1,1,0,1.000,5,3,2,.600
herveke01,Kevin Hervey,5,1,4,.200,5,1,4,.200,0,0,0,
gibsojo01,Jonathan Gibson,4,2,2,.500,4,2,2,.500,0,0,0,
pattoju01,Justin Patton,4,2,2,.500,4,2,2,.500,0,0,0,
paytoel01,Elfrid Payton,4,2,2,.500,4,2,2,.500,0,0,0,
robyis01,Isaiah Roby,3,2,1,.667,3,2,1,.667,0,0,0,
grantdo01,Donte Grantham,3,2,1,.667,3,2,1,.667,0,0,0,
silasxa01,Xavier Silas,2,1,1,.500,2,1,1,.500,0,0,0,
hutchch01,Chandler Hutchison*,2,1,1,.500,2,1,1,.500,0,0,0,
alexaty01,Ty-Shon Alexander,2,0,2,.000,1,0,1,.000,1,0,1,.000
wainris01,Ish Wainright,1,1,0,1.000,1,1,0,1.000,0,0,0,
eddieja01,Jarell Eddie,1,1,0,1.000,1,1,0,1.000,0,0,0,
evansja01,Jawun Evans,1,1,0,1.000,1,1,0,1.000,0,0,0,
davisty01,Tyler Davis,1,1,0,1.000,1,1,0,1.000,0,0,0,
