id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
millste01,Terry Mills,33,14,19,.424,33,14,19,.424,0,0,0,
thomais01,Isiah Thomas,33,14,19,.424,33,14,19,.424,0,0,0,
laimbbi01,Bill Laimbeer,31,13,18,.419,31,13,18,.419,0,0,0,
polynol01,Olden Polynice,31,14,17,.452,31,14,17,.452,0,0,0,
dumarjo01,Joe Dumars,30,12,18,.400,30,12,18,.400,0,0,0,
youngda01,Danny Young,27,12,15,.444,27,12,15,.444,0,0,0,
rodmade01,Dennis Rodman,23,12,11,.522,23,12,11,.522,0,0,0,
glassge01,Gerald Glass,23,10,13,.435,23,10,13,.435,0,0,0,
roberal01,Alvin Robertson,20,10,10,.500,20,10,10,.500,0,0,0,
aguirma01,Mark Aguirre,17,6,11,.353,17,6,11,.353,0,0,0,
randama01,Mark Randall,15,5,10,.333,15,5,10,.333,0,0,0,
woolror01,Orlando Woolridge,11,2,9,.182,11,2,9,.182,0,0,0,
morriis01,Isaiah Morris,9,4,5,.444,9,4,5,.444,0,0,0,
rulanje01,Jeff Ruland,1,0,1,.000,1,0,1,.000,0,0,0,
