id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
cousybo01,Bob Cousy,338,200,138,.592,301,181,120,.601,37,19,18,.514
sharmbi01,Bill Sharman,335,201,134,.600,298,182,116,.611,37,19,18,.514
macaued01,Ed Macauley*,196,107,89,.546,181,101,80,.558,15,6,9,.400
ramsefr01,Frank Ramsey,179,111,68,.620,151,95,56,.629,28,16,12,.571
risenar01,Arnie Risen,178,106,72,.596,155,93,62,.600,23,13,10,.565
heinsto01,Tom Heinsohn,149,98,51,.658,128,85,43,.664,21,13,8,.619
phillan01,Andy Phillip*,147,96,51,.653,127,84,43,.661,20,12,8,.600
scolafr01,Fred Scolari*,145,65,80,.448,131,59,72,.450,14,6,8,.429
loscuji01,Jim Loscutoff*,138,86,52,.623,125,78,47,.624,13,8,5,.615
barksdo01,Don Barksdale,137,74,63,.540,124,69,55,.556,13,5,8,.385
brannbo01,Bob Brannum,135,73,62,.541,122,68,54,.557,13,5,8,.385
morrire01,Red Morrison,132,68,64,.515,122,64,58,.525,10,4,6,.400
russebi01,Bill Russell,126,85,41,.675,107,73,34,.682,19,12,7,.632
tsiorlo01,Lou Tsioropoulos*,123,82,41,.667,112,76,36,.679,11,6,5,.545
hemridi01,Dick Hemric,123,72,51,.585,118,69,49,.585,5,3,2,.600
palazto01,Togo Palazzi,122,62,60,.508,115,59,56,.513,7,3,4,.429
barreer01,Ernie Barrett,116,64,52,.552,107,61,46,.570,9,3,6,.333
mckinbo01,Bones McKinney,84,40,44,.476,74,34,40,.459,10,6,4,.600
norlajo01,Johnny Norlander*,84,40,44,.476,73,34,39,.466,11,6,5,.545
okeefdi01,Dick O'Keefe*,84,37,47,.440,73,31,42,.425,11,6,5,.545
feeribo01,Bob Feerick*,74,34,40,.459,73,33,40,.452,1,1,0,1.000
ratkoge01,George Ratkovicz*,74,29,45,.392,74,29,45,.392,0,0,0,
katkale01,Leo Katkaveck*,70,33,37,.471,61,28,33,.459,9,5,4,.556
hutchme01,Mel Hutchins*,69,27,42,.391,69,27,42,.391,0,0,0,
masinal01,Al Masino*,69,28,41,.406,69,28,41,.406,0,0,0,
payakjo01,Johnny Payak*,66,27,39,.409,66,27,39,.409,0,0,0,
harribo01,Bob Harris,65,38,27,.585,59,36,23,.610,6,2,4,.333
coopech01,Chuck Cooper,64,37,27,.578,58,35,23,.603,6,2,4,.333
calhobi01,Bill Calhoun*,63,23,40,.365,63,23,40,.365,0,0,0,
donhabo01,Bob Donham,63,36,27,.571,57,34,23,.596,6,2,4,.333
jonessa01,Sam Jones,62,41,21,.661,54,36,18,.667,8,5,3,.625
crockdi01,Dillard Crocker*,61,26,35,.426,61,26,35,.426,0,0,0,
schuldi01,Dick Schulz*,52,26,26,.500,41,20,21,.488,11,6,5,.545
hermskl01,Kleggie Hermsen*,51,26,25,.510,40,20,20,.500,11,6,5,.545
gilmuch01,Chuck Gilmur*,49,22,27,.449,49,22,27,.449,0,0,0,
halbech01,Chick Halbert,49,22,27,.449,49,22,27,.449,0,0,0,
reisech01,Chick Reiser*,49,22,27,.449,49,22,27,.449,0,0,0,
hertzso01,Sonny Hertzberg*,45,22,23,.489,34,16,18,.471,11,6,5,.545
minorda01,Dave Minor*,40,20,20,.500,40,20,20,.500,0,0,0,
miasest01,Stan Miasek*,40,19,21,.475,40,19,21,.475,0,0,0,
zunicma01,Matt Zunic,39,19,20,.487,30,15,15,.500,9,4,5,.444
bovendo01,Don Boven*,28,7,21,.250,28,7,21,.250,0,0,0,
eddledi01,Dike Eddleman,27,14,13,.519,24,13,11,.542,3,1,2,.333
todormi01,Mike Todorovich,27,14,13,.519,24,13,11,.542,3,1,2,.333
vancege01,Gene Vance*,26,14,12,.538,23,13,10,.565,3,1,2,.333
ottendo01,Don Otten,23,6,17,.261,23,6,17,.261,0,0,0,
perkiwa01,Warren Perkins*,22,11,11,.500,20,10,10,.500,2,1,1,.500
mandijo01,John Mandic*,21,8,13,.381,21,8,13,.381,0,0,0,
gibsode01,Dee Gibson,20,10,10,.500,17,9,8,.529,3,1,2,.333
raydo01,Don Ray*,20,10,10,.500,17,9,8,.529,3,1,2,.333
henrybi01,Bill Henry,20,9,11,.450,17,8,9,.471,3,1,2,.333
engluge01,Gene Englund,18,10,8,.556,16,9,7,.562,2,1,1,.500
wiermu01,Murray Wier,18,8,10,.444,15,7,8,.467,3,1,2,.333
kirkwa01,Walt Kirk,17,7,10,.412,14,6,8,.429,3,1,2,.333
holzmre01,Red Holzman,15,4,11,.267,15,4,11,.267,0,0,0,
hitchle01,Lew Hitch*,15,4,11,.267,15,4,11,.267,0,0,0,
toshebi01,Bill Tosheff,15,4,11,.267,15,4,11,.267,0,0,0,
bemorir01,Irv Bemoras,15,4,11,.267,15,4,11,.267,0,0,0,
mcconbu01,Bucky McConnell,14,6,8,.429,14,6,8,.429,0,0,0,
sundedo01,Don Sunderlage*,13,2,11,.154,13,2,11,.154,0,0,0,
houbrbo01,Bob Houbregs*,12,1,11,.083,12,1,11,.083,0,0,0,
darcepe01,Pete Darcey,12,4,8,.333,12,4,8,.333,0,0,0,
dilloho01,Hook Dillon*,10,2,8,.200,10,2,8,.200,0,0,0,
brascji01,Jim Brasco,10,3,7,.300,10,3,7,.300,0,0,0,
milleed01,Eddie Miller,10,3,7,.300,10,3,7,.300,0,0,0,
lavoybo01,Bob Lavoy*,8,0,8,.000,8,0,8,.000,0,0,0,
levanan01,Andrew Levane*,6,1,5,.167,6,1,5,.167,0,0,0,
loganjo01,John Logan,6,4,2,.667,6,4,2,.667,0,0,0,
jorgeno01,Noble Jorgensen*,6,4,2,.667,6,4,2,.667,0,0,0,
brianfr01,Frankie Brian,6,4,2,.667,6,4,2,.667,0,0,0,
oboyljo01,John O'Boyle,5,3,2,.600,5,3,2,.600,0,0,0,
workmma01,Mark Workman,5,2,3,.400,5,2,3,.400,0,0,0,
feigege01,George Feigenbaum*,5,1,4,.200,5,1,4,.200,0,0,0,
gaydaed01,Ed Gayda,5,3,2,.600,5,3,2,.600,0,0,0,
oneilmi01,Mike O'Neill,4,0,4,.000,4,0,4,.000,0,0,0,
peterbo01,Bob Peterson,4,3,1,.750,4,3,1,.750,0,0,0,
walthis01,Isaac Walthour,4,1,3,.250,4,1,3,.250,0,0,0,
chrisca01,Cal Christensen*,4,2,2,.500,4,2,2,.500,0,0,0,
whitask01,Skippy Whitaker,3,1,2,.333,3,1,2,.333,0,0,0,
lofgrdo01,Don Lofgran*,2,2,0,1.000,2,2,0,1.000,0,0,0,
