id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
shuege01,Gene Shue*,350,141,209,.403,330,135,195,.409,20,6,14,.300
dukeswa01,Walter Dukes*,288,117,171,.406,271,111,160,.410,17,6,11,.353
yardlge01,George Yardley*,249,108,141,.434,229,101,128,.441,20,7,13,.350
mcmilsh01,Shellie McMillon*,191,71,120,.372,182,69,113,.379,9,2,7,.222
mcguidi01,Dick McGuire*,185,73,112,.395,173,69,104,.399,12,4,8,.333
howelba01,Bailey Howell,164,67,97,.409,157,65,92,.414,7,2,5,.286
houbrbo01,Bob Houbregs*,145,70,75,.483,132,66,66,.500,13,4,9,.308
devlico01,Corky Devlin*,135,62,73,.459,123,58,65,.472,12,4,8,.333
hutchme01,Mel Hutchins*,134,63,71,.470,121,59,62,.488,13,4,9,.308
foustla01,Larry Foust*,129,58,71,.450,116,54,62,.466,13,4,9,.308
lloydea01,Earl Lloyd*,121,44,77,.364,116,43,73,.371,5,1,4,.200
kenvibi01,Billy Kenville*,113,48,65,.425,103,45,58,.437,10,3,7,.300
jordoph01,Phil Jordon*,113,45,68,.398,104,41,63,.394,9,4,5,.444
ferrybo01,Bob Ferry,106,44,62,.415,101,42,59,.416,5,2,3,.400
ohldo01,Don Ohl,105,44,61,.419,100,42,58,.420,5,2,3,.400
leege01,George Lee,100,41,59,.410,95,39,56,.411,5,2,3,.400
holupjo01,Joe Holup,98,38,60,.388,88,34,54,.386,10,4,6,.400
morelja01,Jackie Moreland*,88,33,55,.375,85,32,53,.376,3,1,2,.333
spearod01,Odie Spears*,85,41,44,.482,75,37,38,.493,10,4,6,.400
deesar01,Archie Dees,84,34,50,.405,82,34,48,.415,2,0,2,.000
phillan01,Andy Phillip*,80,40,40,.500,70,36,34,.514,10,4,6,.400
thiebbi01,Bill Thieben*,72,28,44,.389,69,28,41,.406,3,0,3,.000
conlied01,Ed Conlin*,70,25,45,.357,65,24,41,.369,5,1,4,.200
gallaha01,Harry Gallatin*,68,29,39,.426,61,26,35,.426,7,3,4,.429
farledi01,Dick Farley*,66,23,43,.348,63,22,41,.349,3,1,2,.333
cliftna01,Nat Clifton*,65,26,39,.400,58,23,35,.397,7,3,4,.429
rochare01,Red Rocha*,58,23,35,.397,55,23,32,.418,3,0,3,.000
joneswi01,Willie Jones*,56,18,38,.321,53,17,36,.321,3,1,2,.333
brianfr01,Frankie Brian,47,22,25,.468,37,18,19,.486,10,4,6,.400
alcorga01,Gary Alcorn*,44,19,25,.432,44,19,25,.432,0,0,0,
coopech01,Chuck Cooper,41,19,22,.463,32,15,17,.469,9,4,5,.444
cableba01,Barney Cable*,38,13,25,.342,38,13,25,.342,0,0,0,
arnelje01,Jesse Arnelle,31,18,13,.581,31,18,13,.581,0,0,0,
holstji01,Jim Holstein*,27,17,10,.630,27,17,10,.630,0,0,0,
scottra01,Ray Scott,24,8,16,.333,24,8,16,.333,0,0,0,
athadi01,Dick Atha*,17,6,11,.353,17,6,11,.353,0,0,0,
hannual01,Alex Hannum*,17,6,11,.353,17,6,11,.353,0,0,0,
rosendi01,Dick Rosenthal*,14,6,8,.429,14,6,8,.429,0,0,0,
eganjo01,Johnny Egan*,13,3,10,.231,13,3,10,.231,0,0,0,
ebbenbi01,Bill Ebben*,9,2,7,.222,9,2,7,.222,0,0,0,
zasloma01,Max Zaslofsky*,9,2,7,.222,9,2,7,.222,0,0,0,
marshto01,Tom Marshall*,7,2,5,.286,7,2,5,.286,0,0,0,
bielkdo01,Don Bielke,7,1,6,.143,7,1,6,.143,0,0,0,
horanjo01,Johnny Horan,7,1,6,.143,7,1,6,.143,0,0,0,
johnsro01,Ron Johnson,6,1,5,.167,6,1,5,.167,0,0,0,
bolstdo01,Doug Bolstorff*,4,1,3,.250,4,1,3,.250,0,0,0,
