id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
adebaba01,Bam Adebayo*,303,172,131,.568,244,137,107,.561,59,35,24,.593
butleji01,Jimmy Butler*,253,157,96,.621,194,122,72,.629,59,35,24,.593
herroty01,Tyler Herro*,242,145,97,.599,206,122,84,.592,36,23,13,.639
vincega01,Gabe Vincent*,201,118,83,.587,162,95,67,.586,39,23,16,.590
strusma01,Max Strus*,187,101,86,.540,149,79,70,.530,38,22,16,.579
nunnke01,Kendrick Nunn,142,82,60,.577,123,73,50,.593,19,9,10,.474
olynyke01,Kelly Olynyk,141,79,62,.560,124,69,55,.556,17,10,7,.588
dragigo01,Goran Dragić*,140,85,55,.607,119,73,46,.613,21,12,9,.571
martica02,Caleb Martin*,130,75,55,.577,94,53,41,.564,36,22,14,.611
lowryky01,Kyle Lowry*,120,72,48,.600,90,55,35,.611,30,17,13,.567
dedmode01,Dewayne Dedmon,116,71,45,.612,101,63,38,.624,15,8,7,.533
iguodan01,Andre Iguodala,109,61,48,.560,84,47,37,.560,25,14,11,.560
jonesde02,Derrick Jones Jr.*,84,48,36,.571,69,39,30,.565,15,9,6,.600
tuckepj01,P.J. Tucker,83,54,29,.651,70,45,25,.643,13,9,4,.692
yurtsom01,Omer Yurtseven,74,49,25,.662,59,41,18,.695,15,8,7,.533
highsha01,Haywood Highsmith,69,36,33,.522,44,23,21,.523,25,13,12,.520
okpalkz01,KZ Okpala,65,38,27,.585,63,38,25,.603,2,0,2,.000
achiupr01,Precious Achiuwa*,64,31,33,.484,61,31,30,.508,3,0,3,.000
silvach01,Chris Silva,61,38,23,.623,61,38,23,.623,0,0,0,
leoname01,Meyers Leonard,57,38,19,.667,54,36,18,.667,3,2,1,.667
oladivi01,Victor Oladipo*,42,23,19,.548,30,15,15,.500,12,8,4,.667
crowdja01,Jae Crowder,41,23,18,.561,20,9,11,.450,21,14,7,.667
arizatr01,Trevor Ariza,34,17,17,.500,30,17,13,.567,4,0,4,.000
loveke01,Kevin Love*,31,16,15,.516,11,4,7,.364,20,12,8,.600
hasleud01,Udonis Haslem,31,22,9,.710,29,21,8,.724,2,1,1,.500
zelleco01,Cody Zeller*,30,14,16,.467,9,3,6,.333,21,11,10,.524
johnsja01,James Johnson,27,14,13,.519,27,14,13,.519,0,0,0,
winslju01,Justise Winslow,19,10,9,.526,19,10,9,.526,0,0,0,
jovicni01,Nikola Jović,18,8,10,.444,11,5,6,.455,7,3,4,.429
hillso01,Solomon Hill,18,7,11,.389,11,4,7,.364,7,3,4,.429
morrima02,Markieff Morris,17,10,7,.588,17,10,7,.588,0,0,0,
guyky01,Kyle Guy,16,14,2,.875,16,14,2,.875,0,0,0,
waitedi01,Dion Waiters,14,6,8,.429,14,6,8,.429,0,0,0,
whiteha01,Hassan Whiteside*,13,6,7,.462,13,6,7,.462,0,0,0,
bjeline01,Nemanja Bjelica,13,6,7,.462,11,6,5,.545,2,0,2,.000
wadedw01,Dwyane Wade,13,6,7,.462,13,6,7,.462,0,0,0,
garrema01,Marcus Garrett,12,11,1,.917,12,11,1,.917,0,0,0,
robinor01,Orlando Robinson,12,7,5,.583,12,7,5,.583,0,0,0,
harklma01,Maurice Harkless,11,5,6,.455,11,5,6,.455,0,0,0,
richajo01,Josh Richardson*,11,4,7,.364,11,4,7,.364,0,0,0,
bradlav01,Avery Bradley,10,4,6,.400,10,4,6,.400,0,0,0,
mcgruro01,Rodney McGruder,9,4,5,.444,9,4,5,.444,0,0,0,
cainja01,Jamal Cain,9,4,5,.444,9,4,5,.444,0,0,0,
anderry01,Ryan Anderson,7,3,4,.429,7,3,4,.429,0,0,0,
maconda01,Daryl Macon,4,4,0,1.000,4,4,0,1.000,0,0,0,
smartja01,Javonte Smart,4,3,1,.750,4,3,1,.750,0,0,0,
ellinwa01,Wayne Ellington,3,1,2,.333,3,1,2,.333,0,0,0,
johnsty01,Tyler Johnson,3,2,1,.667,3,2,1,.667,0,0,0,
alexaky01,Kyle Alexander,2,0,2,.000,2,0,2,.000,0,0,0,
muldemy01,Mychal Mulder*,2,1,1,.500,2,1,1,.500,0,0,0,
smithdr01,Dru Smith,2,1,1,.500,2,1,1,.500,0,0,0,
matenya01,Yante Maten,2,1,1,.500,2,1,1,.500,0,0,0,
terryem01,Emanuel Terry,1,0,1,.000,1,0,1,.000,0,0,0,
bouyeja01,Jamaree Bouyea,1,0,1,.000,1,0,1,.000,0,0,0,
