id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
terryja01,Jason Terry,33,12,21,.364,33,12,21,.364,0,0,0,
johnsde03,DerMarr Johnson,31,11,20,.355,31,11,20,.355,0,0,0,
wrighlo02,Lorenzen Wright,30,12,18,.400,30,12,18,.400,0,0,0,
malonma01,Matt Maloney,28,10,18,.357,28,10,18,.357,0,0,0,
mutomdi01,Dikembe Mutombo,28,12,16,.429,28,12,16,.429,0,0,0,
mottoha01,Hanno Möttölä,28,10,18,.357,28,10,18,.357,0,0,0,
hendeal01,Alan Henderson,26,8,18,.308,26,8,18,.308,0,0,0,
johnsan02,Anthony Johnson,26,8,18,.308,26,8,18,.308,0,0,0,
pritcke01,Kevin Pritchard,25,13,12,.520,25,13,12,.520,0,0,0,
mullich01,Chris Mullin,24,12,12,.500,24,12,12,.500,0,0,0,
richmmi01,Mitch Richmond,24,12,12,.500,24,12,12,.500,0,0,0,
hardati01,Tim Hardaway,24,12,12,.500,24,12,12,.500,0,0,0,
higgiro01,Rod Higgins,24,12,12,.500,24,12,12,.500,0,0,0,
crawfch01,Chris Crawford,22,6,16,.273,22,6,16,.273,0,0,0,
hillty01,Tyrone Hill,22,11,11,.500,22,11,11,.500,0,0,0,
listeal01,Alton Lister,22,11,11,.500,22,11,11,.500,0,0,0,
peterji01,Jim Petersen,19,9,10,.474,19,9,10,.474,0,0,0,
jacksji01,Jim Jackson,18,4,14,.222,18,4,14,.222,0,0,0,
grantha01,Harvey Grant,16,3,13,.188,16,3,13,.188,0,0,0,
mcleoro01,Roshown McLeod,15,5,10,.333,15,5,10,.333,0,0,0,
mokespa01,Paul Mokeski,15,8,7,.533,15,8,7,.533,0,0,0,
tolbeto01,Tom Tolbert,15,8,7,.533,15,8,7,.533,0,0,0,
jonesch01,Charles Jones,14,3,11,.214,14,3,11,.214,0,0,0,
bowdlca01,Cal Bowdler,12,5,7,.417,12,5,7,.417,0,0,0,
walkeda01,Darrell Walker,12,2,10,.167,12,2,10,.167,0,0,0,
engliaj01,A.J. English,12,2,10,.167,12,2,10,.167,0,0,0,
workmha01,Haywoode Workman,12,2,10,.167,12,2,10,.167,0,0,0,
fostegr01,Greg Foster,11,2,9,.182,11,2,9,.182,0,0,0,
glovedi01,Dion Glover,10,5,5,.500,10,5,5,.500,0,0,0,
alarima01,Mark Alarie,10,2,8,.200,10,2,8,.200,0,0,0,
kingbe01,Bernard King,10,2,8,.200,10,2,8,.200,0,0,0,
hammoto01,Tom Hammonds,10,1,9,.100,10,1,9,.100,0,0,0,
ellispe01,Pervis Ellison,9,2,7,.222,9,2,7,.222,0,0,0,
eliema01,Mario Elie,9,3,6,.333,9,3,6,.333,0,0,0,
jepsele01,Les Jepsen,9,5,4,.556,9,5,4,.556,0,0,0,
irvinby01,Byron Irvin,7,1,6,.143,7,1,6,.143,0,0,0,
maybele01,Lee Mayberry,6,1,5,.167,6,1,5,.167,0,0,0,
masseto01,Tony Massenburg,6,1,5,.167,6,1,5,.167,0,0,0,
thorpot01,Otis Thorpe,6,3,3,.500,6,3,3,.500,0,0,0,
hurlebo01,Bobby Hurley,6,1,5,.167,6,1,5,.167,0,0,0,
brooksc01,Scott Brooks,6,3,3,.500,6,3,3,.500,0,0,0,
smithmi02,Michael Smith,6,1,5,.167,6,1,5,.167,0,0,0,
smithke01,Kenny Smith,6,3,3,.500,6,3,3,.500,0,0,0,
cassesa01,Sam Cassell,6,3,3,.500,6,3,3,.500,0,0,0,
horryro01,Robert Horry,6,3,3,.500,6,3,3,.500,0,0,0,
lynchge01,George Lynch,6,1,5,.167,6,1,5,.167,0,0,0,
edwarbl01,Blue Edwards,6,1,5,.167,6,1,5,.167,0,0,0,
abdursh01,Shareef Abdur-Rahim,6,1,5,.167,6,1,5,.167,0,0,0,
daniean01,Antonio Daniels,6,1,5,.167,6,1,5,.167,0,0,0,
chilcpe01,Pete Chilcutt,6,1,5,.167,6,1,5,.167,0,0,0,
olajuha01,Hakeem Olajuwon,5,3,2,.600,5,3,2,.600,0,0,0,
reevebr01,Bryant Reeves,5,1,4,.200,5,1,4,.200,0,0,0,
rileyer01,Eric Riley,5,3,2,.600,5,3,2,.600,0,0,0,
stewala01,Larry Stewart,4,1,3,.250,4,1,3,.250,0,0,0,
maxweve01,Vernon Maxwell,4,3,1,.750,4,3,1,.750,0,0,0,
pricebr01,Brent Price,4,1,3,.250,4,1,3,.250,0,0,0,
macledo01,Don MacLean,4,1,3,.250,4,1,3,.250,0,0,0,
petruri01,Richard Petruška,4,2,2,.500,4,2,2,.500,0,0,0,
johnsbu01,Buck Johnson,4,1,3,.250,4,1,3,.250,0,0,0,
guglito01,Tom Gugliotta,4,1,3,.250,4,1,3,.250,0,0,0,
adamsmi01,Michael Adams,4,1,3,.250,4,1,3,.250,0,0,0,
bowmair01,Ira Bowman,3,2,1,.667,3,2,1,.667,0,0,0,
jentch01,Chris Jent,3,1,2,.333,3,1,2,.333,0,0,0,
weathcl01,Clarence Weatherspoon,3,1,2,.333,3,1,2,.333,0,0,0,
knighbr01,Brevin Knight,3,2,1,.667,3,2,1,.667,0,0,0,
newbiiv01,Ivano Newbill,3,0,3,.000,3,0,3,.000,0,0,0,
smithla02,LaBradford Smith,3,1,2,.333,3,1,2,.333,0,0,0,
jacksma01,Mark Jackson,2,1,1,.500,2,1,1,.500,0,0,0,
harriot01,Othella Harrington,2,1,1,.500,2,1,1,.500,0,0,0,
oggal01,Alan Ogg,2,0,2,.000,2,0,2,.000,0,0,0,
bullama01,Matt Bullard,2,1,1,.500,2,1,1,.500,0,0,0,
thomaku01,Kurt Thomas,2,1,1,.500,2,1,1,.500,0,0,0,
marcisa01,Šarūnas Marčiulionis,2,1,1,.500,2,1,1,.500,0,0,0,
herreca01,Carl Herrera,2,1,1,.500,2,1,1,.500,0,0,0,
eacklle01,Ledell Eackles,2,0,2,.000,2,0,2,.000,0,0,0,
knightr01,Travis Knight,2,1,1,.500,2,1,1,.500,0,0,0,
curetea01,Earl Cureton,2,0,2,.000,2,0,2,.000,0,0,0,
millean01,Anthony Miller,2,0,2,.000,2,0,2,.000,0,0,0,
houstal01,Allan Houston,2,1,1,.500,2,1,1,.500,0,0,0,
eisleho01,Howard Eisley,2,1,1,.500,2,1,1,.500,0,0,0,
andersh01,Shandon Anderson,2,1,1,.500,2,1,1,.500,0,0,0,
wardch01,Charlie Ward,1,1,0,1.000,1,1,0,1.000,0,0,0,
gatlich01,Chris Gatling,1,0,1,.000,1,0,1,.000,0,0,0,
gamblke01,Kevin Gamble,1,1,0,1.000,1,1,0,1.000,0,0,0,
sprewla01,Latrell Sprewell,1,0,1,.000,1,0,1,.000,0,0,0,
lewisre01,Reggie Lewis,1,1,0,1.000,1,1,0,1.000,0,0,0,
mihmch01,Chris Mihm,1,0,1,.000,1,0,1,.000,0,0,0,
willijo02,John Williams,1,0,1,.000,1,0,1,.000,0,0,0,
birdla01,Larry Bird,1,1,0,1.000,1,1,0,1.000,0,0,0,
hendece02,Cedric Henderson,1,0,1,.000,1,0,1,.000,0,0,0,
baglejo01,John Bagley,1,1,0,1.000,1,1,0,1.000,0,0,0,
parisro01,Robert Parish,1,1,0,1.000,1,1,0,1.000,0,0,0,
foxri01,Rick Fox,1,1,0,1.000,1,1,0,1.000,0,0,0,
millean02,Andre Miller,1,0,1,.000,1,0,1,.000,0,0,0,
murrala01,Lamond Murray,1,0,1,.000,1,0,1,.000,0,0,0,
pincked01,Ed Pinckney,1,1,0,1.000,1,1,0,1.000,0,0,0,
mchalke01,Kevin McHale,1,1,0,1.000,1,1,0,1.000,0,0,0,
