id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
smartma01,Marcus Smart*,267,165,102,.618,228,145,83,.636,39,20,19,.513
brownja02,Jaylen Brown,253,153,100,.605,210,130,80,.619,43,23,20,.535
horfoal01,Al Horford,241,151,90,.627,196,126,70,.643,45,25,20,.556
washipj01,P.J. Washington*,238,97,141,.408,236,97,139,.411,2,0,2,.000
haywago01,Gordon Hayward,200,105,95,.525,191,100,91,.524,9,5,4,.556
bridgmi02,Miles Bridges*,199,87,112,.437,197,87,110,.442,2,0,2,.000
tatumja01,Jayson Tatum*,183,115,68,.628,155,99,56,.639,28,16,12,.571
martico01,Cody Martin*,167,79,88,.473,166,79,87,.476,1,0,1,.000
mcdanja01,Jalen McDaniels*,158,66,92,.418,156,66,90,.423,2,0,2,.000
baynear01,Aron Baynes,157,100,57,.637,129,84,45,.651,28,16,12,.571
ballla01,LaMelo Ball*,154,69,85,.448,152,69,83,.454,2,0,2,.000
morrima03,Marcus Morris*,153,92,61,.601,125,76,49,.608,28,16,12,.571
ojelese01,Semi Ojeleye*,148,98,50,.662,125,86,39,.688,23,12,11,.522
thomais02,Isaiah Thomas*,144,91,53,.632,124,81,43,.653,20,10,10,.500
irvinky01,Kyrie Irving*,134,82,52,.612,125,77,48,.616,9,5,4,.556
theisda01,Daniel Theis,134,86,48,.642,127,81,46,.638,7,5,2,.714
johnsam01,Amir Johnson,129,77,52,.597,111,69,42,.622,18,8,10,.444
jerebjo01,Jonas Jerebko,123,77,46,.626,107,69,38,.645,16,8,8,.500
olynyke01,Kelly Olynyk,117,72,45,.615,97,62,35,.639,20,10,10,.500
biyombi01,Bismack Biyombo*,116,44,72,.379,115,44,71,.383,1,0,1,.000
crowdja01,Jae Crowder,116,72,44,.621,94,61,33,.649,22,11,11,.500
plumlma01,Mason Plumlee*,115,49,66,.426,114,49,65,.430,1,0,1,.000
grahade01,Devonte' Graham*,114,43,71,.377,113,43,70,.381,1,0,1,.000
richani01,Nick Richards*,111,45,66,.405,110,45,65,.409,1,0,1,.000
oubreke01,Kelly Oubre Jr.*,106,47,59,.443,105,47,58,.448,1,0,1,.000
zelleco01,Cody Zeller*,103,37,66,.359,102,37,65,.363,1,0,1,.000
bradlav01,Avery Bradley,101,60,41,.594,84,51,33,.607,17,9,8,.529
monkma01,Malik Monk*,95,35,60,.368,94,35,59,.372,1,0,1,.000
zellety01,Tyler Zeller,92,51,41,.554,79,48,31,.608,13,3,10,.231
yabusgu01,Guerschon Yabusele,88,58,30,.659,72,50,22,.694,16,8,8,.500
thorjt01,JT Thor,79,29,50,.367,79,29,50,.367,0,0,0,
martica02,Caleb Martin*,67,26,41,.388,66,26,40,.394,1,0,1,.000
larkish01,Shane Larkin,64,45,19,.703,53,38,15,.717,11,7,4,.636
wanambr01,Brad Wanamaker,60,37,23,.617,56,35,21,.625,4,2,2,.500
youngja01,James Young,59,28,31,.475,46,23,23,.500,13,5,8,.385
naderab01,Abdel Nader,57,38,19,.667,46,32,14,.696,11,6,5,.545
greenge01,Gerald Green,54,36,18,.667,42,29,13,.690,12,7,5,.583
joneska01,Kai Jones,52,21,31,.404,52,21,31,.404,0,0,0,
smithde03,Dennis Smith Jr.,44,14,30,.318,44,14,30,.318,0,0,0,
bouknja01,James Bouknight,43,15,28,.349,43,15,28,.349,0,0,0,
turneev01,Evan Turner,43,25,18,.581,38,23,15,.605,5,2,3,.400
sullija01,Jared Sullinger,43,25,18,.581,38,23,15,.605,5,2,3,.400
mickejo01,Jordan Mickey,42,17,25,.405,38,17,21,.447,4,0,4,.000
willima02,Marvin Williams,41,13,28,.317,41,13,28,.317,0,0,0,
bacondw01,Dwayne Bacon,38,9,29,.237,38,9,29,.237,0,0,0,
monrogr01,Greg Monroe,37,19,18,.514,26,14,12,.538,11,5,6,.455
willima07,Mark Williams,34,13,21,.382,34,13,21,.382,0,0,0,
williro04,Robert Williams*,33,19,14,.576,30,17,13,.567,3,2,1,.667
mcgowbr01,Bryce McGowens,32,10,22,.312,32,10,22,.312,0,0,0,
smithis01,Ish Smith*,31,13,18,.419,31,13,18,.419,0,0,0,
hunterj01,R.J. Hunter,30,15,15,.500,26,14,12,.538,4,1,3,.250
hernawi01,Willy Hernangómez,30,6,24,.200,30,6,24,.200,0,0,0,
maledth01,Théo Maledon,26,7,19,.269,26,7,19,.269,0,0,0,
harremo01,Montrezl Harrell*,26,15,11,.577,25,15,10,.600,1,0,1,.000
careyve01,Vernon Carey Jr.*,22,10,12,.455,21,10,11,.476,1,0,1,.000
batumni01,Nicolas Batum*,22,6,16,.273,22,6,16,.273,0,0,0,
allenka01,Kadeem Allen,16,8,8,.500,16,8,8,.500,0,0,0,
leeda02,David Lee,15,9,6,.600,15,9,6,.600,0,0,0,
birdja01,Jabari Bird,12,7,5,.583,12,7,5,.583,0,0,0,
kiddgmi01,Michael Kidd-Gilchrist,12,4,8,.333,12,4,8,.333,0,0,0,
mykhasv01,Svi Mykhailiuk,10,3,7,.300,10,3,7,.300,0,0,0,
rillegr01,Grant Riller*,8,2,6,.250,7,2,5,.286,1,0,1,.000
darlina01,Nate Darling*,7,3,4,.429,6,3,3,.500,1,0,1,.000
doziepj01,PJ Dozier,6,5,1,.833,6,5,1,.833,0,0,0,
jacksde01,Demetrius Jackson,5,1,4,.200,5,1,4,.200,0,0,0,
gibsojo01,Jonathan Gibson,3,1,2,.333,3,1,2,.333,0,0,0,
chealjo01,Joe Chealey,3,0,3,.000,3,0,3,.000,0,0,0,
clarkco01,Coty Clarke,3,0,3,.000,3,0,3,.000,0,0,0,
silasxa01,Xavier Silas,2,1,1,.500,2,1,1,.500,0,0,0,
lewissc01,Scottie Lewis,2,1,1,.500,2,1,1,.500,0,0,0,
eddieja01,Jarell Eddie,2,1,1,.500,2,1,1,.500,0,0,0,
hollajo02,John Holland,1,0,1,.000,0,0,0,,1,0,1,.000
kulboar01,Arnoldas Kulboka,1,1,0,1.000,1,1,0,1.000,0,0,0,
