id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hartja01,Jason Hart,32,10,22,.312,32,10,22,.312,0,0,0,
rushka01,Kareem Rush,26,9,17,.346,26,9,17,.346,0,0,0,
okafoem01,Emeka Okafor,23,5,18,.217,23,5,18,.217,0,0,0,
boganke01,Keith Bogans,23,5,18,.217,23,5,18,.217,0,0,0,
brezepr01,Primož Brezec,23,5,18,.217,23,5,18,.217,0,0,0,
wallage01,Gerald Wallace,23,5,18,.217,23,5,18,.217,0,0,0,
kaponja01,Jason Kapono,23,5,18,.217,23,5,18,.217,0,0,0,
elyme01,Melvin Ely,23,5,18,.217,23,5,18,.217,0,0,0,
najered01,Eduardo Nájera,22,15,7,.682,22,15,7,.682,0,0,0,
kleizli01,Linas Kleiza,22,15,7,.682,22,15,7,.682,0,0,0,
diawaya01,Yakhouba Diawara,21,14,7,.667,21,14,7,.667,0,0,0,
johnsde03,DerMarr Johnson,18,13,5,.722,18,13,5,.722,0,0,0,
evansre01,Reggie Evans,18,12,6,.667,18,12,6,.667,0,0,0,
knighbr01,Brevin Knight,17,4,13,.235,17,4,13,.235,0,0,0,
hilarne01,Nenê,17,11,6,.647,17,11,6,.647,0,0,0,
iversal01,Allen Iverson,15,9,6,.600,15,9,6,.600,0,0,0,
smithjr01,J.R. Smith,15,12,3,.800,15,12,3,.800,0,0,0,
anthoca01,Carmelo Anthony*,15,11,4,.733,15,11,4,.733,0,0,0,
smithst01,Steve Smith,15,4,11,.267,15,4,11,.267,0,0,0,
blakest01,Steve Blake,13,10,3,.769,13,10,3,.769,0,0,0,
cambyma01,Marcus Camby,13,9,4,.692,13,9,4,.692,0,0,0,
martike02,Kevin Martin,12,5,7,.417,12,5,7,.417,0,0,0,
millebr01,Brad Miller,12,5,7,.417,12,5,7,.417,0,0,0,
pricero01,Ronnie Price,12,5,7,.417,12,5,7,.417,0,0,0,
thomake01,Kenny Thomas,12,5,7,.417,12,5,7,.417,0,0,0,
bibbymi01,Mike Bibby,12,5,7,.417,12,5,7,.417,0,0,0,
garcifr01,Francisco García,11,5,6,.455,11,5,6,.455,0,0,0,
paytoga01,Gary Payton,11,6,5,.545,11,6,5,.545,0,0,0,
skinnbr01,Brian Skinner,10,4,6,.400,10,4,6,.400,0,0,0,
russebr01,Bryon Russell,10,5,5,.500,10,5,5,.500,0,0,0,
georgde01,Devean George,10,5,5,.500,10,5,5,.500,0,0,0,
fishede01,Derek Fisher,10,5,5,.500,10,5,5,.500,0,0,0,
robinbe01,Bernard Robinson,9,1,8,.111,9,1,8,.111,0,0,0,
boykiea01,Earl Boykins,9,5,4,.556,9,5,4,.556,0,0,0,
willico02,Corliss Williamson,9,4,5,.444,9,4,5,.444,0,0,0,
waltolu01,Luke Walton,8,4,4,.500,8,4,4,.500,0,0,0,
cookbr01,Brian Cook,8,4,4,.500,8,4,4,.500,0,0,0,
medvest01,Stanislav Medvedenko,8,4,4,.500,8,4,4,.500,0,0,0,
grantho01,Horace Grant,7,4,3,.571,7,4,3,.571,0,0,0,
bryanko01,Kobe Bryant,6,3,3,.500,6,3,3,.500,0,0,0,
smithth01,Theron Smith,6,2,4,.333,6,2,4,.333,0,0,0,
abdursh01,Shareef Abdur-Rahim,6,3,3,.500,6,3,3,.500,0,0,0,
stojape01,Peja Stojaković,5,0,5,.000,5,0,5,.000,0,0,0,
masonan01,Anthony Mason,5,3,2,.600,5,3,2,.600,0,0,0,
kukocto01,Toni Kukoč,5,3,2,.600,5,3,2,.600,0,0,0,
haislma01,Marcus Haislip,5,3,2,.600,5,3,2,.600,0,0,0,
houseed01,Eddie House,5,1,4,.200,5,1,4,.200,0,0,0,
cassesa01,Sam Cassell,5,3,2,.600,5,3,2,.600,0,0,0,
johnser02,Ervin Johnson,5,3,2,.600,5,3,2,.600,0,0,0,
reddmi01,Michael Redd,5,3,2,.600,5,3,2,.600,0,0,0,
artesro01,Metta World Peace,4,3,1,.750,4,3,1,.750,0,0,0,
gadzuda01,Dan Gadzuric,4,2,2,.500,4,2,2,.500,0,0,0,
millean02,Andre Miller,4,3,1,.750,4,3,1,.750,0,0,0,
whiteja01,Jahidi White,4,0,4,.000,4,0,4,.000,0,0,0,
ollieke01,Kevin Ollie,3,2,1,.667,3,2,1,.667,0,0,0,
thomati01,Tim Thomas,3,1,2,.333,3,1,2,.333,0,0,0,
allenra02,Ray Allen,3,2,1,.667,3,2,1,.667,0,0,0,
udokaim01,Ime Udoka,2,1,1,.500,2,1,1,.500,0,0,0,
cartean01,Anthony Carter,2,2,0,1.000,2,2,0,1.000,0,0,0,
malonka01,Karl Malone,2,1,1,.500,2,1,1,.500,0,0,0,
hodgeju01,Julius Hodge,2,0,2,.000,2,0,2,.000,0,0,0,
onealsh01,Shaquille O'Neal,2,1,1,.500,2,1,1,.500,0,0,0,
pargoja01,Jannero Pargo,1,1,0,1.000,1,1,0,1.000,0,0,0,
caffeja01,Jason Caffey,1,0,1,.000,1,0,1,.000,0,0,0,
wellsbo01,Bonzi Wells,1,0,1,.000,1,0,1,.000,0,0,0,
masonde01,Desmond Mason,1,1,0,1.000,1,1,0,1.000,0,0,0,
smithjo02,Joe Smith,1,1,0,1.000,1,1,0,1.000,0,0,0,
potapvi01,Vitaly Potapenko,1,1,0,1.000,1,1,0,1.000,0,0,0,
