id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
hodgedo01,Donald Hodge,190,32,158,.168,190,32,158,.168,0,0,0,
daviste01,Terry Davis,169,37,132,.219,169,37,132,.219,0,0,0,
jonespo01,Popeye Jones,139,38,101,.273,139,38,101,.273,0,0,0,
mashbja01,Jamal Mashburn,138,40,98,.290,138,40,98,.290,0,0,0,
harrilu01,Lucious Harris,135,39,96,.289,135,39,96,.289,0,0,0,
whitera01,Randy White,132,21,111,.159,132,21,111,.159,0,0,0,
harpede01,Derek Harper,132,24,108,.182,132,24,108,.182,0,0,0,
jacksji01,Jim Jackson,128,27,101,.211,128,27,101,.211,0,0,0,
leverfa01,Fat Lever,107,21,86,.196,107,21,86,.196,0,0,0,
iuzzomi01,Mike Iuzzolino,103,15,88,.146,103,15,88,.146,0,0,0,
rooksse01,Sean Rooks,100,10,90,.100,100,10,90,.100,0,0,0,
willilo01,Lorenzo Williams,97,34,63,.351,97,34,63,.351,0,0,0,
legleti01,Tim Legler,90,13,77,.144,90,13,77,.144,0,0,0,
mooretr01,Tracy Moore,74,12,62,.162,74,12,62,.162,0,0,0,
howarbr01,Brian Howard,74,7,67,.095,74,7,67,.095,0,0,0,
mccraro01,Rodney McCray,72,22,50,.306,72,22,50,.306,0,0,0,
willihe01,Herb Williams,70,21,49,.300,70,21,49,.300,0,0,0,
blackro01,Rolando Blackman,69,20,49,.290,69,20,49,.290,0,0,0,
wileymo01,Morlon Wiley,61,16,45,.262,61,16,45,.262,0,0,0,
kiddja01,Jason Kidd,61,26,35,.426,61,26,35,.426,0,0,0,
bondwa01,Walter Bond,60,4,56,.067,60,4,56,.067,0,0,0,
dreilgr01,Greg Dreiling,51,5,46,.098,51,5,46,.098,0,0,0,
dumasto01,Tony Dumas,47,21,26,.447,47,21,26,.447,0,0,0,
tarplro01,Roy Tarpley,41,18,23,.439,41,18,23,.439,0,0,0,
campbto01,Tony Campbell,41,11,30,.268,41,11,30,.268,0,0,0,
donalja01,James Donaldson,39,13,26,.333,39,13,26,.333,0,0,0,
cambrde01,Dexter Cambridge,36,2,34,.056,36,2,34,.056,0,0,0,
mccloge01,George McCloud,32,16,16,.500,32,16,16,.500,0,0,0,
davisbr01,Brad Davis,32,11,21,.344,32,11,21,.344,0,0,0,
brooksc01,Scott Brooks,25,13,12,.520,25,13,12,.520,0,0,0,
bardost01,Steve Bardo,21,1,20,.048,21,1,20,.048,0,0,0,
curcira01,Radisav Ćurčić,19,0,19,.000,19,0,19,.000,0,0,0,
mornida01,Darren Morningstar,19,1,18,.053,19,1,18,.053,0,0,0,
palmewa01,Walter Palmer,18,0,18,.000,18,0,18,.000,0,0,0,
wesleda01,David Wesley,17,4,13,.235,17,4,13,.235,0,0,0,
barroda01,Dana Barros,17,4,13,.235,17,4,13,.235,0,0,0,
foxri01,Rick Fox,17,4,13,.235,17,4,13,.235,0,0,0,
montrer01,Eric Montross,17,4,13,.235,17,4,13,.235,0,0,0,
dayto01,Todd Day,16,4,12,.250,16,4,12,.250,0,0,0,
minorgr01,Greg Minor,16,4,12,.250,16,4,12,.250,0,0,0,
quinnbr01,Brian Quinnett,15,1,14,.067,15,1,14,.067,0,0,0,
ellispe01,Pervis Ellison,14,3,11,.214,14,3,11,.214,0,0,0,
listeal01,Alton Lister,12,3,9,.250,12,3,9,.250,0,0,0,
radjadi01,Dino Radja,11,1,10,.091,11,1,10,.091,0,0,0,
burroju01,Junior Burrough,11,2,9,.182,11,2,9,.182,0,0,0,
brownde01,Dee Brown,11,1,10,.091,11,1,10,.091,0,0,0,
strotla01,Lamont Strothers,9,1,8,.111,9,1,8,.111,0,0,0,
willier01,Eric Williams,8,3,5,.375,8,3,5,.375,0,0,0,
garrito01,Tom Garrick,6,1,5,.167,6,1,5,.167,0,0,0,
claxtch01,Charles Claxton,1,0,1,.000,1,0,1,.000,0,0,0,
douglsh01,Sherman Douglas,1,0,1,.000,1,0,1,.000,0,0,0,
brownch01,Chucky Brown,1,0,1,.000,1,0,1,.000,0,0,0,
