id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
priceji01,Jim Price,179,91,88,.508,173,90,83,.520,6,1,5,.167
wintebr01,Brian Winters,170,67,103,.394,167,66,101,.395,3,1,2,.333
goodrga01,Gail Goodrich,150,72,78,.480,145,71,74,.490,5,1,4,.200
smithra01,Randy Smith,148,40,108,.270,148,40,108,.270,0,0,0,
hairsha01,Happy Hairston,147,72,75,.490,142,71,71,.500,5,1,4,.200
carrau01,Austin Carr,146,68,78,.466,141,67,74,.475,5,1,4,.200
choneji01,Jim Chones,146,68,78,.466,141,67,74,.475,5,1,4,.200
smithbi02,Bingo Smith*,145,68,77,.469,140,67,73,.479,5,1,4,.200
brokaga01,Gary Brokaw,145,59,86,.407,139,57,82,.410,6,2,4,.333
kauffbo01,Bob Kauffman,144,41,103,.285,144,41,103,.285,0,0,0,
garredi01,Dick Garrett*,141,39,102,.277,141,39,102,.277,0,0,0,
lambejo01,John Lambert,131,62,69,.473,126,61,65,.484,5,1,4,.200
walkefo01,Foots Walker,127,63,64,.496,122,62,60,.508,5,1,4,.200
breweji01,Jim Brewer,119,60,59,.504,115,59,56,.513,4,1,3,.250
russeca02,Campy Russell,119,53,66,.445,114,52,62,.456,5,1,4,.200
rileypa01,Pat Riley,118,59,59,.500,113,58,55,.513,5,1,4,.200
bridgju01,Junior Bridgeman,114,47,67,.412,111,46,65,.414,3,1,2,.333
hawkico01,Connie Hawkins,113,59,54,.522,108,58,50,.537,5,1,4,.200
hummejo01,John Hummer,112,27,85,.241,112,27,85,.241,0,0,0,
hiltofr01,Fred Hilton,111,22,89,.198,111,22,89,.198,0,0,0,
dandrbo01,Bob Dandridge,103,45,58,.437,100,44,56,.440,3,1,2,.333
restake01,Kevin Restani,99,45,54,.455,96,44,52,.458,3,1,2,.333
snydedi01,Dick Snyder,97,49,48,.505,93,48,45,.516,4,1,3,.250
washike01,Kermit Washington,95,38,57,.400,92,38,54,.413,3,0,3,.000
bridgbi01,Bill Bridges,85,45,40,.529,80,44,36,.550,5,1,4,.200
meyerda01,Dave Meyers,83,39,44,.470,80,38,42,.475,3,1,2,.333
lovest01,Stan Love,82,42,40,.512,80,42,38,.525,2,0,2,.000
abdulma01,Walt Hazzard*,77,20,57,.260,77,20,57,.260,0,0,0,
mcadobo01,Bob McAdoo,75,20,55,.267,75,20,55,.267,0,0,0,
foxji01,Jim Fox*,69,32,37,.464,66,31,35,.470,3,1,2,.333
hewitbi01,Bill Hewitt,67,17,50,.254,67,17,50,.254,0,0,0,
mayescl01,Clyde Mayes,64,29,35,.453,61,28,33,.459,3,1,2,.333
warneco01,Cornell Warner,63,15,48,.238,63,15,48,.238,0,0,0,
beatyze01,Zelmo Beaty,63,23,40,.365,63,23,40,.365,0,0,0,
komivho01,Howard Komives*,63,15,48,.238,63,15,48,.238,0,0,0,
davismi02,Mickey Davis,61,23,38,.377,61,23,38,.377,0,0,0,
davismi01,Mike Davis,59,19,40,.322,59,19,40,.322,0,0,0,
furlote01,Terry Furlow,54,28,26,.519,52,28,24,.538,2,0,2,.000
allenlu01,Lucius Allen,52,18,34,.346,52,18,34,.346,0,0,0,
fraziwa01,Walt Frazier,51,26,25,.510,51,26,25,.510,0,0,0,
bryanem01,Em Bryant*,50,12,38,.240,50,12,38,.240,0,0,0,
wohlda01,Dave Wohl,50,14,36,.280,50,14,36,.280,0,0,0,
calhoco01,Corky Calhoun,50,20,30,.400,50,20,30,.400,0,0,0,
lantzst01,Stu Lantz*,49,19,30,.388,49,19,30,.388,0,0,0,
countme01,Mel Counts,48,26,22,.542,44,26,18,.591,4,0,4,.000
hoskebi01,Bill Hosket,41,11,30,.268,41,11,30,.268,0,0,0,
hawthna01,Nate Hawthorne,35,13,22,.371,32,13,19,.406,3,0,3,.000
bucknqu01,Quinn Buckner,34,10,24,.294,34,10,24,.294,0,0,0,
russeca01,Cazzie Russell,33,12,21,.364,33,12,21,.364,0,0,0,
mcglojo01,Jon McGlocklin,33,15,18,.455,31,14,17,.452,2,1,1,.500
englial01,Alex English,33,10,23,.303,33,10,23,.303,0,0,0,
lloydsc01,Scott Lloyd,33,9,24,.273,33,9,24,.273,0,0,0,
natersw01,Swen Nater*,32,9,23,.281,32,9,23,.281,0,0,0,
westje01,Jerry West,31,17,14,.548,30,16,14,.533,1,1,0,1.000
chambje01,Jerry Chambers,26,6,20,.231,26,6,20,.231,0,0,0,
leebu01,Butch Lee,24,7,17,.292,24,7,17,.292,0,0,0,
mitchmi01,Mike Mitchell,24,7,17,.292,24,7,17,.292,0,0,0,
higgske01,Kenny Higgs,23,7,16,.304,23,7,16,.304,0,0,0,
jordaed01,Eddie Jordan,22,13,9,.591,22,13,9,.591,0,0,0,
cleamji01,Jim Cleamons,15,7,8,.467,15,7,8,.467,0,0,0,
davisha01,Harry Davis,14,3,11,.214,14,3,11,.214,0,0,0,
waltoll01,Lloyd Walton,14,0,14,.000,14,0,14,.000,0,0,0,
cartefr01,Fred Carter,11,6,5,.545,11,6,5,.545,0,0,0,
willich03,Chuckie Williams,11,7,4,.636,11,7,4,.636,0,0,0,
foxha01,Harold Fox,10,0,10,.000,10,0,10,.000,0,0,0,
mcdongl01,Glenn McDonald,9,1,8,.111,9,1,8,.111,0,0,0,
thurmna01,Nate Thurmond,4,2,2,.500,3,1,2,.333,1,1,0,1.000
granttr01,Travis Grant*,3,2,1,.667,3,2,1,.667,0,0,0,
