id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
cummite01,Terry Cummings,42,24,18,.571,42,24,18,.571,0,0,0,
sikmaja01,Jack Sikma,42,24,18,.571,42,24,18,.571,0,0,0,
piercri01,Ricky Pierce,40,23,17,.575,40,23,17,.575,0,0,0,
bradldu01,Dudley Bradley,39,23,16,.590,39,23,16,.590,0,0,0,
hodgecr01,Craig Hodges,39,24,15,.615,39,24,15,.615,0,0,0,
reynoje01,Jerry Reynolds,38,21,17,.553,38,21,17,.553,0,0,0,
breuera01,Randy Breuer,38,22,16,.579,38,22,16,.579,0,0,0,
mokespa01,Paul Mokeski,33,19,14,.576,33,19,14,.576,0,0,0,
presspa01,Paul Pressey,27,18,9,.667,27,18,9,.667,0,0,0,
bridgju01,Junior Bridgeman,15,7,8,.467,15,7,8,.467,0,0,0,
skilesc01,Scott Skiles,10,6,4,.600,10,6,4,.600,0,0,0,
lucasjo01,John Lucas,9,5,4,.556,9,5,4,.556,0,0,0,
moncrsi01,Sidney Moncrief,8,4,4,.500,8,4,4,.500,0,0,0,
mcdowha01,Hank McDowell,7,5,2,.714,7,5,2,.714,0,0,0,
webstma01,Marvin Webster,7,3,4,.429,7,3,4,.429,0,0,0,
collido02,Don Collins,6,2,4,.333,6,2,4,.333,0,0,0,
englech01,Chris Engler,5,2,3,.400,5,2,3,.400,0,0,0,
glennmi01,Mike Glenn,3,2,1,.667,3,2,1,.667,0,0,0,
fieldke01,Kenny Fields,3,2,1,.667,3,2,1,.667,0,0,0,
hendece01,Cedric Henderson,2,2,0,1.000,2,2,0,1.000,0,0,0,
